## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
some time later | when | Acts 15:36 | an undetermined amount of time, likely a delay until the following spring when the weather would have allowed for travel
Paul & Barnabas | who | Acts 15:36 | the ministry team that travelled on Paul's first missionary journey
let us go back  | what | Acts 15:36 | the purpose of this second journey was to encourage the churches already planted 
sharp dispute  | what | Acts 15:37-39 | the word for 'sharp dispute' means "irritation expressed in argument" or a legitimate verbal fight between two people 
new ministry teams | who | Acts 15:39-41 | out of the dispute between Paul and Barnabas comes the positive benefit of two ministry teams doing the Lord's work
Barnabas & John Mark | who | Acts 15:39 | Luke does not record the journey of Barnabas & John Mark, but that does not mean they are "lesser" ministers, their activities
 |  |  | are not the inspired focus of Luke's writing
Paul & Silas  | who | Acts 15:40 | Paul takes Silas with him and sets out of what is now called the "Second Missionary Journey" 
Derbe & Lystra | where | Acts 16:1 | both cities are located in southern Galatia 
Timothy  | who | Acts 16:1 | a young man who will become a  powerful minister and church planter, to whom the letters of 1st and 2nd Timothy are written
Timothy's mother/father | who | Acts 16:1,3 | Timothy's parentage is important in order to understand why Paul asked Timothy to be circumcised. With his mother 
 |  |  | being a Jew, Timothy is a legitimate son of Abraham and thus would be accepted by the Jews on their journey as one of their 
 |  |  | own, but only if He is circumcised. This does not relate to his salvation in any way. This is why Paul will later defend Titus'
 |  |  | right to not need to be circucised, because Titus was a Greek (Galatians 2:3-5) This may also allude to Paul's understanding 
 |  |  | that the OT promises set forth by the Lord are still active and circumcision was the sign of the Abrahamic Covenant 
 |  |  | Because Timothy's father was a Greek, this would also have given Timothy a great advantage in ministering to Greeks also 
spoke well of him  | what | Acts 16:2 | Timothy already had a good reputation among the believers in his area, reminiscent of Acts 6 and the selection of Stephen
the decisions | what | Acts 16:4 | these "decisions" refer to the Jerusalem counsel of the previous chapter and the relationship of the Law to the Greek Christians
churches strengthened… | what | Acts 16:5 | again we see Luke bringing the story back to the Spirit's activity in the church as a whole 
not preaching/ not allowed | what | Acts 16:6-7 | standing alone, this verse seems to be puzzling, why would the Holy Spirit keep them from preaching in a certain area? If 
 |  |  | we continue to read the section we see that by verse 9, Paul has a vision calling him to Macedonia. In my (pastor Bill) opinion
 |  |  | the best reason for why the Holy Spirit restrains Paul and Silas' ministry efforts is because they have a divine appointment 
 |  |  | to carry the Gospel to europe
Spirit of Jesus | who | Acts 16:7 | this verse illustrates and early church belief in the divinity of Jesus as Lord and God 
concluding God has called | what | Acts 16:10 | Paul "concludes" his calling to Macedonia from not only the vision, but the Spirit's restraint in other areas. This is a big 
 |  |  | lesson for us to remember today, God can (and will) restrain or thwart our efforts in an area if He is preparing us for another
WE got ready, WE sailed… | who | Acts 16:10-15 | this is the first "we section" in the book of Acts, the change in language indicate these events were expierienced by Luke himself
on the sabbath | when | Acts 16:13 | the Sabbath being a holy day of rest for Jews, Paul continues his missionary scheme of preaching to Jews & God-fearers first
place of prayer by the river | where | Acts 16:13 | interestingly, there is no synogogue mentioned. This could be because one did not exist, but Paul did not let that stop him 
women gathered there | who | Acts 16:13 | again we see Luke mention the women involved in the minsitry of the early church 
Lydia  | who | Acts 16:14 | a person who dealt in purple cloth would have been very wealthy. The process of making the cloth purple involved crushing
 |  |  | mollusk shells to get the pigment. 
a worshiper of God | what | Acts 16:14 | Lydia is not said to be  Jew, but more likely was a God-fearing gentile woman 
Lord opened her heart | what | Acts 16:14 | here we see a glimmer of the idea of the Lord's work in our hearts when we are drawn to Christ in salvation 
come and stay at my house | where | Acts 16:15 | Lydia's home becamea  "base of operations" for Paul and Silas' ministry in the area. 

## Sheet: Sheet2

## Sheet: Sheet3
