## Sheet: Sheet1
Observation | W | verse | Additional notes
at one time | when | Gen 11:1 | remember the book of Gensis is written long after the events of this chapter, Moses is referring back to this time
people of the world  | who | Gen 11:1 | a reference to all of humanity 
same language | what | Gen 11:1 | until this point, all of humanity shared a common language
Sinar in Babylonia | where | Gen 11:2 | land east of the region, previously menioned as began by Nimrod (Gen 10:10)
bricks and mortar | what | Gen 11:3 | tools of man's work and building ability, like stone and tar, man was created to be creative, we build as our Father did
tower that reaches to the sky | what | Gen 11:4 | this shows the persistence of man's internal pride and inner desire for rebellion from God's direction 
this will make us famous | what | Genn 11:4 | the movitation for the construction was pride, the pursuit of attention from others, we will fall to this weakness today
keep us from being scattered | what | Gen 11:4 | this is in direct opposition to God's original directive "be fruitful, multiply, and fill the earth" man is still in rebellion
the people are untied | what | Gen 11:6 | untiy has always been a trait we should seek to have, but unity has a negative side, if it's used for sinful means
all speak the same language | what | Gen 11:6 | our unity, then and now is largely dependant on our communication with one another, language being the main means
nothing will be impossible | what | Gen 11:6 | God is not "jealous" of the capability of man, but rather expressing the potential (for evil or good) that we have in us 
Let us go down | who | Gen 11:7 | just as man was made in the image of the Trinity, so too the full God head is mentioned again
"confuse" their language | what | Gen 11:7 | this should not be understood as "refused understanding" but rather, mixed, mingled, innertwined, as water being poured 
won't be able to understand | what | Gen 11:7 | this is the outcome of the Lord's action, but not as punishment, but judgment. God stops humanity from humanism
the lord scattered them | what | Gen 11:8 | God brings mankind back on track with His will and plan, to fill the earth and subdue it, this means spead out 
Shem | who | Gen 11:10 | Father of         Arphaxad          500 years
Arphaxad | who | Gen 11:12 | Father of         Shelah               403 years
Shelah | who | Gen 11:14 | Father of         Eber                   403 years
Eber | who | Gen 11:16 | Father of         Peleg                 430 years
Peleg | who | Gen 11:18 | Father of         Reu                    209 years
Reu | who | Gen 11:20 | Father of         Serug                 207 years
Serug  | who | Gen 11:22 | Father of        Nahor                200 years
Nahor  | who | Gen 11:24 | Father of        Terah                 119 years
Terah | who |  Gen 11:26 | Father of        Abram, Nahor, Haran              205 years
Haran | who | Gen 11:28 | Father of        Lot                       Died while his father was still living
Sarai | who | Gen 11:29 | Abram's wife, was unable to become pregnant
Milcah | who | Gen 11:29 | Nahor's wife and daughter of Terah
Iscah | who | Gen 11:29 | daughter of Terah

## Sheet: Sheet2

## Sheet: Sheet3
