## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
the 70/72 | who | Luke 10:17 | the broader group of disciples that followed Jesus throughout His mission 
Jesus (Lord)  | who | Luke 10:17 | Savior of the World, Promised Messiah of the Jewish People, Son of Man, 2nd Member of the Trinity, Healer & Teacher
with joy | what | Luke 10:17 | the disciples joy is related to their ability to cast out demons in the name of Jesus
even the demons | what | Luke 10:17 | demons are very powerful spiritual beings, and thus are only able to be cast out by a higher authority 
in your name | what | Luke 10:17 | at the mere mention of Jesus name, the demons tremble and flee, it was the name of Jesus, not the words on the disciples
Satan fall like lightenging | what | Luke 10:18 | this could either be referring to Satan's first fall from heaven or Satan's forces being driven out in the earth then
snakes and scorpians | what | Luke 10:19 | these are both OT references to demonic or evil entities 
nothing will harm you | what | Luke 10:19 | some will use this verse to justify the handling of deadly snakes during Christian worship services, this is wrong because
 |  |  | Jesus is clearly referring to the demons they are casting out, not physical snakes and scorpions, Jesus only a few chapters
 |  |  | earlier was very clear, we are not to test the Lord in any way (Luke 4:12) 
do not rejoice | what | Luke 10:20 | Jesus is correcting the disciples attitude from rejoicing over authority and spiritual signs back to the real task at hand 
your names are written | what | Luke 10: 20 | Jesus redirects the disciples focus to their salvation, not their earthly authority, given by God 
at that time | when | Luke 10:21 | Luke is connecting the events of the previous verse to the events he is about to depict 
full of joy through the… | what | Luke 10:21 | Jesus also has joy, from the Spirit, in seeing the work God the Father is doing through His disciples, and ultimately Him as well
Holy Spirit | who | Luke 10:21 | the 3rd member of the Trinity, Spirit that resides in believers, Comforter, was present at Creation, and Christ's Baptism 
Father, Lord of Heaven | who | Luke 10:21 | an intimate and authoritative title that Jesus uses to address God the Father, the 1st member of the Trinity, our Creator 
wise vs little children | who | Luke 10:21 | the wise and learned could not understand God's plan because of their own pride, however, the "little children" were 
 |  |  | willing to learn and obey God's calling with a "child like" faith, they didn't need to understand everything to follow in faith 
all things… committed to me | what | Luke 10:22 | this refers to the authority that God the Father gave to Jesus the Son over all creation, both physical and spiritual 
no one knows… father… son | what | Luke 10:22 | this refers to the intimiate, and at time mysterious, relationship between God the Father and Jesus the Savior
son chooses to reveal | what | Luke 10:22 | in conjunction with authority given to Jesus by the Father, revealing the Father to certain disciples is part of Jesus mission 
said privately  | what | Luke 10:23 | here Luke changes focus by showing us that Jesus is now teaching privately to His select few, not another public lesson
see and hear… | what | Luke 10:24 | the disciples firsthand the fulfillment of the prophecies made long ago in the Old Testament
on one occasion  | when |  Luke 10:25 | Luke is changing the focus from the 72 returning to the next teaching moment with the Lawyer
expert in the Law / lawyer | who | Luke 10:25 | not given a specific name, Luke only includes the detail that this man was a "scribe" trained in the Mosaic Law
what must I do… eternal life | what | Luke 10:25 | his clearly shows the lawyers understanding of salvation is by works, not through faith
what is written? | what | Luke 10:26 | Jesus turns the question back on the expert to shift the focus from self "what must I DO" to Scripture, what is written
Love God… Love your neighbor | what | Luke 10:27 | while this man answers from Scripture (Lev 9:18, Deut 6:5), he also uses the exact same answer as Jesus (Matt 22:37-39)
do this and you will live | what | Luke 10:28 | Jesus also quotes from Leviticus 18:5, that full obedience to the Law will lead to life 
wanted to justify himself | what | Luke 10:29 | Luke's use of the word "justify" carry's the same legal meaning as it does in Paul's writing as he was a travelling 
 |  |  | companion of Paul and would have been well versed in Paul's theology 
who is my neighbor | who | Luke 10:29 | the question is intended to "limit the scope" of the commandment to make it possible to accomplish on one's own 
in reply | what | Luke 10:30 | the entire parable that follows is in reply to the self-righteous attitude of the lawyer 
down from Jerusalem | where | Luke 10:30 | this would have gone against the grain of the Jewish audience as going away from Jerusalem. The "down" referred to here 
 |  |  | is not the cardinal direction of travelling south, but changing of elevation. Some 3,300 ft in 17 miles of winding road
attacked by robbers | who | Luke 10:30 | this road was known as the theives road for the many boulders and crevaces to hide behind and attack passers-by 
clothes, beating, half dead | what | Luke 10:30 | the traveller, likely a Jew considering the audience, is robbed of his dignity (clothes), well being (beaten), and hope (half dead)
a priest | who | Luke 10:31 | Jesus then sets up the characters that would be the likely heroes to the Jewish audience and shows their callousness 
 |  |  | a priest would have been one who ministers to others in the Temple… ie a Pastor
Observation | W | Verse | Thoughts / Details
a levite | who | Luke 10:32 | this would have been someone who serves in the Temple, but not necessarily a minister… ie a Deacon
a samaritan | who | Luke 10:33 | this would have been the most hated and the assumed villian of the story, Jesus uses as the hero to challenge their thinking
oil and wine | what | Luke 10:34 | this was a first centruy "first aid" kit, the wine was an anticeptic and the oil would have been soothing and comforting
on his own donkey | what | Luke 10:34 | this suggests the samaritan is a "man of means" as he had a beast to carry his things for him
to an inn  | what | Luke 10:34 | the word here is different from the "inn" in the nativity story, this is most likely a first century version of our hotels today 
two denarii | what | Luke 10:35 | two full days wages, at the current income for Gloucester county (30K/yr) this would be roughly $250
I will reimburse you  | what | Luke 10:35 | the samaritan clearly had the "credit" or reputation to make such a request, the hated villian is the respected hero
which of these | who | Luke 10:36 | by setting up the parable the way He did, Jesus leaves the expert no choice but to choose the hated Samaritan as the hero
go and do likewise | what | Luke 10:37 | Jesus demolishes the self-righteous thinking by applying the "neighbord" standard to anyone and everyone in need 
came to a village | where | Luke 10:38 | most likely the village of Bethany, as this is where Mary, Martha and Lazarus were from (John 11:1) 
distracted by preparations | what | Luke 10:39 | Martha was working hard to ensure that all the details were in order for Jesus being there, but was becoming overwhelemd
tell her to help me | what | Luke 10:40 | Martha asks the Lord to correct her sister who is not helping with the details Martha is fretting over 
Martha… Martha | what | Luke 10:41 | the Lord's response to Martha is one of love, not harsh rebuke, He corrects her, but in a loving tone
many things… few are needed | what | Luke 10:42 | Jesus points out, many of the things Martha is worried and distracted by are not as important as she has made them to be
what is better | what | Luke 10:42 | Mary had chosen to be in the presence of Jesus, even though the other work existed, she made the right choice to weigh
 |  |  | the options availabe to her and choose the one that offered more intimacy with the Savior 

## Sheet: Sheet2

## Sheet: Sheet3
