## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 9:1 | Son of God, Promised Messiah of the Jewish People, Savior of the World, The Word made Flesh (John 1)
the Twelve | who | Luke 9:1 | the 12 disciples of Jesus who He called as Apostles (Luke 6:12-16)
gave them power and authority | what | Luke 9:1 | both are necessary for effective ministry, power without authority, or the reverse still doesn't change things 
proclaim & heal | what | Luke 9:2 | this mirrors what Jesus had been modelling for them, Jesus was a healer and a teacher, now His disciples do the same
He told them | what | Luke 9:3 | Jesus gives His Apostles direct instructions for the actions of ministry He wanted them to perform 
Take nothing for your Journey | what | Luke 9:3 | Jesus sends them out to minister being completely relient on God's provision and not their own means
whatever house… | what | Luke 9:4 | ministry is best done in relationship, by staying in one place, the disciples building relationships with the community 
If people do not welcome you | what | Luke 9:5 | Jesus didn't send His Apostles to "drag" people to Him, they were to focus on those who wanted Him, not force others
so they set out | what | Luke 9:6 | the disciples were obedient in their calling and duties and "set out" to follow Christ's directives
Herod the tetrarch | who | Luke 9:7 | There are several "Herods" mentioned the Gospels
 |  |  | Herod the Great, ruled from about 40BC to 4BC, this is the king in the Xmas story with the Magi (Matt 2:3) 
 |  |  | Herod Archelaus, (oldest son) when Herod the Great died, his kingdom was split amongst his sons, Archelaus ruled over Judea
 |  |  | Herod Antipas, another son of Herod the Great, ruled over Galilee, this is the Herod that killed John the Baptist (Mark 6:27) 
 |  |  | Phillip the Tetrarch, another son of Herod the Great, ruled over Gaulanitis, Trachonitis, Batanaea 
 |  |  | tetrarach literally means "ruler of 25% of a kingdom" this name most commonly referred to Herod Antipas
John, Elijah, Prophet | what | Luke 9:7-8 | Because of the supernatural nature of Christ's minsitry, people were seeking an explination for Jesus miraculous power 
John  | who | Luke 9:7 | John the Baptist, son of Elizabeth and Zecharaiah, the last of the Old Testament Prophets, filled with the Spirit in the womb
Elijah | who | Luke 9:8 | highly regarded prophet from the Old Testament, called fire down from heaven on Mount Carmel (1 Kings 18:16-45)
when the Apostles returned | when | Luke 9:10 | when they returned from the ministry they were sent to do in v1-2
Bethsaida | where | Luke 9:10 | a small fishing villege on the northern shore of the sea of Galilee, right where the river Jordon connects 
crowd | who | Luke 9:11 | crowd were following Jesus as He ministerd and taught, likely the "sending out" of the disciples magnified this effect 
teaching & healing | what | Luke 9:11 | again, we see Jesus teaching and healing in His Galillean ministry 
late in the afternoon  | when | Luke 9:12 | the timing gives pressure to the request of the disciples for food, the day was wayning and the evening meal was approaching
find food and lodging | what | Luke 9:12 | the discples are concerned for (a) the well being of the crowd and (b) their inability to provide these things
you give them something | what | Luke 9:13 | Jesus takes the disciples concerns and puts them right back in their lap by asking that they provide for the crowd
we have only  | what | Luke 9:13 | the disciples were correct in what they had, but incorrect in what God could do with what they had
5000 men | who | Luke 9:14 | this does not include women and children, the crowd was likely 10,000 to 14,000 people 
 |  |  | Aside from the resurrection of Jesus, this is only other miracle mentioned in all four Gospels 
groups of about 50 | what | Luke 9:14 | Jesus instructs the disciples, and by doing so gives organization and structure to a challening ministry need
He gave them to the disciples | what | Luke 9:16 | clearly, the disciples "gave to Jesus" the loaves and fish, then Jesus "gave it back" but with His power and blessing behind them
They all ate and were satisfied | what | Luke 9:17 | the original need, the hunger for food was satisfied by the supernatural provision of God through the small offering of food
twelve basketfuls  | what | Luke 9:17 | the baskets were the witness to the provision of not only of the crowd, but for the disciples as well 

## Sheet: Sheet2

## Sheet: Sheet3
