## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
my former book | what | Acts 1:1 | the Gospel of Luke, written by the same human author, Luke the Physician, Luke/Acts is a two volume work
Theophilus | who | Acts 1:1 | Luke's literary patron, the wealthy man who supported not only Luke in writing, but also probably the scribes that copied
 |  |  | Luke's manuscript for a larger distribution to the growing Christian Church
Jesus began to do and teach | what | Acts 1:1 | In his opening statement, Luke sums up the connection with his Gospel with the phrase, "began to do and teach" this 
 |  |  | illustrates Luke's Christology that Jesus was not done working and teaching, but the age of the Spirit and the Church
 |  |  | was now beginning and the church would now continue that which Jesus did during His public ministry 
until the day He was taken up | when | Acts 1:2 | the day of the Ascension is the dividing line between the earthly ministry of Jesus and the ministry of the Church
through the Holy Spirit | what | Acts 1:2 | Luke notes that even the Savior Himself lead by the Spirit, as His followers would soon do the same 
apostles | who | Acts 1:2 | from the Greek word "apostolos" meaning "one who is sent"
after His suffering | when | Acts 1:3 | not only the tortue and death of Jesus, but His resurrection as the conquering King
presented / proofs / appeared | what | Acts 1:3 | Luke stresses the eyewitness testimony that Jesus had been seen visually as part of the proofs of His resurrection
On one occasion | when | Acts 1:4 | Luke refers here to Jesus meal and teaching in Luke 24:40-48 linking the two works 
do not leave… wait | what | Acts 1:4 | Jesus again stresses the importance of waiting for the pouring out of the Spirit on them, this "don't go / wait" theme
 |  |  | links the opening of Acts with the close of Luke's Gospel 
John (the baptist)  | who | Acts 1:5 | Jesus reminds His apostles that John the Baptist had already told them Jesus ministry would include them being baptized 
 |  |  | in the Holy Spirit in a similar way that John the Baptist had baptized in water 
are you at this time… | what | Acts 1:6 | the apostles shouldn't be blamed for their lack of understanding. Christ's resurrection proved beyond all doubt that He 
 |  |  | was indeed the Messiah of Israel, they knew that the Messiah would restore the Kingdom, they did not know that there 
 |  |  | would be an "age of the Church" time period between the Messiah's resurrection and Isreal's restoration 
It is not for you to know | what | Acts 1:7 | Jesus does not rebuke the disciples for desiring the restoration of their political kingdom, but rather corrects their 
 |  |  | understanding of the Father's timetable. They were not wrong, but did not have a heavenly timetable in view.
But you will receive | what | Acts 1:8 | Jesus brings the disciples back to the primary spiritual issue of the moment, the coming of the Spirit 
taken up… cloud hid Him | what | Acts 1:9 | just as the Lord's power was seen in Christ's baptism (dove) and his Transfiguration (cloud), here the cloud should be 
 |  |  | viewed as the divine approval of the Father in receiving His Son back to Heaven
looking intently… the sky | what | Acts 1:10 | the disciples were "stuck" on focusing on Jesus going up to Heaven, this further illstrates their understanding that His 
 |  |  | return would be emminent, thus they were waiting for him to return. This also illusrates that the apostles were first hand
 |  |  | witnesses of the ascension of the Lord back to His Heavenly Home
two men dressed in white | who | Acts 1:10 | the two men, who are angels, are reminiscient of the "two witness rule" that meets the Jewish standard from the OT
 |  |  | standard for witness testimony see Deutereonomy 19:15
men of Galillee | who | Acts 1:11 | in addressing the Apostles this way, the angels feature their difference from the setting of the city of Jerusalem. 
why do you stand here | what | Acts 1:11 | the angels' question illusrates their divine understanding that they human aposles coulnd't have known, the time gap
 |  |  | which the age of the Church exists in between the Lord's first incarnation and His second coming 
come back in the same way | what | Acts 1:11 | the angels give the disciples an understanding that Jesus will not return for a  while, but will come back "on the clouds" 
returned to Jerusalem | where | Acts 1:12 | here the apostles are obedient to the Savior's final words while waiting for the Spirit, they appoint another apostle 
Sabbath day's walk | what | Acts 1:12 | this is about 3/4 of a mile or 3,960 feet 
went upstairs | where | Acts 1:13 | like the last supper, a first century home would have been able to hold guests for religious holidays and had an upper room
 |  |  | used for meeting, prayer, and worship purposes 
all joined in prayer  | what | Acts 1:14 | the focus of their pre-pentecost community was prayer and faithful waiting 
women | who | Acts 1:14 | as in the Gospel of Luke, we see that women were a prominent part of the proto-Church 
Mary the mother of Jesus  | who | Acts 1:14 | this is the last reference to Mary in Scripture, it portrays here in a solemn prayerful stance 
