## Sheet: Sheet1
Observation | W | verse | Additional notes
my (author of Acts)  | who | Acts 1:1 | Luke, the physician is the author of Acts
first (or former) book | what | Acts 1:1 | Acts is the continuation of the narrative from the Gospel of Luke 
Theophilus | who | Acts 1:1 | like the Gospel of Luke (Luke 1:3), Acts is addressed to Theophilus "most excellent" suggests a Roman official
everything Jesus began to do… | what | Acts 1:1 | this is reference to the Gosepl of Luke which recorded these details 
until the day that He was taken up | when |  Acts 1:2 | refers to the day of His ascension, not his resurrection 
during the 40 days | when | Acts 1:3 | this period of time was crucial to the establishment of the Church, Jesus gave evidence or proof He was still alive 
the Kingdom of God | what | Acts 1:3 | the then spiritual Kingdom will become a physical promised Kingdom at the end of days
he was eating with them | who | Acts 1:4 | in His ressurrected body, Jesus was physical. He was able to be touched, eat, but also was supernatural 
Jerusalem | where | Acts 1:4 | The City of God, captial of Judea home of the Temple, city where Jesus was cruicified 
 The Father | who | Acts 1:4 | God, the Father, the Creator of heaven and earth. First member of the Trinity
sends you a gift | who | Acts 1:4 | the gift of the Holy Spirit, the empowering of the Spirit launched the Church into existence
John (the Baptist) | who | Acts 1:5 | John the Bapist, the cousin of Jesus was the forerunner of the Messiah, the last of the OT prophets
baptized with water | what | Acts 1:5 | John's baptism was one of repentance in preparation for the coming Messiah
in a few days | when | Acts 1:5 | at the Festival of Pentecost, in the city of Jerusalem
baptized with the Holy Spirit | what | Acts 1:5 | At Pentecost, the Holy Spirit descended on the disciples and empowered them with boldness, signs, and wonders
the apostles | who | Acts 1:6 | the word "apostle" literally means "sent one" and most likely refers to the 11 remaining disciples of Christ
has the time come for you to… | when | Acts 1:6 | you can see the apostles expectation of a restored national Israel now that Jesus has resurrected
Father alone was set those times | when | Acts 1:7 | The Father is the one and only who knows the future timetable, we must remain faithful to follow His leading
you will receive power | what | Acts 1:8 | the outcome of the empowerment of the Holy Spirit is access to the power of God to perform signs and wonders
you will be my witnesses | what | Acts 1:8 | the purpose for the power of the Holy Spirit is to be a witness to the life, ministry, and message of Jesus 
Jerusalem, Judea, Samaria, World | where | Acts 1:8 | Jesus starts small and spirals outward, He also begins with Jews, then Samaritans, then Gentiles 
after saying this | when | Acts 1:9 | the instruction to be his empowered witnesses was the last thing that Jesus said to the disciples
taken up into cloud  | what | Acts 1:9 | Jesus ascended into Heaven from earth directly, He had already defeated death, so His new body made the trip easily 
they could no longer see Him | what | Acts 1:9 | The disciples fixed their attention on Jesus until they could not see Him anymore 
two white robed men | who | Acts 1:10 | two angels appear as they are staring into the sky still waiting to see Jesus again 
Men of Galilee | who | Acts 1:11 | the majority of the Disciples were from Galillee 
Why are you standing here?  | what | Acts 1:11 | the disciples were still holding onto the physical Jesus, though He had given instructions to stay in Jerusalem and wait
someday he will return | when | Acts 1:11 | this refers to the 2nd coming, NOT the rapture. Jesus doesn't return to earth until the beginning on the earthly kingdom
the same way you saw Him go | what | Acts 1:11 | Jesus will descend from Heaven, just as the disciples saw Him ascend at the end of His first coming
mount of Olives | where | Acts 1:12 | not an actual mountain, but a high ridge outside the the city of Jerusalem, Jesus often went here to pray
upstairs in the house | where | Acts 1:13 | most likely the same "upper room" that they shared the last supper 
here are the names… | who | Acts 1:13 | all of the other 11 disciples of Jesus are present at this point
Mary, the mother of Jesus | who | Acts 1:14 | the virgin Mary who gave birth to Jesus, one of three main "Marys" mentioned in the Gospels
several other women | who | Acts 1:14 | it's likely the Mary Magdalene is among these, as well as Mary and the wife of Clopus
the brother of Jesus | who | Acts 1:14 | possibly James, the early church father and author of the book of James 
Peter stood up | who | Acts 1:15 | Peter emerges as a leader in the early church and encourages the faithful 
had to be fulfilled | what | Acts 1:16 | Peter clearly saw Judas's betrayal of Jesus as the fulfillment of Scripture
Holy Spirit speaking through David | what | Acts 1:16 | Peter clearly saw the divine inspiration of the Old Testament as written through the power of the Holy Spirit 
Judas bought a field… body split | what | Acts 1:18 | Judas most likely hung himself, then his body fell and split open. Judas bought the field with the money from the Jews
we must choose a replacement | what | Acts 1:21 | the first thing the disciples do is fill the 12th spot in the Apostles 
with us the entire time | what | Acts 1:21 | the first requirement was that the candidate had the same training and experience with Christ they did
will join us as a witness  | what | Acts 1:22 | the purpose of restoring the 12 was to add another witness to share the Gospel of Jesus Christ
they prayed and cast lots | what | Acts 1:26 | they asked for the Lord's will to guide them, and then put it out of their hands by casting lots

## Sheet: Sheet2

## Sheet: Sheet3
