## Sheet: Sheet1
Observation | W | verse | Additional notes | 
Joseph | Gen 47:1 | who | the favorite son of Jacob, "dead' to his family and "resurrected" 13 years later as the savior character  | 
Pharoah | Gen 47:1 | who | the god king of Egypt, the man who God spoke to in dreams and used to place Joseph in the position of prime minister | 
my father and brothers | Gen 47:1 | who | the real "main characer" of the story of Joseph. This epic tale is not about one man, but about God's chosen people | 
everything they own | Gen 47:1 | what | the covenant people leave nothing behind and are fully committed to God's provision in Egypt | 
what is your occupation | Gen 47:3 | what | Joseph has already prepared his family for this question. His knowledge of Egyptian court and cultural preferences | 
 |  |  | is part of God's working to move the chosen people to land of Goshen to be blessed and protected (Gen 46:34) | 
because the famine is severe | Gen 47:4 | what | God's plan is now repeated by Jacob, the real reason for Joseph's "pilgramage" in Egypt was to save his family  |  
best part of the land | Gen 47:6 | what | in line with the Abrahamic covenant, the nation that blesses God's people (Egypt) will itself be blessed for it (47:10) | 
How old are you?  | Gen 47:8 | what | Pharoah is very frank with Jacob, his age could be a sign of his importance or his frailty | 
years of my pilgrimage | Gen 47:9 | what | Jacob sees his life as a "pilgrimage". Though the covenent has been given, the land was not received by any of the  | 
 |  |  | patriarchs yet, this won't happen until the time of Joshua. Combined with his years of service to Laban, the deciever reaps | 
 |  |  | a harvest of hardship in his life from his own family and children.  | 
Joseph provided | Gen 47:12 | what | the "resurrected son" who went ahead of the covenant famiy provided for that which those being saved could not | 
there was no food | Gen 47:13 | what | while the covenant people are now in their place of blessing, the "pressure" of the famine aren't removed.  | 
 |  |  | trial in the midst of blessing is a real factor in following the Lord's direction in our lives  | 
Joseph collected | Gen 47:14 | what | The latter part of the chapter recounts Joseph's shrewd dealings with the egyptians  | 
 |  |  |       1. Joseph first collected the money of Egytpt  | 
 |  |  |       2. Joseph colllected the animals of Egypt | 
 |  |  |       3. Joseph collected the land of Egypt | 
 |  |  |       4. Joseph converted the farmers of Egypt to tennet farmers farming land for Pharoah | 
Do not bury me in Egypt | Gen 47:29 | where | Jacob requests of Joseph to make sure his body is not buried in Egypt. He will be buried in the cave at Macpehliah as his  | 
 |  |  | father and grandfather were (Gen 50:13).  | 

## Sheet: Sheet2

## Sheet: Sheet3
