## Sheet: Sheet1
Observation | W | verse | Additional notes
In the begininng | when | John 1:1 | in eternity past, the beginning of time, of everthing, prior to creation in Genesis 1
the Word | who | John 1:1 | G3056 'La-gos' literally 'word or part of speech uttered by a living being', references creation in Genesis 1
God | who | John 1:1 | G2316 'the-os' God, root of the english word 'theology' 
world did not know Him | what | John 1:10 | illustrating that all things are done in God's timing and plan, Jesus was here, but not recognized as the Christ yet
He was in the world | where | John 1:10 | referring to the time that the Christophany was physically present on earth
did not receive Him | what | John 1:11 | Jesus came first to the Jews, and then to the gentiles. Gentile salvation was always part of the plan, just second
to his own | where | John 1:11 | not his people, as that is mentioned next, but to his own things or domain
his own people | who | John 1:11 | God's chosen people were and still are the Jews, Jesus Himself knows and shows this
who believed in His name | what | John 1:12 | the second part salvation is believing in the name of Jesus for forgiveness and salvation
all who received Him | who | John 1:12 | The first part of salvation is accepting Jesus as who He is 
children of God | who | John 1:12 | in salvation, we are returned to our created state as children of God (Luke 3:38b)
born… blood, flesh, will… | what | John 1:13 | all references to physical birth, but not spiritual birth, like in John 3:4-6
but of God | what | John 1:13 | being 'born' of God, is the spiritual brith that brings everlasting life 
dwelt among us | what | John 1:14 | this illustrates that Jesus was fully man experiencing all that we do as humans
seen his glory | what | John 1:14 | John was one of the three disciples to see Jesus transfiguration. Matt 17:5
full of grace | what | John 1:14 | The entire reason for an impact of Jesus ministry is grace, we can not earn or desrve God's restoration
(full of) truth | what | John 1:14 | Jesus came to testify to the truth (John 18:37) Jesus life & ministry testifies the truth of God
Word became flesh | who | John 1:14 | this is the physical manifestation of the Son of God leaving heaven and taking physical form on earth
only Son from the Father | who | John 1:14 | Jesus is the only Son of God, there is no other one who can take His place
made | what | John 1:3 | G1096 'ge-no-mi' to become or come into existance
life | what | John 1:4 | In Christ we find the source of our life, being, and meaning of existance
light | what | John 1:4 | John uses the theme of 'light and dark' frequently in his gospel
darkness | what | John 1:5 | darkenss, a symbol of sin, evil, or absense from the presence of God
a man sent from God | who | John 1:6 | establishing that John the Baptist's mission was divinely inspired
John | who | John 1:6 | John as in John the Baptist, son of Elizabeth & Zecharaiah, cousin of Jesus of Nazareth
to bear witness | what | John 1:7 | John bore witness to the Son of God at Jesus' baptism (John 1:29)
believe through Him | what | John 1:7 | to believe or put confidence in Jesus, redeeming man from sin
a witness | who | John 1:7 | John's job was not to be the messiah, but to be a witness of Him
give light to everyone | what | John 1:9 | echoing Luke's gospel, John opens with the position that Jesus is the Savior of all mankind
coming inot the world | where | John 1:9 | coming 'into' the world illustrates that He was, but was not in the world before… In the beginning (John 1 & Gen1)
The true light | who | John 1:9 | Jesus it he true light, giving the idea there is a false light. Satan disguses himself as an angel of light (2 Cor 11:14)

## Sheet: Sheet2

## Sheet: Sheet3
