## Sheet: Sheet1
Observation | W | verse | , 
Then | when | Luke 4:31 | Luke is linking the events that are about to happen at Capernaum with the events at Nazareth in the previous lines
went down | where | Luke 4:31 | Jesus was travelling east from Nazareth, but Capernaum lay almost 700 feet below sea level
Capernaum  | where | Luke 4:31 | a prominent fishing village on the Galillean shore of the Sea of Galilee
the Sabbath | when | Luke 4:31 | the final day of the Jewish week, the day on which the Lord rested, a holy day set aside in the Law of Moses (Lev 23)
taught the people | what | Luke 4:31 | Jesus ministry is categorized by powerful, authoritative teaching 
were amazed… authority | what | Luke 4:32 | the rabbis of Jesus day taught "in the name of" or with the authority of someone else, Jesus taught with His own 
in the synogogue | what | Luke 4:33 | a local house of worship and learning, this one in Capernaum 
man possesseed by a demon | what | Luke 4:33 | literally "a man under the influence of" an evil spirit or demon, in the ancient world demonic activity and illness were closely
 |  |  | associated… "demon" is a term used for a fallen angel that now serves Satan's agenda and not God's 
Jesus of Nazareth | who | Luke 4:34 | Yeshua (Joshua) was a common name in Jesus day, this was to identify Him directly by His earthly identification 
come to destroy "US"  | who | Luke 4:34 | the evil spirit is speaking to Christ recognizing His authority over the entire demonic realm, not just this one spirit
Holy One of God | who | Luke 4:34 | a less traditional recognition of Jesus' Messiahship "holy one" (one who is set apart) "of God" (for the purpose/plan of God)
Be quiet | what | Luke 4:35 | Jesus did not need the demon's testimony about Him, the Lord had already revealved His own identity, this also shows the 
 |  |  | total authority that Jesus had (and still has) over the forces of sin and evil. 
come out of him  | what | Luke 4:35 | demons are spirit being and don't have "full time" fleshly bodies, they can possess or opress a human being 
 |  |  | demonic possession is the total bodily and mental control of a person being given over the a demonic spirit
 |  |  | CHRISTIANS CAN NOT BE POSSESSED.   When one accepts Christ, they are indwelt with the Spirit of God, no room for demons
 |  |  | demonic oppression is the heavy weight, temptation, or influence of a demonic spirit on a human, Christians can experience this
came out… without injury  | what | Luke 4:35 | Jesus authority was supreme over the evil spirit so that it no longer had authority to hurt the possessed man 
what words these are!  | what | Luke 4:36 | because the rabbi's of His day taught with reference to others, Jesus moving in His own authority stood out greatly 
news about him spread | what | Luke 4:37 | Jesus reputation began to grow, this gives us a nice segway into the next section 
home of Simon | what | Luke 4:38 | this is the same Simon (Peter) who was one of the Lord's closest disciples 
Simon's mother in law | who | Luke 4:38 | if there was any question of whether clergy are allowed to marry, this answer's it, Peter had a wife! 
high fever | what | Luke 4:38 | Matthew (8:14-15) and Mark (1:29-31) both record the healing, but not the detail that the fever was "high" 
 |  |  | this is not absolute proof that the Luke, the physician, is the author of the Gospel, but it does lend credence to the position
rebuked the fever | what | Luke 4:39 | this does not mean the fever was demonic in origin, Jesus also rebuke a storm (Luke 8:24) which is of natural origin
began to wait on them | what | Luke 4:39 | this is not a slight on women, in this time and culture hospitality was a big deal and caring for guests was the primary 
 |  |  | responsibility of the matriarch of the home, her serving illustrates her healing was complete and there was not 
 |  |  | tiredness or "ugh" feelings after being fully healed of her fever 
at sunset | when | Luke 4:40 | the Sabbath was now over and people were free to again, "work" by carrying the sick and needy to Christ
not allow them to speak | what | Luke 4:41 | the demons were correct that Jesus was the Son of God, but He would not allow their testimony because God had other plans
at daybreak | when | Luke 4:42 | exactly what it sounds, the earliest moment of the day when light breaks the sky, symbolically the first thing you do 
solitary place | what | Luke 4:42 | Jesus often withdrew to spend time with Lord in solitude, this is necessary to remain in the will of the Father and follow Him
people came looking | what | Luke 4:42 | Jesus ministry drew people to Him because of the authority and power in which He operated 
proclaim the good news | what  | Luke 4:43 | the literal word for "good news" shares the same root from which we get our English word "Evangelize" 
 |  |  | Jesus left us the same mission, to share the good news or evangelize with the cities and towns around our area
why I was sent | what | Luke 4:43 | Jesus acknowledges here that He was sent, this illudes to the Father's overarching plan for the Messiah's ministry 
kept on preaching | what | Luke 4:44 | this verse along with v 31 creates an "inclusio" or brackets around the text beginning and ending with the same theme or idea

## Sheet: Sheet2

## Sheet: Sheet3
