## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
going to the place of prayer | where | Acts 16:16 | this is likely the same "Riverside" place of prayer mentioned earlier in verse 13
a slave girl | who | Acts 16:16 | the first detail Luke gives of this unfortunate woman is that she is a slave, this is not only true in the spiritual sense
 |  |  | that she is a slave to the demonic spirits working in her, but she is also owned and used as a profit center by men (v19)
spirit divination / the future | what | Acts 16:16 | this literally is a "pythos" spirit, it is believed to be the snake-like python spirit that guarded the temple at Delphi
 |  |  | pagans would bring money and sacrifices to the priestess at Delphi who would then let herself be possessed by the evil
 |  |  | spirit and supposedly predict the future for the worshipper. 
great deal of money  | what | Acts 16:16 | not only was this slave girl being used by the demonic spirit, but human owners were making money from her bondage
she followed Paul | what | Acts 16:17 | the tense in the Greek here means "followed and kept following" 
servants of the Most High God | what | Acts 16:17 | just because this statement is true doesn't mean the demonic witness is an acceptable one
way to be saved | what | Acts 16:17 | this interaction is very reminiscent of the Gadarean Demoniac in Luke 8:26-39
name of Jesus Christ | what | Acts 16:18 | the authority was not from Paul himself, because he is only a mere human, the authority is in the name of Jesus Christ
come out of her | what | Acts 16:18 | Paul, aware that this slave girl is demon possessed uses the authority of Christ to free her from her oppression 
at that moment, the spirit left | when | Acts 16:18 | there was no downtime in the use of the authority of Jesus. The demonic spirit obey instantly the name of the Savior 
when the owners realized | when | Acts 16:19 | notice the motivation of the owners, they did not care for the slave girls spiritual freedom at all, only their profit margin 
city into an uproar… | what | Acts 16:20 | this is a completely false charge, but sadly the unjust magristrates will accept the claim without any investigation 
the crowd joined | who | Acts 16:22 | notice Luke's clever use of the "crowd" again, the we-section ended in verse 17 
beaten with rods | what | Acts 16:22 | this action is not only unjust, but unlawful as Roman citizens were barred from capital punishment 
thrown into prision | where | Acts 16:23 | the single beating was not enough to satisfy either the unjust magistrates or the crowd who sized them, so they are held 
 |  |  | overnight in the jail 
inner cell, feet fastened | what | Acts 16:24 | this treatment was to ensure they (a) did not escape  and (b) the stocks would have extended the legs painfully 
about midnight | when | Acts 16:25 | in the middle of the night, the darkest part of the night, Paul and Silas are still praying and praising God 
violent earthquake | what | Acts 16:26 | while earthquakes are natural phenonmenon, this does not rule out God being the divine cause behind it 
doors and chains | what | Acts 16:26 | the nature of the earthquake opened the cell doors and loosed the prisoners chains, but did not destory the prison or harm
 |  |  | anyone in the prison, this suggests a supernatural event, not one of mere natural origin 
kill himself | what | Acts 16:27 | according to Roman law, if a guard allowed a prisoner under his watch to escape, his life was taken as penalty 
we are all here | what | Acts 16:28 | what is possibly more divinely amazing about this ordeal is the fact that with all the doors open and chains loosed, none 
 |  |  | of the other prisoners escaped either. Pau clearly states that ALL the prisoners were still in their cells, this is a divine event
fell trembling before Paul | what | Acts 16:29 | this is out of reverence and repentance, not human fear 
what must I do | what | Acts 16:30 | the true question of a repentant heart. In this question, we see the jailer accept his own sinfulness and desire salvation 
believe and you will be saved | what | Acts 16:31 | again, we see the simple gospel message of "believe" communicated to another unlikely believer, savlation was based on 
 |  |  | belief in Jesus, baptism was the next step, but did not install salvation 
immediately were baptized | what | Acts 16:33 | baptism symbolizes salvation in Christ. It is the next step after one comes to Christ and is the outward sign of the inward faith
let them come themselves | what | Acts 16:35-37 | Paul knew as a Roman citizen the unjust actions of the magistrates was illegal, he then stands on his rights pointing this out
came to appease them | what | Acts 16:39 | the magistrates first try to appease the crowd, now try to appease Paul and Silas, they are weak and ineffective leaders 
after… went to Lydia's house | where | Acts 16:40 | before leaving the area, Paul & Silas stop at the central home of the Philippian church to encourage their brothers & sisters

## Sheet: Sheet2

## Sheet: Sheet3
