## Sheet: Sheet1
Observation | W | verse | Additional notes
His | who | John 6:60 | reference to Jesus
disciples | who | John 6:60 | Jesus of Nazareth, Jesus Christ, Promised Messiah, Savior of the World
hard to understand | what | John 6:60 | the people only hearing the physical nature of Jesus' teachings can't understand what He is trying to say to them
were complaining | what | John 6:61 | the complaining in question is in direct response to Jesus previous teaching about His flesh and blood
does this offend you? | what | John 6:61 | the suggestion of eating a man's flesh or drinking his blood would have been vile and offensive to the audience
Son of Man | who | John 6:62 | prophetic term for Jesus Christ from the Old Testament
heaven | where | John 6:62 | the home of God the Father and the angelic host
The Spirit | who | John 6:63 | the Holy Spirit, 3rd member of the Trinity
eternal life | what | John 6:63 | the promise of life after death, specifically life spend with God in eternity 
human effort | what | John 6:63 | in contrast with the work of the Spirit, man's work or deeds can accomplish nothing in the spiritual realm
some of you | who | John 6:64 | some of those who were following Jesus listening to His teachings
The Father | who | John 6:65 | The Father, Creator, Jehovah God
turned away & deserted Him | what | John 6:66 | still today there are those that are happy to follow Jesus as long as it's easy, but when it becomes difficult they leave
the Twelve | who | John 6:67 | referring to the twelve that He would name Apostles later in the narrative of Jesus' life. 
Simon Peter | who | John 6:68 | Brother of Andrew, a fisherman by trade, an early leader in the church after Pentecost

## Sheet: Sheet2

## Sheet: Sheet3
