## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
while Paul was waiting | when | Acts 17:16 | Paul was moved to Athens by Christian brothers from Thessalonica to avoid persecution
in Athens | where | Acts 17:16 | Athens was the cultural and religious center of all thing Greek. This would have been a primarily Greek dominated city
 |  |  | however, we see there was a synogogue in the area which tells us there was a Jewish / God-fearing Greek presence 
greatly distressed… idols | what | Acts 17:16 | Paul is moved to action, literally "being provoked" by the rampant idol worship in the city
reasoned in the synagogue | where | Acts 17:17 | as was his normal ministry pattern, Paul goes to the synagogue and reasons with those there first 
as well as in the marketplace | where | Acts 17:17 | the marketplace would have been the open area of the city with not only a free exchange of ideas but also a pagan worldview
Epicureans | who | Acts 17:18 | the Epicureans believed man should pursue a life that is free from pain. They can believe in the existence of 'gods' but 
 |  |  | do not believe they interact with people at all. They also believed the body and soul deteriorated at death. This left no 
 |  |  | room for the idea of eternity or an afterlife in their thinking. 
Stoics | who | Acts 17:18 | the Stoics believed that God is in all things. This is called pantheism today. Human reason and virtue are reflections of the 
 |  |  | "life force" that is in all things. 
began to debate with him  | what | Acts 17:18 | this was not done in anger or malice, intellectual discourse and debate are highly prized values in Greek society 
this babbler | who | Acts 17:18 | the term 'babbler' in the Greek literally means, "one who picks up seeds", the accusation here is that Paul doesn't really know 
 |  |  | what he is taking about but rather has "picked up" bits and pieces of different ideas and strung them together to sound good
foreign gods | what | Acts 17:18 | this does not mean the God whom Paul is speaking about is viewed as bad or evil, but merely unknown to his audience 
meeting… Areopagus | where | Acts 17:19 | this is not a trial in the judicial sense, this is a meeting place where many philosophies are discussed and debated 
would like to know | what | Acts 17:20 | at least some of the listeners in Paul's Greek audience were interested and being drawn to faith in Christ 
spent their time doing nothing | what | Acts 17:21 | this short aside from Luke illustrates his understanding (and disdain) for the debating philosophical culure of the Greeks
Paul stood up in the meeting | what | Acts 17:22 | Paul stands and presents the Gospel of Jesus in the most "Greek" place in the ancient world, this is big moment for the Church
People of Athens | who | Acts 17:22 | Paul makes it clear that his audence for this sermon will be Greeks, not Jews or God fearers
to an unknown God | what | Acts 17:23 | Paul is not "watering down" the Gospel, but is rather contextualizing the message to his audience. This is a powerful tool 
 |  |  | for preaching and ministry, however, doctrine must never be sacrificed in the name of social revelance 
Outline of Paul's sermon |  | Acts 17:24-31 | when speaking to non God fearing Greeks, Paul does not start with Scripture (special revelation), he begins with creation 
 |  |  | itself (general revelation). While authoritative, beginning with the Old Testament would not have been probative here.  
 |  |  | 1. The One True God made the heavens, earth, and man (v24-26)
 |  |  | 2. God desires to be sought by the people of His creation (v27-28)
 |  |  | 3.The same God who created everything will judge everthing, we must repent (v29-31)
human hands  | what | Acts 17:24-25 | the assertion here is obvious, the true all powerful God does not need human hands to be seen or worshipped 
from one man | who | Acts 17:26 | a thinly veiled reference to Adam, the first man, Paul does not hang on this point but makes it in passing 
marked out their appointed times | when | Acts 17:26 | the same God who created everything is also in charge of everything and everyone
we are his offspring | who | Acts 17:28-29 | since we humans are the living being offspring of the One True God, thus He must also be a living being, not made of stone
he commands… repent | what | Acts 17:30 | the call to repent of sin come from the One who will ultimately judge those who do not, it is a call of compassion not anger
given proof… raising Him | what | Acts 17:31 | the proof of God's love and power to offer eternal life is and has always been the resurrection of Jesus
when they heard | what | Acts 17:32 | good preaching must always drive to a point of decision, in this case, the response will be mixed. 
some sneered, but others… | who | Acts 17:32 | there is a mixed response to Paul's message, some of them sneer and reject the message while others want to hear more 
some of the people | who | Acts 17:34 | there is a third group of people who respond to Paul's message, those who are convicted and believe immediately 
named believers | who | Acts 17:34 | of the named believers in this passage, one is male and the other is female, they are not all the converts, but Luke ensures 
 |  |  | the reader understands there are both men and women coming to Christ in the idolatrous captial of Athens 

## Sheet: Sheet2

## Sheet: Sheet3
