## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 18:31 | The Son of God, 2nd Member of the Trinity, Savior of the World, Promised Messiah of the Jewish People, Teacher and Healer
the Twelve | who | Luke 18:31 | the twelve men the Lord called to follow him, their names are in Luke 6:12-16
aside and told them | where | Luke 18:31 | this teaching was given privately to only the Lord's chosen disciples, and not a public teaching
Jerusalem | where | Luke 18:31 | the cental city of importance in the Jewish faith, the home of the Temple
written by the prophets | who | Luke 18:31 | Jesus appeals to the inspired writers of the Old Testament to illustrate that He is following the Father's plan
Son of Man | who | Luke 18:31 | an Old Testament name for the Messiah from Daniel 7:13
handed over to the Gentiles | what | Luke 18:32 | this would not have made any sense to the first century Jewish mindset of the Messiah being a conquering king
kill him… rise again | what | Luke 18:32 | this would also not have made any sense, although to us it seems obvious, until Easter no one has ressurected 
disciples didn't understand | what | Luke 18:34 | I don't think this their fault, their mindset was not expecting it and the verse shows us the meaning was hidden from them
Blind man recieves sight | what | Luke 18:35-43 | this story also appears in Matthew 20:29-34 and in Mark 10:46-52
 |  |  | in Matthew's version Jesus is leaving Jericho and there are two blind men
 |  |  | in Mark's version Jesus is arriving in Jericho and there is only one blind man, who is named Bartimeaus
 |  |  | this doesn't have to be a contradiction. The text in Luke says "near Jericho" and Mark/Luke can be speaking of only one 
 |  |  | of the two blind men healed. This should not be seen as a reason for the Bible to be doubted or errant. 
approaching Jericho | where | Luke 18:35-43 | it should also be noted that the ancient city of Jericho (the one attacked by Joshua) and the first century city of Jericho
 |  |  | are not the same place, this can also give further allowance to explain the differences in the Gospel accounts
blind man begging | what | Luke 18:35 | there was not a formal welfare system in the first century, those who couldn’t work relied on the charity of others
when he heard | when | Luke 18:36 | the man was blind, but could clearly hear a commotion signaling a large group of people passing by 
they told him  | who | Luke 18:37 | some people near him, part of the crowd or other beggars would could see told him it was Jesus passing by 
he called out | what | Luke 18:38 | in repsonse to the hearing that it was Jesus of Nazareth who was passing by the blind man began to yell for the Savior 
Jesus, Son of David | who | Luke 18:38 | despite not being able to physically see, the blind man has the faith that Jesus is the promised Messiah 'Son of David' 
have mercy on me | what | Luke 18:38 | the blind man's prayer uses the Greek word "el-aye-AYE-oh" which means to help one who is afflicted or in need of aid
those who led the way | who | Luke 18:39 | the members of the crowd that were leading the way into the city of Jericho, presumably followers or disciples of Jesus
rebuked him… be quiet | what | Luke 18:39 | the reason for the rebuke is the main issue, those leading the crowd felt the Messiah was "too important" to be bothered
but he shouted all the more | what | Luke 18:39 | in response to the rebuke of the crowd the blind man doubled down and yelled even louder for the Savior's healing
Jesus stopped |  what | Luke 18:40 | Jesus now makes the decision to stop the travelling (18:35) and make a ministry moment right here and now
ordered the man brought | where | Luke 18:40 | Jesus not only stops, but then has the blind man brought to Him instead of going over to where he was begging. This 
 |  |  | in effect brings the blind man into the center of the action and attention by the Lord's design 
when he came near | when | Luke 18:40 | the moment in time when the blind man came near to Jesus. This also made him the focus of the crowd 
what do you want me to do? | what | Luke 18:41 | this question might seem insulting, but it also serves a powerful purpose, the blind man verbalizes his own faithful 
 |  |  | desire by requesting it of the Lord in front of all the witnesses in the crowd, if they didn't know he was blind, they do now
Lord, I want to see | what | Luke 18:41 | the word 'Lord' is /KOOR-ee-os/ and means 'one who has authority over another' this shows the blind man understands 
 |  |  | Jesus has authority over his own life and more importantly his blindness
receive your sight | what | Luke 18:42 | the Savior grants the request made in faith and heals the man in the midst of the crowd of witnesses. This would have
 |  |  | further illustrated the blind man's prophetic calling of Jesus as the "Son of David" as one of the expectations of the
 |  |  | Messiah was that the blind would receive sight. See Isaiah 35:5
immediately | when | Luke 18:43 | the healing of the blind was immediate and thus witnessed by the entire crowd
followed Jesus  | what | Luke 18:43 | the healing is not the end of the story, but rather that the blind man (who was the only one to see the Messiah for who He
 |  |  | really was) now continued on following Jesus. His life of begging had ended and his new life of following had begun. 
when all the people saw | whe | Luke 18:43 | Luke completes this narrative by illustrating that the healing did more than just change one man's life, but brought
 |  |  | more praise to God from the crowd of witnesses who saw it. 

## Sheet: Sheet2

## Sheet: Sheet3
