## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
members of the sanhedrin | who | Acts 7:54 | the Jewish leaders and teachers, both pharisee and sadduccee 
they were furious | what | Acts 7:54 | the accusation of betrayal, murder, and resisting the Spirit sent the Sanhedrin into a tailspin of rage 
Stephen | who | Acts 7:55 | one of the "proto-deacons" selected in Acts 6 
full of the Holy Spirit | what | Acts 7:55 | in contast to the religious leaders who are full of rage, Stephen is full of the Spirit as he testifies to them 
glory / Jesus standing | what | Acts 7:55 | scholars debate what Stephen's heavenly vision signifies. To some it is encouragment for Stephen, but there is no concensus
I see heaven open.. | what | Acts 7:56 | the final "straw" for the sanhedrin is Stephen's heavenly vision, this they can not abide in the Temple of God 
covered their ears yelling | what | Acts 7:57 | the sanhedrin refuses to hear another word that Stephen has to say 
dragged him out of the city | where | Acts 7:58 | In following Leviticus 24:14, they had to take Stephen outside the city to kill him as a blasphemer 
laid their coats… Saul | who | Acts 7:57 | the Spirit gives us a short glimpse at Saul's participation (of sorts) in the execution of Stephen 
Stephen's prayer | what | Acts 7:59-60 | Luke is clearly portraying Stephen's death in the same light as the Savior's, see Luke 23:34 and 23:46
he fell asleep | what | Acts 7:60 | this use of the word "sleep" here is describing (figurartively) what happened to Stephen's body, not his soul. This should
 |  |  | not be used as justification for the idea of "Soul Sleep" 
Saul approved  | what | Acts 8:1 | this second mention of Saul illustrates that he not only participated in but approved of the killing of Stephen
on that day | when | Acts 8:1 | Luke here establishes a new section or moment in his history of the church. From this point forward, the gospel and 
 |  |  | the activity of the Spirit will extend beyond the city walls of Jerusalem following the Lord's words in Acts 1:8
persecution broke… scattered | what | Acts 8:1 | the Lord used the pressure of the persecution to spread His messengers out of Jerusalem. This is pointful for us today
 |  |  | because we tend to get very comfortable in our own "holy huddles" and forget that the mission lies outside our own circles
 |  |  | of influence, often that will also be outside our comfort zones as well 
Godly men buried Stephen | who | Acts 8:2 | there is debate amongst scholars if Luke is referring to Godly Chrisitan men, or Godly Jewish men 
began to destroy  | what | Acts 8:3 | the word here used to describe Saul's actions has the connotation of a widly animal tearing at it's food
men and women | who | Acts 8:3 | notice again that Luke includes women in the activity and persecution of the Christian Church
Phillip  | who | Acts 8:4 | first introduced to us in Acts 6:5, he becomes the second ministry focus of the Luke's record in Acts 
(a/the) city (in/of) Samaria | where | Acts 8:5 | there is debate as to whether this verse should read "A city IN Samaria" or "THE city OF Samaria" because of this, the 
 |  |  | exact location of the following events are somewhat unclear, regardless of the geographic debate, no one doubts the 
 |  |  | veracity of the events being part of the historical record 
deliverance and healing | what | Acts 8:6-7 | Philip's ministry was powered by the Spirit and included demonic deliverance and physical healing 
great joy in that city | what | Acts 8:8 | the outcome of true Spirit empowered ministry should be joy 
Simon the Sorcerer | who | Acts 8:9 | the only detail we know about this man is that he was a reputation for magical powers, this could be part science 
 |  |  | and part supersition, as well as full blown demonic powers 
he boasted he was someone | what | Acts 8:9 | because of this alleged "powers" Simon declared that he was greater than the residents of the town 
all the people | who | Acts 8:10 | the people of the town, the crowds who had been witnesses of Simon's "powers" 
Great power… followed him | what | Acts 8:10 | because of Simon's "powers" he had amassed a following 
proclaimed… were baptized | what | Acts 8:12 | Luke is assuming his readers will infer that accepted Christ and then were baptized, he is not saying baptism saves 
Simon believed /baptized | what | Acts 8:13 | Simon (in Pastor Bill's opinion) is not truly saved, even though he claims to believe and has been baptized. His actions
 |  |  | in the next scene illustrate an unrepentant and unregenerate heart, both of which are signs or signals to an unsaved life. 
 |  |  | Ultimately, we are not the judge of another person's salvation, only God is, however, the "fruit" defines the tree 
sent Peter and John  | who | Acts 8:14 | both Apostles of Christ, Peter and John were still in Jerusalem despite the persecution and were sent to Samaria 
when they arrived  | when | Acts 8:15 | there is a clear narrative delay between the time the Samaritan's acceptane of Christ and their being "filled" with the Spirit 
placed their hands on them | what | Acts 8:16-17 | Peter and John placed their hands on them and they received the Spirit. How did the onlookers know that the Spirit had 
 |  |  | been received? Charasmatic and Cesessonist scholars agree, they most likely spoke in tongues as in Acts 2 and 10
Simon offered money | what | Acts 8:18 | Simon, on seeing something supernaturally powerful offers the Apostles money to be given this gift
Observation | W | Verse | Thoughts / Details
money perish with you | what | Acts 8:20 | Peter clearly portrays Simon as still derserving of death, I believe this is a futher illusration of his unsaved heart 
have no part or share | what | Acts 8:21 | as much as Luke has presented the unity of the Church as a primary theme, Simon is not one of the community 
heart is not right | what | Acts 8:21 | Peter specifically points out that Simon's heart is not "right before God" 
Repent of this | what | Acts 8:22 | If Simon were truly saved, I do not believe that Peter would be telling him to repent of his sin 
the Lord may forgive you | what | Acts 8:22 | from Peter's perspective, Simon does not have the assurance of forgiveness in Christ 
full of bitterness, captive to sin | what | Acts 8:23 | Simon's heart is dark and sinful, not what you would expect of a person who had just accepted Christ and been baptized 
pray to the Lord for me | what | Acts 8: 24 | Simon does not want to pray for himself, he asks instead for Peter to intercede on his behalf 
will happen to me | what | Acts 8:24 | Simon's fear is for the consequences of his actions, not the repentance of sinning agains the Lord 
returned to Jersusalem | where | Acts 8:25 | this proves for us that they were sent from Jerusalem if they are returning to it. 
many Samaritan villages | what | Acts 8:25 | we no longer see a cultural divide between the Jewish and Samaritan Christians after this episode. In fulfilling the Words of 
 |  |  | Christ, the Apostles had brought the word of Salvation and the Spirit to Jerusalem, Judea, and now Samaria

## Sheet: Sheet2

## Sheet: Sheet3
