## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Once | when | Luke 9:18 | this is a chronological break from the narrative before. There is an undetermined amount of time before "once" 
praying in private | what | Luke 9:18 | Jesus was with His disciples, but was spending time with His Father, Jesus kept His relationship with the Father separate 
disciples | who | Luke 9:18 | this most likely refers only to the 12, as they were getting more and more of His personal teaching and training
Who do… say I am? | what | Luke 9:18 | Jesus was setting up the next question, remember Luke is writing this to Theophilus (and us) and shows us the difference 
 |  |  | between the guesses and muses of those who were not close to the Savior and His disciples who were with Him 
some say | who | Luke 9:19 | one of the "some" would be Herod (v9) wondering who Jesus was and making their own assumptions of His identity 
what about you? | what | Luke 9:20 | Jesus now ask the direct question He intended to, to get the disciples confession of their understanding of His identity
God's Messiah | what | Luke 9:20 | your Bible may read Messiah (from the Hebrew "Mashiyach" /ma-she-ah/) or Christ (from the Greek "Christos" /kree-stohs/)
 |  |  | both of these words mean the same thing "Anointed One" Jesus was the anointed or appointed King of God 
warned them not to say | what | Luke 9:21 | this again seems counter intuitive, but it is necessary for the accomplishment of Christ's mission which is He then explains
Son of Man | who | Luke 9:22 | this is NOT a reference to Jesus humanity, but an Old Testament term for the promised Messiah from Daniel 7:13
must suffer many things | what | Luke 9:22 | Jesus knows that the Jews of His day are expecting a conquering King, but He came (this time) to be the suffering servant
be rejected by | what | Luke 9:22 | Jesus knows that His own people, the Jews, will reject Him as their Messiah, and this is to bring salvation to all 
killed and raised  | what | Luke 9:22 | Jesus tells his disciples out right that His mission (and there's if they follow Him) will end in suffering and death
 |  |  | but, after the earthly death, there will be a resurrection to a new glorious life 
Whoever wants to be | who | Luke 9:23 | notice this was said "to them all" meaning it was an open statement, this then applies to each and every one of us today 
deny themselves | what | Luke 9:23 | following Jesus means we must put our own wants and desire behind Him and His plans in our priorities 
take up their cross | what | Luke 9:23 | following Jesus means we must carry our own suffering for His sake. In Jesus day, the Romans had elevated crucifixion to
 |  |  | an art form of torture and death, condemned would carry the heavy cross beam to the site where they would be killed 
follow me | what | Luke 9::23 | following Jesus means that we do not have the right to choose our own direction in life, we are to follow Jesus not ourselves
save/loose vs loose/save | what | Luke 9:24 | again the Lord emphasizes that following Him and doing this "our own way" are not compatible. You can not do both.
what good is it… | what | Luke 9:25 | Jesus gives an example of the temporal nature of life, we spend all this time in our lives on earth seeking and gaining
 |  |  | earthly wealth, but when we die, we do not take any of it with us, therefore it doesn't have any real value 
ashamed & ashamed | what | Luke 9:26 | I do not believe this verse is referencing salvation, since again that would make salvation under our power, not God's
 |  |  | instead I believe this is referring to the Bema Seat of Judgement when we face the Lord Jesus in Revelation 
taste death before they see | what | Luke 9:27 | Jesus can't be talking about His second coming as that hasn't happened yet, He is referring to the transfiguration 
about 8 days later | when |  Luke 9:28 | chronologically linking this next narrative to the verses here, but not specifically 8, Mark refers to 6 days (Mark 9:2)
Peter, James, and John | who | Luke 9:28 | these are Jesus "inner three" or closest disciples, we see them in Jarius' home (Luke 8:51) and here again on the mountain 
a mountain | where | Luke 9:28 | this has been referred to as Mount Tamor, but is more likely Mount Hermon because it's closer to Caesarea Phillipi
appearance changed | what | Luke 9:29 | the veil of Jesus humanity was pulled back and the disciples saw Jesus in more of His transcendent glory 
 |  |  | this radiance or bright appearance is reminiscent of Moses face glowing after being in God's presence (Exodus 34:29) 
Moses and Elijah | who | Luke 9:30 | both men delivered Israel from bondage, they also together represent the Law and the Prophets both lesser than Jesus
spoke about His departure | what | Luke 9:31 | the departure coming was something Jesus already knew about (v22) and had been ordained by God for His purposes
very sleepy  | what | Luke 9:32 | this isn't the last time we will see them sleepy, they also slept in the garden the night Jesus was betrayed (Matthew 26:40)
let us put up three shelters | what | Luke 9:33 | Peter, in typical ADHD fashion, speaks before he has a full understanding of what was going on. Peter wants to put up shelters
 |  |  | these were reminders or places of remembrance, but by suggesting three, Peter is making Moses and Elijah equal to Jesus
 |  |  | additionally, Jesus had already mentioned that He was going to suffer and die, not stay in the "mountaintop moment" 
a cloud appeared, spoke | what | Luke 9:34-35 | God the Father has appeared and spoken in clouds before; in the Exodus 13:21, at Jesus baptism Matthew 3:17
listen to Him | what | Luke 9:35 | God the Father gives a clear and direct command to listen to Jesus, as He will be giving them the words of Life everlasting
did not tell anyone | what | Luke 9:36 | the disciples followed Jesus instructions (v21) and did not speak about these things, Jesus had an appointment at Jerusalem

## Sheet: Sheet2

## Sheet: Sheet3
