## Sheet: Sheet1
Observation | W | verse | , 
One day  | when  | Luke 5:1 | this is a reference to time, but not necessarily a direct link to the passage before, the author is letting us know "another time" 
Jesus | who | Luke 5:1 | the Son of God, Promised Messiah, Savior of all, 2nd member of the Trinity, suffering Servant, Coming King 
Lake of Gannesaret | where | Luke 5:1 | also known as the Sea of Galilee or the Sea of Tiberius is a fresh water lake on the eastern side of Galilee 
the people | who | Luke 5:1 | an un-named and un-numbered crowd of people, in this case also the cause for Jesus asking to use Peter's boat
listening to the Word of God | what | Luke 5:1 | Jesus' teaching was one with authority (4:36), His teaching ministry drew many to hear, but not all would follow (John 6:66)
the water's edge | where | Luke 5:2 | the fisherman had just been fishing all night (v5) and had brought the boats in for some rest 
two boats |  where | Luke 5:2 | the boats belonged to Peter/Andrew and their partners 9v10)  James/John, the four had a previous relationship to one another
washing their nets | what | Luke 5:2 | the washing of the nets shows the care and concern for the "tools of the trade" they were diligent in their efforts 
Simon / Peter | who | Luke 5:3 | in this story we are introduced to him as the fisherman, he will later be a disciple and an apostle 
put out a little from the shore | where | Luke 5:3 | Jesus used the natural barrier of the water to allow Him to teach more people by setting back from the crowd
taught the people | what | Luke 5:3 | While Jesus' primary mission was to save us from our sins, His primary means was through teaching 
he finished speaking | what | Luke 5:4 | We don't know how long Jesus taught, but for the whole time, Jesus had comendeered Peter's boat, his livelihood
he said to Simon | what | Luke 5:4 | notice the change in focus, Jesus moves from speaking to a crowd to speaking to Peter alone and "teaching" him 
put out into the deep | where | Luke 5:4 | see the progression, first "a little from shore" now "into the deep" Jesus is asking Peter for faith, trust, and obedience
let down your nets | what | Luke 5:4 | strange that a carpenter would try to "teach" an experienced fisherman how to fish, Jesus is more than He appears to Peter
master | who | Luke 5:5 | /ep-eh-STAH-tase/ meaning superintendent or overseer, Peter recongnizes and submits to Jesus authority in his life 
we've worked hard | who | Luke 5:5 | Peter, by using the plural, is also referring to his brother, Andrew, and his partners (v7) James and John 
haven't caught anything | what | Luke 5:5 | Peter admits that they were unfruitful in their fishing last night, don't forget, these are professional fishermen
because you say so | what | Luke 5:5 | this is an amazing statement of faith, "because you say so" shows that Peter care more about Jesus words than his own 
 |  |  | knowledge, understanding, and experience as a professional fisherman
let down the nets | what | Luke 5:5 | this is now the third thing Jesus has asked Peter to do, this is the final step of "real work" to catching the fish
 |  |  | if you don't go where the fish are, and let down the nets when the Savior leads you to, you will not have an abundant catch! 
when they had done so | what | Luke 5:6 | in essence, when they had been obedient to not Lord's diretion and command "let out to the deep" "let down the nets" 
large number… nets… break | what | Luke 5:6 | in direct opposition to the night before when they caught nothing, now they caught so much their nets were straining 
signaled to their partners | who | Luke 5:7 | they either had a system worked out, or were within eye shot to call for help
filled both boats | what | Luke 5:7 | the amount of fish was enough to almost sink both fishing boats, again in contrast to the night before 
when Peter saw this | what | Luke 5:8 | Jesus chose a means of reaching Peter than was personal and substantial to him, this spoke to Peter's heart 
fell at Jesus' knees | what | Luke 5:8 | same root as our English word "prostrate"; it means to fall forward to show homage and supplication 
go away from me Lord | what | Luke 5:8 | Lord here is "kyrios" meaning one who has authority and decision making power over another, Peter is fully submitted to Christ
I am a sinful man | what | Luke 5:8 | the openess of Peter to voice his sinfulness when in the Lord's presence shows us the attitude of his heart 
James & John | who | Luke 5:10 | the sons of Zebedee, also became disciples and apostles 
you will fish for people | what | Luke 5:10 | Jesus used their known skill of fishing to teach them that fishing for men would be a life of ministry 
left everything | what | Luke 5:11 | the response to the Savior is complete, there was nothing left behind that was more important than being with Jesus
followed Him | what | Luke 5:11 | leaving everything behind is just the first part of the recipie, filling that space with Jesus is what following Him is all about

## Sheet: Sheet2

## Sheet: Sheet3
