## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
As the soldiers | who | Luke 23:26 | these are Roman soldiers leading away from Pilate to crucify Jesus
Simon from Cyrene | who | Luke 23:26 | Simon is likely a Jewish Pilgrim from the area of modern day Libia, he is likely in town for the Passover 
put the cross on him  | what | Luke 23:26 | this is not the entire cross, as the veritcal beam would stay in place, this is only the cross beam of the cross 
large number of people | who | Luke 23:27 | again we see Luke recording a large crowd as a witness of the events he is depicting
women who mourned | who | Luke 23:27 | this can be faithful followers, but may also be professional mourners which were employed from Jewish funerals 
daughters of Jerusalem | who | Luke 23:28 | here, Jesus addresses the female mourners only as daughters, meaning Jewish, not as His own followers 
do not weep for me… | what | Luke 23:28 | here, Jesus corrects the mourners actions and prophetically illustrates that a time will come when they will mourn 
blessed are childless women | what | Luke 23:29 | in a culture where childlessness was a disgrace, seeing it as blessed is a massive reversal of perspectives 
mountians… hills cover us | what | Luke 23:30 | this is an illusion to prefering death and burial over the coming trials and persecution of Israel, this is also predicted in 
 |  |  | Hosea 10:8, Isaiah 2:19, and Revelation 6:16
tree is green… it is dry | what | Luke 23:31 | this is not a reference to the cross Jesus was carrying (because He wasn't carrying it), but rather it is an allusion to 
 |  |  | the coming judgment of Israel being worse that the judgment on Christ Himself. 
two other men… criminals | who | Luke 23:32 | Luke alone records the conversation with the faithful criminal, the other accounts only have the criminals jeering at the
 |  |  | Savior, being between the two criminals also fulfills Isaiah 53:12, "he was numbered among the transgressors" 
place called the skull | where | Luke 23:33 | Golgatha is a transliteration of the Aramaic word for "skull", whereas Calvary comes from the Latin word "Calvaria"
 |  |  | which also means "skull"  This name could reflect the shape of the hill, or its close association with death 
Father, forgive them | what | Luke 23:34 | here, Luke illustrates Christ's mastery of the events of His own execution by praying for those who are mocking and  
 |  |  | killing Him, because they (the mockers and killers) do not know the full effect of what they are doing
divded up His clothes  | what | Luke 23:34 | this is a fulfillment of Psalm 22:18 
saved others… save Himself | what | Luke 23:35 | again, we see the hard hearts of the religious rulers throwing accusations at the Savior
offered… wine vinegar | what | Luke 23:36 | this was a common drink for the poorer class, it was a better thrist quencher than water 
written notice above Him | what | Luke 23:38 | the written notice above the Savior is presented as slightly different in each Gospel. It is important to note that the 
 |  |  | inscription was written in up to four different languages. Greek, Latin, Aramaic, and Hebrew
 |  |  | Mark 15:26 - The King of the Jews
 |  |  | Luke 23:38 - This is the the King of the Jews
 |  |  | Matthew 27:37 - This is Jesus, the King of the Jews 
 |  |  | John 19:19-20 - Jesus of Nazareth, the King of the Jews 
 |  |  | These four statements do not have to contradictory, their sum value can be read as follows: 
 |  |  | This is Jesus of Nazareth, the King of the Jews 
one of the criminals | who | Luke 23:39 | this is the "unbelieving" criminal and did not have a repentant heart in the presence of the Savior 
the other criminal  | who | Luke 23:40 | this is the "faithful criminal" and his salvation is recorded in Luke alone, it is very possible that this criminal began 
 |  |  | this time on the cross hurling insults and then had a change of heart and repented to the Savior before he died 
fear God… done nothing wrong | what | Luke 23:40-41 | the "faithful criminal" not only sees Jesus as fully innocent but also realizes that God the Father is to be feared in the 
 |  |  | presence of sin and injustice, this drives his confession and request in the next few verses
Jesus, remember me… | what | Luke 23:42 | in this simple sentence, the faithful criminal displays a great amout of the faith 
 |  |  | Jesus - salvation is found in Jesus alone and recognizes Him as the one and only means 
 |  |  | remember me - there will be life after this one and Jesus will have the power to remember him 
 |  |  | when you come - there will not be a down time between this life and the next 
 |  |  | into Your Kingdom - in the next life, Jesus will be the King and have the power to "remember" him 
today… with me in paradise | what | Luke 23:43 | Jesus responds to genuine faith with salvation guaranteeing the faithful criminal access to Him in the afterlife 
Observation | W | Verse | Thoughts / Details
6th hour / 9th hour | when | Luke 23:44 | the Jewish day began at 6am, so the 6th hour is 12 Noon, and the 9th hour is 3pm 
sun stopped shining | what | Luke 23:45 | this is not a momentary eclipse or blocking of the sun, this is celestial event recognizing the severity of the death of Jesus
curtain was torn | what | Luke 23:45 | this is a major sign with significance for us in the Church today, man no longer was travel to the Temple in Jerusalem 
 |  |  | to commune with God, because of the death of Jesus, the Holy Spirit indwells and resides in each believer, see 1 Cor 6:19
Father, into your hands | what | Luke 23:46 | Jesus, still in complete control of His death willingly gives His life to His father, this is also a fulfillment of Psalm 31:5
centurion… righteous man | what | Luke 23:47 | again we a second Roman witness to the innocence of Jesus (Pilate was first) by the gentile evangelist 
beat their breasts went away | what | Luke 23:48 | Luke alone records this response of regret to the death of the Savior 
stood at a distance | what | Luke 23:49 | Luke ends the crucifixion narrative with the faithful disicples and women watching at a distance, they will reengage in the 
 |  |  | coming kingodom of the Church in Acts and recall these events, see Peter's sermon in Acts 2

## Sheet: Sheet2

## Sheet: Sheet3
