## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Tax collectors | who | Luke 15:1 | they were seen as traitors to their own people by taking Jewish money and paying it to Romans, they often abused this job
sinners | who | Luke 15:1 | we are all sinners (see Romans 3:10-12) but in this view, the Pharisees see themselves as better than the sinners of their day
gathering to hear | what | Luke 15:1 | this picks up from the previous chapter leaves off with the banquet feast, where the sinners and lost are listening to Jesus
Jesus | who | Luke 15:1 | the Son of God, Son of Man, 2nd Member of the Trinity and in Luke's Christology: Savior of the World 
Pharisees | who | Luke 15:2 | religious teachers and legalistic leaders, the smaller of the two groups making up the Sanhedron
muttered | what | Luke 15:2 | literaly to grumble or complain… notice the contrast between the sinners listening and the "righteous" complaining
welcomes sinners… eats with | what | Luke 15:2 | in the first century, table fellowship was a common social occurrence. The self-righteous wouldn't eat with lesser people 
then Jesus told them… | when | Luke 15:3 | all three parables that follow are all based on the observations Luke gives us in the first two verses. 
 |  |  |            1. Sinners and Tax Collectors were coming to listen to Jesus teaching
 |  |  |            2. Self-Righteous religious legalists were complaining against Jesus because of the company He was keeping
 |  |  |            3. Noticing this contrast, Jesus teaches these parables to the 'sinners' but they are aimed at the 'religious teachers'
suppose | what | Luke 15:4 | remember that all three of these stories are parables, that means the people, animals, and money don't really exist
 |  |  | a parable is a fictional story intended to teach a single or perhaps a few lessons, we shouldn't take each and every piece of
 |  |  | each story and try to make it's own application, this is called allegorizing and is dangerous. 
one of you has 100 sheep | what | Luke 15:4 | Jesus addresses the common man of his day using a common analogy, a shepherd watching over sheep. 
loses one of them | what | Luke 15:4 | this first parable opens with a shepherd knowing that there is a lost sheep separated from his love, protection and provision
open country / wilderness | where | Luke 15:4 | the 99 aren't safe in the home of the shepherd, they are still in the wilderness, scholars have debated whether this is act is
 |  |  | uncaring on the part of the shepherd to leave the other 99 in danger, or whether his partners would watch them. The focus
 |  |  | of the parable is the sheperd and the lost sheep, so in view, either position is unneccary to the main point of the parable.
he finds it | what | Luke 15:5 | the responsibility of finding the lost sheep rests entirely on the shepherd. He noticed the sheep was lost and sought it out
puts it on his shoulders | what | Luke 15:5 | it is also the responsibility of the shepherd to carry the sheep back, the sheep doesn't lead the shepherd, He carries it. 
goes home | where | Luke 15:6 | the shepherd doesn't return to the wilderness, but instead brings the sheep to His home, indicating a new level of intimacy 
Rejoice with me | what | Luke 15:6 | the rejoicing seen here is the main point of the parable, it contrasts the religious leaders attitude from verses 1-2
 |  |  | this joy is meant to symolize the joy our Heavenly Father experiences when a lost person repeats and is brought home 
do not need to repent | what | Luke 15:7 | this verse does NOT mean that there are some who never need to repent, but rather that the religious leaders to whom this 
 |  |  | parable is aimed at THOUGHT that they were righteous by themselves. They didn't believe they needed to repent 
or suppose a woman | who | Luke 15:8 | again, this is not a real woman, but an invention of the Savior's imagination intended to teach a lesson 
ten silver coins | what | Luke 15:8 | given that this coin likely represents a days wage for labor, the likely value is between $100 - $150 per coin 
loses one   | what | Luke 15:8 | as in the previous parable, the story begins with a conerned party (woman/shepherd) knowing that soemthing of value
 |  |  | has been lost and they set out to seek it. 
light a lamp | what | Luke 15:8 | many one room homes then did not have windows, so the lamp would be the light necessary to search 
sweep the house | what | Luke 15:8 | this speaks to the level of care and detail the woman used in her search 4
until she finds it | what | Luke 15:8 | the care, love, and tenacity of the woman did not allow her to quit until the coin was recovered 
when she finds it | when | Luke 15:9 | like the shepherd the moment of finding that which was lost is a cause for great joy and rejoicing 
Rejoice with me | what | Luke 15:9 | like the shepherd, the woman's over exagerated reaction to finding the lost coin also is meant to contrast the pharisees 
there is joy over… | what | Luke 15:10 | This is the ulimate lesson from both of these parables. God's heart expiereinces joy when that which was lost (sinner) 
 |  |  | is found and repents. What is interesting about this conclusion is that neither the sheep nor the coin are living things that
 |  |  | are capable of repenting. In both instances, it was God (shepherd / woman) who seeing the lost condition (sheep / coin) 
 |  |  | chose to seek out, find, and return the lost to Himself. 

## Sheet: Sheet2

## Sheet: Sheet3
