## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
One Day | when | Luke 20:1 | this "one day" must be within the Easter week, likely Tuesday as there are still events to come before the Savior's arrest 
teaching the people | what | Luke 20:1 | throughout the book, Luke has portrayed Jesus as a teacher and healer 
in the temple courts | where | Luke 20:1 | Jesus is teaching in "His Father's house" to the people of Isreal 
chief priests, teachers, etc | who | Luke 20:1 | the ranking religious leaders of the day, they had the power and authority over the people and the nation of Israel 
tell us by what authority | what | Luke 20:2 | this is a trap. If Jesus answers "from God" they will arrest for blasphemy. If he answers anything else they would have 
 |  |  | reason to then discredit His teaching to the people. 
 |  |  | the question is still one that is asked over and over today, "Where did you get your degree?" or "Who gave you an ordination 
 |  |  | to preach, teach, etc…" No mater the phrasing, the quesiton remains the same: what human authority gives you the 
 |  |  | right to serve God in a spiritual leadership position? 
I will also ask you | what | Luke 20:3 | it is a classic style of rabbinic argumentation to answer a question with a question, Jesus is meeting them on their turf
John's baptism | what | Luke 20:4 | this is a trap. If they answer "from God" Jesus can ask why they didn't believe; if they answer, "from man" than the people 
 |  |  | would riot because they considered John to be a prophet from God. 
 |  |  | Jesus' answer is also more than a trap. If the religious leaders had answered Jesus question, they would have in fact answered
 |  |  | their own question as well, as John's authority and mission came from the same place as did Christ's and John himself 
 |  |  | said that Jesus was "greater than I" (Luke 3:16)
discussed it… themselves | what | Luke 20:5 | clearly this was coordinated effort to trap Jesus using well thought out "no win" questions. When the religious leaders
 |  |  | are questioned, they then work together to attempt to answer the Savior
we do not know | what  | Luke 20:7 | this is a misleading cop-out. Luke showed us they thought it out and knew full well they could not answer, thus they 
 |  |  | pretend that they did not know when in reality they refused to answer 
neither will I tell you | what | Luke 20:8 | Jesus knowing their hearts, also refuses to answer their question escaping their trap. 
parable | what | Luke 20:9 | remember that a parable is a fictional story with a spiritual purpose
a man / the owner | who | Luke 20:9 | the man in this parable is clearly God (Jehovah) 
a vineayrd | who | Luke 20:9 | the vineyard refers to Israel likening to the imagery found in Isaiah 5:1-7 which also refers to Israel as a vineyard 
some farmers / tenants | who | Luke 20:9 | this refers to those entrusted to care for the vineyard (Israel) which is the relgious leaders 
a long time | when | Luke 20:9 | this referes to the time both in the Old Testament, New Testament, and the Age of the Church in which God is waiting
 |  |  | for the appointed time for His return. 
harvest time  | when | Luke 20:10 | this does not refer directly to the rapture / end times, but rather that every year the Lord desired fruit in the lives of His people
servant(s)  | who | Luke 20:10-12 | these servants refer to the prophets sent to Israel and Judah during the Old Testament times 
fruit | what | Luke 20:10 | the "fruit" the prophets were sent to collect was the repentance of God's people in the face of their sin
beat him / sent away | what | Luke 20:10-12 | the leaders of the people (religious leaders / kings) did not want to yield power or authority to the prophets and 
 |  |  | centralized (for the most part) the authority over God's people to themselves 
empty-handed | what | Luke 20:10-11 | if the fruit is repentance, than the empty-handed prophets did not see God's people repent 
what shall I do | what | Luke 20:13 | there comes a moment when the owner will no longer tolerate the spiritually adulterous actions of His people, action 
 |  |  | on the part of the owner is now emminent 
send my son, whom I love | who | Luke 20:13 | this is Savior referring to Himself as the eternal and co-existent Son of God
when they saw | when | Luke 20:14 | the moment when the servants (religious leaders) became aware of the Savior 
they talked over | what | Luke 20:14 | this clearly shows the religious leaders conspiring together to oppose and eventually kill the Messiah
let's kill him | what | Luke 20:14 | Jesus is prophetically predicting his death at the request of the religious leaders of Israel 
inheritence will be ours | what | Luke 20:14 | this illustrates the sinfully selfish heart of the religious leaders, they see themselves as entitled to be owners instead of 
 |  |  | the stewards that God had appointed them to be
Observation | W | Verse | Thoughts / Details
give the vineyard to others | what | Luke 20:16 | here we have another example of how your presuppisitions to the Bible directly affect how you read it and what you 
 |  |  | learn from it. For those that take a Covenant Theology position (The Church replaces National Israel) this verse is futher
 |  |  | evidence of that replacement. For those who are Dispensationalists (The Church is grafted into Israel) this verse 
 |  |  | illustrates why the church is grafted in. 
 |  |  | we also see the religious leaders of Israel being replaced by the Apostles and the destruction of Jerusalem in AD 70 doing
 |  |  | away with the Jewish sacrificial system all together
when the people heard this | when | Luke 20:16 | when the people heard the parable and grasped its meaning
may this never be | what | Luke 20:16 | this illustrates that the audience understood the point of the Savior's teaching 
has become the cornerstone | what | Luke 20:17 | Jesus quotes Psalm 118:22 clearly referencing Himself as the stone that becomes the capstone 
falls on that stone | what | Luke 20:18 | Jesus is the stone that the Lord has elevated. Those who fall at Jesus feet will be broken but renewed, those who are 
 |  |  | judged and found faithless (ie crushed) are doomed to eternity without the Lord's presence
looked for a way | what | Luke 20:19 | again we see the religious leaders characterized as jealous and scheming to get rid of Jesus, just like the parable
afraid of the people | what | Luke 20:19 | even though the religious leaders wanted rid of Jesus, they wanted the attention and power over the people more 

## Sheet: Sheet2

## Sheet: Sheet3
