## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
John | who | Luke 7:18 | John the Baptist, son of Zechariah and Elizabeth (1:13) whose conception was heralded by an angel (1:11) 
disciples | who | Luke 7:18 | in this verse, these are the disciples of John the Baptist. Remember John's ministry was to "prepare the way" 
all these things | what | Luke 7:18 | all the past ministry that Luke has recorded for us, Jesus is a powerful teacher and healer with power over demons 
sent them  | what | Luke 7:19 | John can not go himself because he is in prison (3:19-20)
to the Lord | where | Luke 7:19 | while this is not a named where like a city or country, it is specific as Jesus was only in one place at this time
Are you the one…? | what | Luke 7:19 | there are two ways to see this question: 
 |  |  | Faithful: John is not easily swayed (v24) so this is John confirming his belief in Jesus as the Messiah who was to come (3:16)
 |  |  | Doubtful: John hears of Jesus ministry (teaching & healing) and this doesn't match his understanding (3:17-18), so he asks
At that very time | when | Luke 7:21 | not a day or event, but we are talking about a specific time, at the very moment the men arrived at Jesus' location
Jesus healed…  | what | Luke 7:21 | Luke again feaures the healing ministry of Jesus and His authority over sickness, spirits and blindness
go back and report to John | what | Luke 7:22 | Jesus sends them back to John reporting several aspects of his ministry that illustrate his Messianic calling
 |  |  | blind receive sight:   Isaiah 61:1,   Isaiah 29:18
 |  |  | the lame walk:   Isaiah 35:6
 |  |  | the deaf hear:   Isaiah 29:18,  Isaiah 35:5
 |  |  | poor have the gospel preached to them:   Isaiah 35:5, 61:1
after… messengers left |  when | Luke 7:24 | another specific but un-named reference to time, giving more credence to the fact that this was a specific moment
the crowd | who | Luke 7:24 | the same crowd, or at least most of it, who has been following Jesus and witnessing His ministry and teaching 
to the wilderness | where | Luke 7:24 | John's ministry began, and largely functioned, in the wilderness of either side of the Jordan river (1:3)
reed swayed by the wind | what | Luke 7:24 | an analogy for someone whose mind or perspective is easily changed by whatever "wind" is blowing that day
man dressed in fine clothes | what | Luke 7:25 | clearly this is not John, he wore a garment of camel's hair (Matthew 3:4) 
more than a prophet | what | Luke 7:26-27 | Jesus identifies John as the prophet mentioned in Malachi 3:1, the one who would be the forerunner of the Messiah
no one greater than John | what | Luke 7:28 | John is the culmination of the Old Testament prophets, the one would would herald the coming of the Messiah
least in the Kingdom | what | Luke 7:28 | Jesus is showing that the New is better than the Old, Jesus' coming Kingdom is the fulillment of all that led up to it 
all the people… tax collectors | what | Luke 7:29 | Jesus teaching ministry, standing on the foundation of John's baptizing ministry was converting many to faith 
Pharisees and experts | who | Luke 7:30 | those who thought they already knew what God's Word had to teach them, no longer heard the words of the Savior 
 |  |  | or His precursor, because their pride of knowledge, their hearts were not brought to faith 
children in the marketplace | what | Luke 7:32 | Jesus is likening the Pharisees to children who refuse to play a game whether inticed by happy or sad music
neither eating nor drinking | what | Luke 7:33 | John's life and minsitry were very ascetic, he denied himself much for the cause of his calling (1:15-17)
He has a demon | what | Luke 7:33 | the "experts" refused John's teaching and lifestyle because they saw it as coming from a demonic authority (not theirs) 
eating and drinking | what | Luke 7:34 | Jesus came without the self-denied lifestyle, He obeyed the Law completely, but the experts saw Him as excessive 
proved by her children | what | Luke 7:35 | at the end of the day, the fruit of one's life and ministry is the largest evidence of the quality thereof 

## Sheet: Sheet2

## Sheet: Sheet3
