## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details | 
when the uproar ended | when | Acts 20:1 | the riot in Ephesus mentioned in the preceeding chapter  | 
set out for Macedonia | where | Acts 20:1 | Paul continues to travel westward to the churches he planted on this second journey before going home to Syria | 
arrived in Greece | where | Acts 20:2 | Paul most likely stayed in Corinth, his letters tell us he was dealing with problems there and set Titus with a lost letter  | 
stayed three months | when | Acts 20:3 | this is most likely the winter season as Passover and Pentecost are coming in the next part of the chapter  | 
plotted against him | what | Acts 20:3 | this could be to take his life, or to steal the offering he has been collecting for the christians in Jerusalem Romans 15:25-27 | 
about to set sail | what | Acts 20:3 | most likely Paul had planned to sail from Cenchrea to Troas, this would have put him in close proximity to a large number  | 
 |  |  | of Jewish pilgrims making their way to Jerusalem for Passover and/or Pentecost, this poses a serious danger  | 
back through Macedonia | where | Acts 20:3 | Paul decides instead to travel by land back through the towns he has already planted and then sail from Philipi to Troas | 
He was accompanied by | who | Acts 20:4 | this list is most likely delegates of the churches Paul has planted who have given money to support their brothers in Jerusalem | 
 |  |  | Berea:                         Sopater  | 
 |  |  | Thessalonica:           Aristarchus & Secundus  | 
 |  |  | Derbe:                          Gaius | 
 |  |  | Lystra:                         Timothy? (Acts 16:1) |   
 |  |  | Antioch/Iconium?:      Tychicus and Trophimus | 
 |  |  | Philippi                       Luke?   ("we" in 20:6) | 
 |  |  | The large number of delegates makes sense if they were each carrying the money from their church, or providing security  | 
 |  |  | to Paul who carried the offering collected as a whole.  | 
went on ahead… Troas | where | Acts 20:5 | Paul's team sailed (likely from Cenchrea) to Troas and waited for him there | 
WE sailed from Philippi | where | Acts 20:6 | Paul travelled by land, met up with Luke in Philippi (who could have stayed after Paul & Silas were run out of town) and  | 
 |  |  | then sailed to Troas from there  | 
after Unleavened Bread | when | Acts 20:6 | this places the time frame clearly in the spring, it also shows that Paul saw no problems with his Jewish heritage and | 
 |  |  | his Christian mission  | 
Troas… stayed seven days | where | Acts 20:6 | Paul and Luke sail to Troas and spend an additional week with the brothers there in Troas, this is the setting for the following | 
On the first day of the week | when | Acts 20:7 | this is where many see the first signs of Christian worship differing from the Jewish Sabbath. However, this does not say | 
 |  |  | clearly that they met in the morning of the first day, in fact several details indicate they met in the evening after working hours | 
to break bread | what | Acts 20:7 | this would have included a meal, the taking of coummunion together, as well as teaching  | 
Paul spoke to the people | what | Acts 20:7 | Paul was the featured speaker for this meeting of the church at Troas  | 
until midnight | when | Acts 20:7 | this does not mean Paul spoke all day and into the night, more likely the workmen of the town would not have been done | 
 |  |  | with their tasks until evening, so they met, shared a meal and Paul spoke into the night  | 
many lamps | what | Acts 20:8 | this is another key indication that it was late enough that lamp light was needed to light the room, this may also allude  | 
 |  |  | to the heating of the room which could have helped a certain young man to fall asleep  | 
Eutychus | who | Acts 20:9 | this is the only reference we have of this young man in the Scriptures, all we are told is his age | 
picked up dead | what | Acts 20:9 | Dr Luke knows the difference between patients who are alive and dead, he is personally there for this account | 
threw himself on the man | what | Acts 20:10 | this is very similar to both Elijah and Elisha in the OT and Jesus & Peter in the NT raising children from dead  | 
broke bread and ate | what | Acts 20:11 | this could be the only meal, or a second "late night snack" had while Paul kept on teaching | 
until daylight | when | Acts 20:11 | Paul taught from evening until morning the next day before leaving the church in Troas  | 
the people… comforted | what | Acts 20:12 | despite the reactions in many of the towns Paul has visited in his journey, Paul leaves Troas comforting the believers  | 

## Sheet: Sheet2

## Sheet: Sheet3
