## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
once | when | Luke 17:20 | this small word can mean that these events have been editted together or occurred together
the Pharisees | who | Luke 17:20 | religious teachers and zealots who were legalistic in their interpretation and application of the Old Testament Law
kingdom of God | what | Luke 17:20 | the Kingdom is the nation and rule promised to Abraham (Gen 12) and includes the 3 major Old Testament Covenants
 |  |  | Abrahamic Covenant - God will make the descendants of Abraham into a mighty nation and the whole world will be blessed
 |  |  | Palestinian Covenant - God granted land ownership to the nation of Israel as a permanent possession
 |  |  | David Coventant - a "forever king" will come from the line of David and restore the promised kingdom to Israel
when… would come | when | Luke 17:20 | it's not clear if the question is genuine or mocking in it's tone. In either instance, the Pharisees are asking for a time prediction
not… obeserved | what | Luke 17:20 | Jesus challenges the first of two popular notions here, this one being that the coming of the Kingdom can be predicted 
… in your midst | what | Luke 17:21 | Jesus challenges the second popular notion, the kingdom of God will not come (at first) in a way that is outwardly visible 
… to His disciples | who | Luke 17:22  | in response to the Pharisees question, Jesus gives additional teaching to His disciples on the coming Kingdom
time is coming… you will long | when | Luke 17:22  | Jesus is preparing His disciples for the time when He will no longer be with them in physical form
Son of Man | who | Luke 17:22  | an Old Testament prophetic term for the promised Messiah of Israel, Jesus is using it to speak of Himself
people will tell you | what | Luke 17:23 | in the time between the advents (1st / 2nd Comings) there will be misrepresentations and supposed sightings of the Lord
do not go running after them | what | Luke 17:23 | Jesus strictly forbids the following of any who will claim that there is another "sighting" of the Lord until He returns
Son of Man in His Day | when | Luke 17:24 | the "day" mentioned here is the 2nd coming of Christ when He will return to earth as the King of Israel
be like lightening | what | Luke 17:24 | this will be a worldwide noticeable event, there will not be a doubt when it occurs
but first… | what | Luke 17:25 | Jesus also tells His disciples that there will be a time of rejection between the first and second advents
days of Noah & Lot | what | Luke 17:26-29 | both illustrations make the same point, the coming judgment at the return of Christ will be sudden and unexpected. Life 
 |  |  | will be going on as normal when judgment will come. The coming judgment will be swift and severe. In both stories
 |  |  | the sinful people wanted their carnal pleasures more than purity before God. The same will be true at the Second Coming.
just like this on the day | when | Luke 17:30 | when Jesus returns it will unexpected and will be the harbinger of judgment. 
housetop / field | where | Luke 17:30-31 | both places illustrate that there will not be time or safety in "going back" for anything. 
Lot's wife | who | Luke 17:32 | Lot's wife looked back at turned into a pillar of salt (Gen 19:26) She was out of Sodom, but Sodom wasn't out of her
keep their life… | what | Luke 17:33 | Jesus is not speaking of our physical life, but rather our life of self focus, we must hold His Kingdom as our first priority 
Two will be… one will be taken | what | Luke 17:34-35 | this illustrates the difference between salvation and judgement. Two people will be engaged, one is spared, one is not
Where, Lord? | where | Luke 17:37 | this question illustrates how little the disciples understood of Jesus teaching at the time, they expected this to be a local event
dead body… vultures | what | Luke 17:37 | this parable is dark and foreboding and seems at first glance scary, but what it answers is the question of how "local" 
 |  |  | the coming judgment will be. It will not be in a single city or town, but wherever there is sin and death, judgment wlll come

## Sheet: Sheet2

## Sheet: Sheet3
