## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 16:1 | the Son of God, Son of Man, Promised Messiah of the Jewish people and the Savior of the World, also teacher and healer 
his disciples | who | Luke 16:1 | the focus now changes from 15:2 where Jesus was teaching Pharisees and seekers, but the former were still listening (v14)
a rich man | who | Luke 16:1 | an un-named man wealthy enough to have a steward or servant manage other servants and transact buisness on his behalf
manager or steward  | who | Luke 16:1 | this is likely a slave or servant who managed the other servants and well as the money for the estate in his master's name
wasting his posessions | what | Luke 16:1 | the accusation here is the steward was wasteful with his master's resources, they weren't his to waste 
give an account | what | Luke 16:2 | the steward is required to reveal his management of the master's resources
cannot be manager | what | Luke 16:2 | the parable opens with the steward being fired from his position, this is the motivation for all that follows 
what shall I do now? | what | Luke 16:3 | the steward is now thinking of "what comes next" in his life after this position (which is now ending) is over 
strong enough to dig | what | Luke 16:3 | the steward, likely having been a manager much of his life, doesn't have the physical strength for manual labor 
ashamed to beg | what | Luke 16:3 | the steward is too proud to be reduced to begging, having been in management this is too much of a step down
I know… welcome me | what | Luke 16:4 | the steward conceives a plan that will result in him having a good reception when this position is over, the future is his focus
master's debtors | what | Luke 16:5 | the steward regularly does business on the master's behalf, he would have been well acquainted with who owed his master
900 -> 450, 1000 -> 800 | what | Luke 16:5-7 | there is debate among scholars as to the implication of the lessening of the debts. One school sees this as the removing of 
 |  |  | interest on the loans, while another sees it as the removing of the steward's own comission, while a third sees it as further 
 |  |  | cheating his master by lessening the actual profit made. The implication however is that by lessening the debts, they were 
 |  |  | paid to the master at the lesser amount. Thus the master ends the parable with more money, but less than was owed 
commended… dihonest manager | what | Luke 16:8 | There is also a significant amount of debate as to WHY the master would commend the manager. I believe this is a parable
 |  |  | and as such it is to teach a point, however, even if it is a factual account, the master commends the steward for "shrewdness"
 |  |  | not integrity or good buisness practice. The master can easily be as worldly as the steward, if this is the case, the master
 |  |  | commends the servant for the craftiness of his actions, not their validity or integrity 
People: this world, the light | who | Luke 16:8 | Jesus now brings the parable out of is "story" context and into its application. Wordly people can and will act shrewdly 
 |  |  | with one another, and also with Christ's own followers 
I tell you | what | Luke 16:9 | Here Jesus brings the parable to a close and gives its intended meaning
use worldly wealth | what | Luke 16:9 | money, while a huge part of our life here on this earth, will not transition with us to the next life. Jesus is NOT condoning the
 |  |  | deception or dishonesty of the steward, rather He is pointing out that even after finding out of his termination, he was 
 |  |  | planning ahead for his future outside of his master's estate
gain friends | who | Luke 16:9 | Jesus is not authorizing "buying friends" but illustrates that the propogation of the gospel is through relationships
into eternal dwellings | what | Luke 16:9 | this parable is to illustrate the temporal nature of money in this life in relation to the eternal nature of our future
trusted little, trusted much | what | Luke 16:10 | a typical "little to big" rabbinical argument, your character in a little doesn't change when you have a lot 
worldly wealth… true riches | what | Luke 16:11-12 | Jesus makes the connection that our stewardship of earthly wealth is a key indicator of our stewardship of eternal worth
no one can serve two masters | what | Luke 16:13 | this is not speaking about a slave or servant being "owned" by more than one person, but that you can not be fully 
 |  |  | devoted to two 'masters' you will always choose one over the other. God and money are not able to be held in balance 
 |  |  | at all times, when the time comes to choose, you can only honor one over the other 
The pharisees | who | Luke 16:14 | clearly, the pharisees are still listening to Jesus teaching, and like the previous chapter do not like what they hear
who loved money | what | Luke 16:14 | many of the pharisees subscribed to the 'prosperity doctrine' that wealth and privilege were signs of God's blessing while
 |  |  | the lack of monetary wealthy and social privilege was a sign of God's judgment 
sneering at Jesus | what | Luke 16:14 | their attitude towards the Savior is the same it was in the previous chapter (15:2)
justify yourselves | what | Luke 16:15 | the pharisees were more concerned with their status and piety in the eyes of men, rather than the eyes of God 
Observation | W | Verse | Thoughts / Details
God knows your hearts  | what | Luke 16:15 | as in the Old Testament (1 Sam 16:7) God sees the heart of a person, not only the outward appearance 
people value… God detests | what | Luke 16:15 | we can not always use human standards to estabish Godly values, what man desires God often rejects 
Law and the Prophets | what | Luke 16:16 | this is a phrase to refer to the Hebrew Bible which was divided into three categories: The Law, the Prophets, the Writings
proclaimed until John | what | Luke 16:16 | John the Baptist is the pivotal figure in the exchange between the Old and New Testaments, he is the last of the Old Testament
 |  |  | prophets and also the forefunner of the Promised Messiah, once John arrived, the Messiah was next 
Since that time | when | Luke 16:16 | there is a sense in which Luke divides human history into three separate epochs or sections: The Law and the Prophets 
 |  |  | would be everything from creation to John the Baptist, the Ministry of Jesus, and the age of Church beginning in Acts 1:6
drop out of the Law | what | Luke 16:17 | As Jesus said in Matthew 5:17, He did not come to abolish the Law, but rather fulfill it's purpose
divorce | what | Luke 16:18 | Luke gives an abbreviated version of divorce in comparison to Matthew's dialogue in 19:3-9. While divorce was permitted
 |  |  | in the Old Testament Law (Deut 24:1-4), Jesus points out that it was God's original design (Gen 2:24) that marriage
 |  |  | be a forever union between a man and a woman (Matt 19:8)

## Sheet: Sheet2

## Sheet: Sheet3
