## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Be dressed ready for service | what | Luke 12:35 | this literally means "let your loins be girded" in the first century, men as well as women wore long tunics. This was very 
 |  |  | constricting for heavy labor or combat, so the tunic would be gathered up above the knees and tied together to allow
 |  |  | freedom of motion. In context, Jesus is telling his disciples to be ready and prepared for service. 
keep your lamps burning | what | Luke 12:35 | a lamp was the only source of light in the home at night. To keep a lamp burning was to be ready and prepared 
servants | what | Luke 12:36 | in this time and culture it was very common for a household to different servants at various ranks within the household 
waiting for their master | what | Luke 12:36 | the wedding feast or banquet at this time was a week long affair, the servant could not know when their master would return 
when he knocks… immediately | when | Luke 12:36 | in keeping with theme Jesus is speaking with, the lack of worry in His servants (v29), then they are free to be ready for service
it will be good for  | what | Luke 12:37 | there will be a time when the quality of servanthood displayed in this life will be called to account for 
master finds them watching | when | Luke 12:37 | the Lord though currently absent from this world is (a) watching, and (b) will return for His servants 
recline.. Wait on them  | what | Luke 12:37 | the reward for the "good servants" will be fellowship with the Master 
middle of the night / daybreak | when | Luke 12:38 | literally "the second or third watch". The Jewish day began at 6am and ended at 6pm. The night watch then ran from 6pm to 6am.
 |  |  |          Day Time "Hours"                                                                      Night Time "Watches"
 |  |  | The First Hour     6am                                                          The First Watch            6pm - 9pm 
 |  |  | The Third Hour    9am                                                         The Second Watch        9pm - 12 Midnight
 |  |  | The Sixth Hour     12 Noon                                                  The Third Watch          12am - 3pm
 |  |  | The Ninth Hour     3pm                                                        The Fourth Watch        3am - 6am 

## Sheet: Sheet2

## Sheet: Sheet3
