## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
church at Antioch | where | Acts 13:1 | this is the church previously mentioned in Antioch in Cilicia, there is another Antioch mentioned later in Pisidia
prophets and teachers | who | Acts 13:1 | the primary difference in the NT between these roles is one is a travelling preacher, while the other is a local teacher
Barnabas and Saul | who | Acts 13:1 | these two we have previously seen mentioned in the next
Simeon called Niger | who | Acts 13:1 | the word 'niger' in Greek means "black or swarthy" this is likely to illustrate a darker skin tone for this man 
Lucius of Cyrene  | who | Acts 13:1 | most likely a Hellensitic Jew who left Cyrene at an earlier prescution 
Manaen  | who | Acts 13:1 | foster brother of Herod Antipas, likely a man of means 
the Holy Spirit said | what | Acts 13:2 | The Lord Himself called Barnabas and Saul to do His work
placed their hands on them | what | Acts 13:3 | we see this many times in the NT, the laying on of hands in the commissioning of a new deacon/minister etc 
sent by the Holy Spirit | what | Acts 13:4 | not only did the Holy Spirit call Saul and Barnabas, but He then directed them as well 
Salamis | where | Acts 13:5 | this city is located on the eastern shore of the island of Cyprus
John was with them | who | Acts 13:5 | this is John Mark, the cousin of Barnabas and the writer of the Gospel of Mark 
in the Jewish Synagogues | where | Acts 13:5 | Paul following the pattern he left in Romans 1:16, preaches first in the synagogues to reach Jews, but also to reach Gentile
 |  |  | God-fearers, who once converted would make reaching other Gentiles easier 
Paphos  | where | Acts 13:6 | the city of Paphos is located on the south western shore of the Cyprus and was the Roman captial of the island 
Bar-Jesus / Elymas  | who | Acts 13:6 | this man is Jewish, but clearly not devout as he is depicted as a 'sorcerer' and 'false prophet' likely this means that Elymas
 |  |  | practiced some kind of divination to attempt to tell or predict the future, clearly forbidden by OT Scriptures 
Sergius Paulus | who | Acts 13:7 | this is the Roman prefect of the island, he is highest ranking Roman in Cyprus 
an intelligent man | what | Acts 13:7 | Luke here describes Sergius as a 'intelligent man' because he wanted to hear the Word of God 
opposed / tried to turn… | what | Acts 13:8 | if Sergius converted to Christianity, there would be no need to keep Elymas in employ, he would thus loose his job. His 
 |  |  | opposition to Saul and Barnabas is not only spiritual, as he reguarly contacts demonic spirit, but is also financial 
Saul, also called Paul | who | Acts 13:9 | Paul is a Roman name, Saul is his Jewish name. Paul is the Roman surname he begins to use more when ministering to 
 |  |  | Gentiles in non-Jewish dominated areas 
filled with Holy Spirit  | what | Acts 13:9 | Here we see Luke illustrating Paul was called by the Spirit, led by the Spirit, and finally empowered by the Spirit 
a child of the devil  | what | Acts 13:10 | this is very reminisent of Jesus words in John 8:44 when He accused the pharisees of being 'sons of the devil' 
never stop perverting | what | Acts 13:10 | Paul's question here not only correct Elymas, but also seems to indicate he should have known better 
you are going to be blind | what | Acts 13:11 | Paul pronounces judgment on Elymas, but it is God who ulimately judges him, God causes supernatural blindness, something
 |  |  | Paul knows first hand can bring a hard Jewish heart to the foot of the cross 
immediately  | when | Acts 13:11 | the immediacy of Paul's proclocmation further illustates the Holy Spirit's power working through Paul 
he believed | what | Acts 13:12 | the proconsul's faith was not based on the work done to Elymas, but rather belief in the "Word of the Lord" 
John left | what | Acts 13:13 | little is known about why John Mark left, Paul seems to indicate in his later writings that he saw it as a form of desertion 
on the Sabbath / synagogue | when | Acts 13:14 | again, we see Paul's ministry strategy in play, going first to the synangogue to teach Jews and Gentile God-fearers 
after the reading | when | Acts 13:15 | it was common practice in the synagogue to read from the Law and Prophets and ask someone to speak to them 
please speak | what | Acts 13:15 | how the synagogue elders knew about Saul and Barnabas' teaching skills is not known, but clearly they invited them to speak 
fellow Israelites… 450 years | what | Acts 13:16-20 | Saul begins his sermon by recognizing the two distinct groups within his audience, and immediately begins recounting the
 |  |  | narratives of the Old Testament preparing his argument for Salvation in Christ as a part of the Abrahamic Covenant 
judges / rules  | what | Acts 13:20-22a | Saul then makes his next point, that once the nation of Israel was settled in the land promised them, they sought a ruler
 |  |  | this prepares the hearts of his listeners to see Jesus not only as the Promised Messiah, but Ruler God intends 
David | what | Acts 13:22b-23 | Saul contines and refrences the David Covenant promising a "Forever King" to come from the line of David, this illustrates 
 |  |  | Jesus place as the King of Kings 
John the Baptist | what | Acts 13:24-25 | In closing with the mention of John the Baptist, Saul makes his final connection point with the last of the OT prophets, this 
 |  |  | ilustrates that Jesus is greater than all the prophets that have come before Him
it is to us!  | what | Acts 13:26 | Saul gives the "hard close" by showing his current audence the reality that the Covenants to Abraham and David are fulfilled 
 |  |  | in the Forever Prophet / King of Jesus, this leaves them at a point of decision to accept or reject the Salvation offered in Christ

## Sheet: Sheet2

## Sheet: Sheet3
