## Sheet: Sheet1
Observation | W | verse | Additional notes
Abram | who | Gen 17:1 | Son of Terah, husband of Sarai, Uncle of Lot, father of Ishmael and Issac, first person to be called a Hebrew
99 years old | when | Gen 17:1 | age of Abram when this text occurred. 
El Shaddai | who | Gen 17:1 | one of the many names for the Lord almighty, it literally means "God Almighty" or "The Almighty God" 
Serve me faithfully | what | Gen 17:1 | the first of a two part directive from the Lord, the origianl text reads "walk before me" all that we do is in HIS gaze
blameless | what | Gen 17:1 | the second part of the Lord's directive to Abram, we are called to live a life that is without blame in God's eyes
a covanent with you | what | Gen 17:2 | the Abrahamic covanent, promised descendants, land, blessing, and ultimately salvation for us all 
countless descendants  | who | Gen 17:2 | the descendants of Abram would become the nation of Israel and by proxy all of Christianity as well 
face down on the ground | what | Gen 17:2 | this is an action of submission and subjugation, Abram expresses he is not worthy to be held equal with God
multitude of nations | who | Gen 17:4 | this shows that Abram's line is not only biologlical, but also of faith, more than just national Israel 
name change  | what | Gen 17:5 | the Lord changes Abram's name to Abraham in order to bring attention to the "many nations" aspect of his line
extremely fruitful | what | Gen 17:6 | the covanent of God with Abram is more than just lineage, it also encompasses the blessigns of God 
kings will be among them | what | Gen 17:6 | this is both a promise and a prophecy, the O.T. Kings were from Abram's line, but so is the the "forever king" in Jesus 
 |  |  | this also shows us that God not only promised the quantity of Abram's line, but also the quality… they were kings! 
and your descendants  | who | Gen 17:7 | there is no question that the covenant with Abram is perpetual in it's application to his descendants after him 
everlasting covanent | what | Gen 17:7 | there is no expiration date on the Promise of God to Abram and his descendants, it is as valid today as it was then
I will always be your God | what | Gen 17:8 | like the Abrahamic Covanent, there is no expiration on the Lord's faithfulness to His people
entire land of Caanan | where | Gen 17:8 | God's promise to His people includes the land grant for them as a possession on which to live 
possession forever | what | Gen 17:8 | there is no expiration date on the lease of land owed to the descendants of Abram 
your responsibility is to obey | what | Gen 17:9 | the covanent is not based on the obedience of man, but the faithfulness of God, the Lord still requires obedience from man
your descendants must keep | what | Gen 17:10 | just as the promises and blessings of God are perpetually applicable, so is the responsibility on the descendants part
as a sign | what | Gen 17:11 | circumcision, like baptism, is an outward sign of a spritual state, that follows obedience in faith
family and servants | who | Gen 17:14 | the "sign of circumsion" applied to all males living in a Hebrew home, a symbol of submission to the Lord 
Sarai | who | Gen 17:15 | the wife of Abram, mother is Isaac, the mother of the Hebrew nation
I will bless her | what | Gen 17:15 | it was a blessing to Sarah to be able to have Abram's son of promise, Isaac, she would be blessed by God also
bowed… but laughed | what | Gen 17:17 | this shows the conflicted attitude of Abram's heart, he is obedient to the Lord in bowing, but also humorous in doubting
How could I… | what | Gen 17:17 | Abram doesn't doubt the Word of God, but only the mechanics of how it will work out.. .much like us today 
May Ishmael live… | what | Gen 17:18 | still trying to do God's job for Him, Abram tries to get the covanent and blessing to apply to the son he already has
Sarai your wife will give birth | what | Gen 17:19 | God clearly says "no" to Ishmael being in the line of promise and promises a son to Sarai
As for Ishmael | what | Gen 17:20 | God allows Ishmael to have descendants and princes (notice not the kings of his half-brother) but isn't God's promised line
my covanent will be  | what | Gen 17:21 | God's covanent with Abram, and thus His chosen people Israel will be through Isaac, not anyone else. 
on that very day | when | Gen 17:23 | Abram did not wait around or delay his obedience to the Lord, he circumsized his people that same day 
13 years old | when | Gen 17:25 | the age of Ishmael on the "day of circumcision" 

## Sheet: Sheet2

## Sheet: Sheet3
