## Sheet: Sheet1
Observation | W | verse | Additional notes
the Lord | who | Gen 18:1 | Literally "Jehovah" the one true God who has revealed Himself in the Bible. "god" can be different for other people
Abraham | who | Gen 18:1 | the first man to be called a "Hebrew" husband/brother of Sarah, father of Ishmael/Isaac, son of Terah
Oak Grove near Mamre | where | Gen 18:1 | an area near Hebron where Abraham had previously worshiped the Lord (Gen 13:18)
entrance to his tent | where | Gen 18:1 | the entrance of his dwelling, also could be interpreted as the entrance of his estate, ie his ownings and authority 
hottest part of the day | when | Gen 18:1 | early afternoon where the sun (and it's heat) is at it's highest point of the day
three men standing nearby | who | Gen 18:2 | A Theophany and two angels. 
bowling low to the ground | what | Gen 18:2 | Abraham's reaction to the presense of the men indicates that He knew that he was in the presence of Jehovah.
my Lord | who | Gen 18:3 | the hebrew word here is H113 Adon, it is the singular form of Adonai, it means master, king, lord, etc
wash your feet | what | Gen 18:4 | an act of a servant, Jesus later washed His disciples feet to teach them their mission (John 13:14)
let me prepare some food | what | Gen 18:5 | as much of a sign of hospitality and respect as it is today, Abraham served the Lord humbly and willingly
your best flour | what | Gen 18:6 | the best flour was a sign of celebration and respect, God deserves nothing less, Jesus made the "best wine" (John 2:10)
bake some bread | what | Gen 18:6 | honoring the Lord's presesnce is more that simply "giving" the best assets, the Lord also desires our best efforts
Abraham ran | what | Gen 18:7 | the speed that Abraham ran illustrates the excitement of His heart, the Lord's presence should put anticipation in our hearts
chose a tender calf | what | Gen 18:7 | the choice calf was an addional sign of the importance of the guest, Abraham honored the Lord with choice, not leftover
Abraham served them | what | Gen 18:8 | Abraham had a household and servants, and yet chose to served the Lord himself 
where is Sarah? | what | Gen 18:9 | the Lord did not need to be told where Sarah was, this quesiton brought Abraham's focus on his wife 
this time next year | when | Gen 18:10 | a second time the Lord tells Abraham that it will be a year's time until his promised descendant will be born
Sarah was listening | what | Gen 18:10 | Sarah was listening to the conversation while the men were eating, she was done cooking at this time
Abraham/Sarah were old | what | Gen 18:11 | the promise of the Lord stood in direct conflict with the common knowledge of the day… God required their trust
laughed silently  | what | Gen 18:12 | Sarah, like Abraham in the previous chapter struggled to overcome her own knowledge to trust in God's promise
why did Sarah laugh? | what | Gen 18:13 | another example of God's omniscience, the theophay knows Sarah's thoughts & actions when not with her 
is anything too hard for God? | what | Gen 18:14 | even that which we think we "know" is not outside the realm of possible and even promised by God Almighty 
I didn't laugh | what | Gen 18:15 | even when she is "called out" on her laugh, she tries to deny it (thinking she was alone) but the Lord sees all we do 
should I hide my plan | what | Gen 18:16 | The Lord has His plans, at times He chooses to let us know, others He doesn't. In His silence, the Lord is still working
a great nation | what | Gen 18:18 | God is not repeating himself for His own benefit, Abraham was with them and listening to the Lord's words
Then I will do all… | what | Gen 18:19 | God's promises aren't contingent on Abraham's obedience, but it is through obedience that they would be blessed
I have singled/chosen him | what | Gen 18:19 | The Lord chose Abraham, not because of his mortal worth, but because the Lord had a plan that included him
direct his sons and families | who | Gen 18:19 | The responsibility of circumcision is passed down along with the blessings of the Lord, the latter comes with the former
I have heard  | what | Gen 18:20 | God makes Abraham a part of His "look" at Sodom & Gomorah, Abraham, like us, played a role in the salvation of others
a great outcry | what | Gen 18:20 | the term "great outcry" is the prayer and calls for help from the poor, oppressed, etc… sexual sins always has victims
If not, I will know | what | Gen 18:21 | the "want to know" in the NLT is a mischaracterization of the Lord's power, He already knows, he is not learning it
other men | what | Gen 18:22 | the "other men" are the two angels that will visit Lot in the next chatper (Gen 19:1) 
both righteous & wicked | what | Gen 18:23 | our human morality wants to see ourselves as "righteous" but the truth is we are all sinners short of God's glory (Rom 3:23)
suppose… | what | Gen 18:24 | God allows Abraham the opportunity to negotiate with Him, in reality this is our responsibility of intercession
but dust and ashes | what | Gen 18:27 | Abraham continues to intercede for the cities, but does so humbly, not in arrogance. Humility strengthens prayer 
50, 45, 40, 30, 20, 10 | what | Gen 18:28-32 | the fact that Abraham continued to pray and descrese his number shows God's mercy and Sodom's level of sin

## Sheet: Sheet2

## Sheet: Sheet3
