## Sheet: Sheet1
Observation | W | verse | , 
Judge, condemn, forgive… | what | Luke 6:37 | these three aspects are NOT talking about our salvation, but rather our relationship with God. 
 |  |  | These are often referred to as the difference between God's "Judicial" and "Parental" forgivness. 
 |  |  | Judicial forgiveness is the price paid for our sins, Parental forgivness is the closeness we have in relationship with Him 
give… given to you | what | Luke 6:38 | like the previous statements, we see our reward in relationship with the Lord is also meted in measure to our own actions
pressed down, shaken together | what | Luke 6:38 | the imagery here is of a sack of grain, a generous seller would fill the sack, press it down, shake it, then fill even more
parable | what | Luke 6:39 | often a choice teaching tool of the Savior, a story that is purely fictional, but intended to teach a spiritual principle 
blind lead the blind | what | Luke 6:39 | the intended meaning of the Lord's words are obvious, someone who can not see can not give (directions) what they don't have
student not above…teacher | what | Luke 6:40 | this has nothing to with authority or holiness, like the verse before it, one can not teach what they have not learned 
speck vs plank in the eye | what | Luke 6:41-42 | in the same theme as the previous sections, the plank in the eye blocks sight and thus they could not help the other person
you hypocrite | who | Luke 6:42 | the accusation of hypocrite is accurate for the person who thinks they can see well enough to help the better sighted person
first take the plank… | what | Luke 6:42 | this line, in my opinion, ties v39-42 together, we must first look at our own sight and understanding before leading others 
good/bad tree… fruit | what | Luke 6:43-45 | the analogy is that which is already within is seen in the fruit that is produced, in plants AND in people 
Lord, Lord… do what I say | what | Luke 6:46 | here the Lord steps on the main point that he has been leading up to, you can not call him Lord and be disobedient 
comes to me… hears my words | what | Luke 6:47 | Jesus is the One who can see, He is the teacher, we are the ones that need to learn to see and learn to teach 
what they are like | what | Luke 6:47 | this statement illustrates that the preceeding verses are meant and a futher explination of the less, not a standalone parable 
the man who built the house | who | Luke 6:48 | we are the "man" in the story, we should consider before we build our "home" what the foundation of it truly is
 |  |  | our home is our worldview, our life, the way we live day to day, is our life founded on the teachings of Christ or our own views?
dug down deep | what | Luke 6:48 | this took work, the "man" did not take the land at face value, but rather dug and uncovered the unshakeable to build on
the rock | what | Luke 6:48 | the "rock" is Jesus and His teachings, there is no greater authority or more reliable foundation that the Lord Himself 
hears my words… does not | what | Luke 6:49 | Jesus directly related His teaching (and obedience to them) to the foundation (or lack of) in the buidling of a "home" 
torrent(s) struck | what | Luke 6:48-49 | BOTH men were struck with the torrent, the tests and trials of life are to be expected of everyone, the only difference is 
 |  |  | the foundation on which one's life is built, the blind and uneducated do not "see" or "know" enough to build their home 
 |  |  | on the teachings of Christ, those who "see" and "know" seek first to learn from the Savior, then built their life on THAT 
not shaken / complete destruction |  | Luke 6:48-49 | the final outcome of both "men" are polar opposites because of the foundation, again this is NOT about salvation, but out
 |  |  | living in a life that obeys and follows the teacings of the Savior. Sanctification, not salvation. 

## Sheet: Sheet2

## Sheet: Sheet3
