## Sheet: Sheet1
Observation | W | verse | Additional notes
that evening | when | John 6:16 | linking to the miracle of the loaves and fish, this happening later that day in the evening. 
Jesus' Disciples | who | John 6:16 | the disciples of Jesus, those named and possibly those not named. 
down to the shore | where | John 6:16 | AT the end of the miracle, Jesus went off on His own, the disciples travelled to the shore after dealing with the crowd
to wait for Him | what | John 6:16 | after caring for the crowd, the disciples went to the water and waitied there for Jesus
darkness fell | when | John 6:17 | evening turned into night 
hadn't come back | what | John 6:17 | waiting for a while, the disciples notice that Jesus hadn't returned to where they wee
they | who | John 6:17 | the disciples of Jesus, those named and possibly those not named. 
into the boat | where | John 6:17 | exactly what it sounds like
across the lake | where | John 6:17 | the body of water is the sea of Galilee, Sea of Tiberias, Lake of Ganessaret
Capernaum | where | John 6:17 | A city of the north east side of the Sea of Galilee
soon | when | John 6:18 | not long after they had set out for Capernaum
gale wind | what | John 6:18 | a strong, storm-like wind on the water
sea grew rough | what | John 6:18 | the response of the Sea of Galilee to the outside force of the wind
three or four miles | where | John 6:18 | 25 or 30 Stadia, 4.6 or 5.5 kilometers, the distance they had travlled by rowing so far
they were terrified | what | John 6:20 | the normal reaction to seeing something supernatural, like walking on water, but not their reactoin to the miracle feeding
Called out… Don't be afraid | what | John 6:20 | Jesus was far enough away to use a raised voice, but still knew the condition of the fear in their hearts
I am here | what | John 6:20 | The same reason we today don't have to live in fear is becausee we too have a Savior who is telling us not to fear

## Sheet: Sheet2

## Sheet: Sheet3
