## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
meanwhile / in the meantime | when | Luke 12:1 | Luke intentionally connects the events of chapter 12 with those of chapter 11
a crowd had gathered | who | Luke 12:1 | again, we see Luke informing us that a crowd had gathered to listen to and observe the Messiah
thousands / trampling | what | Luke 12:1 | the number of people that Luke is referring to is large
first to His Disciples | what | Luke 12:1 | in the midst of a bustling crowd, Jesus first turns to teach His disciples, placing a priority of teaching the future teachers 
yeast of the Pharisees | what | Luke 12:2 | the Jewish Scriptural background for the concept of Yeast comes from Exodus 12:14-16, God commanded that His people
 |  |  | rid their homes of all yeast for a full seven days. This became a symbol of sin's invasive power to spread
which is hypocrisy | what | Luke 12:2 | Jesus does not leave the intended definition to chance, the Pharisees are spreading hypocrisy throughout the nation 
 |  |  | of Israel just like yeast spreads through a dough 
concealed… made known | what | Luke 12:2-3 | this passage is not talking about exposure of sin in this life, but rather that God sees all things and we will each answer 
 |  |  | for EVERYTHING in our lives, even the things that no one else sees. In context, the pharisees aren't "getting away with it"
do not be afraid… | what | Luke 12:4 | in light of the "yeast" of the Phrasees, it appears that social pressure or the "fear of man" had beeing keeping certain people
 |  |  | hostage to the hypocrisy being spread, Jesus is teaching His disciples not to fear men, death is the most extreme consequence
fear him who… | what | Luke 12:5 | in contrast, Jesus disciples should fear God more than men. This does not mean that we should walk around constantly 
 |  |  | in fear that God is waiting to judge us or smite us, but that we should care and respect God's will more than man's. 
sparrows… not forgotten | what | Luke 12:6 | this is a classic example of the "smaller to larger" arugment, since God in His sovereign grace is aware of the plight 
 |  |  | of each and every sparrow, one of the cheaptest animals sold in the marketplace, how much more then will He be 
 |  |  | aware and concerned with the needs and plight of those who love Him and seek Him.
hairs on your head | what | Luke 12:7 | God is aware of even the seemingly pointless details of our lives, if He is aware of those, how much more the important ones
you are worth more | what | Luke 12:7 | Here Luke brings together verses 6 and 7 and reminds the reader that God knows and cares for the little and big things
awknowlege… angels of God | what | Luke 12:8-9 | Jesus is speaking here about the witness of the believer, and the final judgment. This does not mean that as long as tell
 |  |  | others about Jesus that we will be saved, that would be "salvation by works", but rather that if we fear God more than men, 
 |  |  | trust in the fact that God knows even the smallest details of our lives, then we will be drawn to tell others about Him
 |  |  | this is then the evidence of true saving faith, not the acheivement of it by itself. In Mathew 7:21-23 we see that calling 
 |  |  | Jesus "Lord Lord" is not enough, there will be those who thought they were doing things for God who never knew Him
blasphemy against the H.S. | what | Luke 12:10 | there is significant debate among scholars as to what the "unpardonable sin" is that Jesus is describing here. I will try to
 |  |  | summarize them for you here. 
 |  |  | 1. Jesus is speaking of the Pharisees when they claimed that God's power came through Satan (Luke 11:15)
 |  |  | 2. Defiance and resistence to the clear evidence that Jesus is the Spirit annointed Son of God (Luke 11:53-54)
 |  |  |  I personally do not see that the two need to be mutually exclusive. If the Pharisess were defiant in the face of God's 
 |  |  | awesome power then they would also make claims that are clearly Satanic in nature. The challenge in this verse is whether
 |  |  | we today can still commit this sin. If you are in "camp 1" then no, we can not because Jesus Himself is not still with us 
 |  |  | on the earth doing signs and wonders in ministry. However, if you are in "camp 2" then yes, we can still deny and/or reject
 |  |  | the power of God and the moving of His Spirit. The final outcome of that rejection IS lack of salvation. There can be no 
 |  |  | forgiveness for active defiance and rejection. 

## Sheet: Sheet2

## Sheet: Sheet3
