## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
the next morning  | when | Acts 23:12 | Paul spends another night under the protection of the Roman military  | 
some Jews | who | Acts 23:12 | the plot against Paul's life comes from Jews, these are likely religious zealots who think killing Paul honors God  | 
bound themselves with an oath | what | Acts 23:12 | the zealots are so committed to killing Paul that they will in essence make a suicide pact to kill Paul  | 
more than 40 men | who | Acts 23:13 | the number of men in the plot gives us a glimpse at how serious the threat against Paul's life really was.  | 
chief priests and elders | who | Acts 23:14 | while the religious elite were not completely guilty of the plan to kill Paul they are 100% complicit in it by knowingly  | 
 |  |  | being the ruse for Paul's setup. They are as much a part of the plan as the instagators are | 
kill him before he gets here | where | Acts 23:15 | the narrow streets of Jerusalem are a perfect place to plan an ambush. The plan is to kill Paul when he is in transit  | 
the son of Paul's sister | who | Acts 23:16 | this is one of the only references to Paul's family the Scriptures. We are not told why the nephew is in town or seeing Paul | 
take this young man to… | where | Acts 23:17-18 | again we see God's Sovereign will at work in this scene, not only did the nephew hear of the plot and bring the news to  | 
 |  |  | Paul, but the Romans willingly take the nephew to the Roman commander, the only person in a position to protect Paul  | 
Some Jews… are waiting | what | Acts 23:20-21 | Luke repeats the information previously mentioned about the plot against Paul, this both relays the severity of the | 
 |  |  | threat again and brings emphasis to it as one of the key points of this section.  |   
don't tell anyone | what | Acts 23:22 | the Roman military commander knows that information can often be the thing that turns the tide in war. He is charged  | 
 |  |  | with keeping the peace in the city of Jerusalem and can not afford to allow a volitile situation like this to ignite the city | 
 |  |  | streets into riots or open war. Knowing that Paul is a Roman citizen, he is now duty bound to also protect Paul and  | 
 |  |  | in this becomes another strategicaly placed part of God's plan to get Paul to Rome to present the Gospel there | 
get ready a detachment | what | Acts 23:23 | the level of response in the Commanders orders is a second clue at the level of threat against Paul's life  | 
soliders/horsemen/spearmen | who | Acts 23:23 | the 'soliders' are the elite fighting force in the Roman military. The horsemen are cavalry and the spearmen are infantry | 
Governor Felix  | who | Acts 23:24 | Felix was the governor of Judea from AD 52-59. A former slave, he obtained his position with help from his brother a | 
 |  |  | good friend of emporer Claudius. He was known to be a brutal ruler  | 
Lysias' letter | what | Acts 23:25-30 | how Luke got a copy of the letter Lysias wrote is not certain, however what is clear from the content is (a) Lysias is  | 
 |  |  | doing himself a service leaving out the fact that he almost had Paul scurged and (b) Paul is innocent of any Roman  | 
 |  |  | charges of illegality. The entire dispute is over Jewish law and not Roman.  | 
during the night | when | Acts 23:31 | the soliders choose the cover of night to execute their plan to add some secrecty and security to the exercise  | 
as far as Antipatris | where | Acts 23:31 | Antipatris was about 40 miles from Jerusalem and 25 miles outside of Caesarea. The terrain between Jerusalem and  | 
 |  |  | Antipatris was largely rocky and semi-mountainous, leaving many places to execute an ambush. However, after Antipatris  | 
 |  |  | the ground was mostly flat and level.  | 
next day  | when | Acts 23:32 | Paul spends another night under the protection of the Roman military  | 
cavalry go on… | what | Acts 23:32 | because of the change in terrain the larger military escort was no longer necessary. The cavalry could adequately  | 
 |  |  | protect Paul in the open country, the rest of the soldiers return to the barracks in Jerusalem | 
arrived in Caesarea | where | Acts 23:33 | the seat of Roman ruling power in the area, this is where the governor lived and worked from  | 
what province he was from | where | Acts 23:34 | Roman custom was to have a citizen tried in their own district, Felix is checking to see if he has the authority to hear his case | 
when your accusers get here | when | Acts 23:35 | Felix refuses to try a Roman citizen without having his accusers present.  | 
Herod's palace | where | Acts 23:35 | Herod's palace, also known as the Praetorium, was the 'governors mansion' of the time. Paul is held under guard, but  | 
 |  |  | is also given a certain amount of freedom under 'house arrest' in the mansion. This is another illustration of God's | 
 |  |  | sovereign power to move Paul into position to testify for the Gospel  | 

## Sheet: Sheet2

## Sheet: Sheet3
