## Sheet: Sheet1
Observation | W | verse | Additional notes
Many of the people | who | John 11:45 | a group of people who were with Mary and Martha and witnessed the miracle
Mary | who | John 11:45 | Mary of Bethany, the sister of Martha and Lazarus
Jesus | who | John 11:45 | Son of God, Promised Messiah, 2nd member of the Trinity, the Savior of the worldx
when they saw this happen | when | John 11:45 | the moment when they saw Lazarus walk out of his tomb
the Pharisees | who | John 11:46 | one of the two main groups of Jewish leaders, known for the legalism and zeal
leading priests/high council | who | John 11:47 | the Sanhedrin was made up of 71 men some pharisee and some sadducee but had authority over all Jews
what are we going to do?  | what | John 11:47 | interesting that they felt that "had" to do something in reponse to Jesus' ministry, this was out of fear, not faith
certainly performs miracles | what | John 11:47 | there was no longer any debate over the miraculous nature of Jesus' works, even the Sanhedrin now admitted it
then the Roman army will come | what | John 11:48 | the Jews were afraid that if Jesus kept gaining followers, the Romans would view this as insurrection 
Caiaphas | who | John 11:49 | the high priest was the leading or ruling priest of all Jerusalem
led to prophesy | what | John 11:51 | to prophesy is to speak under the guidance of the Holy Spirit something that which God desires to make known
children of God | who | John 11:52 | this is not only the Jews, but it is all those who are saved by Faith Alone and thus are grafted into the family of God
from that time on | when | John 11:53 | a specific reference to a general time, after the meeting of the council mentioned in v49-51
as a result, He stopped… | what | John 11:53 | Jesus stops His public ministry in response to the actions of man, this must have be in line with Will of God
Jerusalem | where | John 11:54 | the capital city of Judea the Jewish territory, home to the Temple, God's home on earth 
Ephraim | where | John 11:54 | a town 12 to 15 miles north of Jerusalem
with His Disciples | who | John 11:54 | Jesus did not stop "His Father's work" He merely moved to work of a more personal nature with His disciples
Jewish Passover | when | John 11:55 | an annual celebration in which the passover of the Angel of Death passing over their children in Exodus
arrived in Jerusalem | what | John 11:55 | as part of the Jewish festival, Jews were required to be in the city limits for Passover

## Sheet: Sheet2

## Sheet: Sheet3
