## Sheet: Sheet1
Observation | W | verse | Additional notes
some time later | when | Gen 22:1 | a undetermined amount of time since the events of the previous chapter
God | who | Gen 22:1 | literally "Elohim" or Elohiym" the plural form of the word "god" signifying the one true triune God 
Abraham | who | Gen 22:1 | the first patriarch of the Hebrew nation, first man to be called a Hebrew, reciptient of the Abrahamic Covanent
Here I am | where | Gen 22:1 | how different is Abraham's response from Adam's hiding and cowering in the Garden, what a difference a faith makes
take your son | what | Gen 22:2 | in an awesome illustration of the coming grace of Christ, a father willingly gives his son
your only son, Isaac | what | Gen 22:2 | obviously, Isaac is not the only son, the word means more "unique" or "only begotten" than a solitary unit
land of Moriah | where | Gen 22:2 | little is known about this area other thant he three day journey distance the group travelled
go sacrifice him | what | Gen 22:2 | child sacrifice was a common practice at this time, so while it is horrible for us, it was not unthinkable 
as a burnt offering | what | Gen 22:2 | The Lord asks Abraham to worship him with the very object of the promise which the Lord had already given him. 
which I will show you | what | Gen 22:2 | an echo of the directions the Lord gave to Abraham in Gen 12:1, Abraham again sets out without a defined destination
next morning / up early | when | Gen 22:3 | again, we see Abraham driven by obedience to rise early and set out to follow the Lord's instructions
two servants | who | Gen 22:3 | the two servants are not named or central to the story, but much like the theieves on either side of Christ are witnesses
burnt offering | what | Gen 22:3 | this whole episode revolves around a burnt offering, something sacrificed and burnt to ascend to the Lord 
on the third day | when | Gen 22:4 | another clear tie to the story and passion of Christ
we will worship there | what | Gen 22:5 | Abraham's purpose was to worship God, we must see his actions in this light and not evil or sincester
we wil come back | what | Gen 22:5 | Abraham has a belief that both he and Isaac wil be coming back, thus he undestands God will save or ressurect Isaac
wood… on his shoulders | what | Gen 22:6 | like Christ, Isaac carried the wood of the offering he would be placed on up the mountain himself
where is the sheep | what | Gen 22:7 | Isaac is clearly familiar with the elements and process of offerings to the Lord, like Christ knowing He would die
God will provide | what | Gen 22:8 | trusting in God's provision in the midst of a calling or trial is one of the great tests of our faith in the Lord 
they walked together | what | Gen 22:8 | just as Isaac is obedient to his father, so Abraham is showing obedience to the Heavenly Father, "together" illustrates both
he tied his son | what | Gen 22:9 | given the age difference, Isaac a strapping young man and Abraham elderly, Isaac must have LET himself be bound
laid him on the altar | what | Gen 22:9 | just as Jesus willingly went to the cross at Calvary, it was the Father who led him there  (Luke 22:42)
picked up the knife | what | Gen 22:10 | with Isaac willingly laying there, Abraham follows God in an amazing step of obedience and prepares to kill Isaac
from Heaven | where | Gen 22:11 | the angel called from Heaven, unlike the previous times when Abraham spoke to angels on earth (Gen 18)
Abraham! Abraham!  | what | Gen 22:11 | the repeating of his name suggests the urgency behind the calling, to stop Abraham in his obedience 
Here I am! | what | Gen 22:12 | just as in the beginning of the chapter, Abraham annouces not only his location, but his anticipating obedience to God
boy | what | Gen 22:1 | the Hebrew word for boy is "Na'ar" and is used for infancy to early 20's before marriage, Issac is obviously in the latter
for now I know | what | Gen 22:12 | the "know" here is the same as Adam & Eve "knowing" evil, it's not just an intellectual udnerstanding, but experience
ram… place of his son | what | Gen 22:13 | just as the passover lamb was sacrificed in place of the coming Messiah, so too this ram took the place of the son
on the mountain… provided | what | Gen 22:14 | this is a proverb we would do well to live by, when things get dark and scary, God is still our source
because you have obeyed | what | Gen 22:16 | obedience brings blessing. While the subject matter is difficult for us, obedience is still the same
through your descendants | what | Gen 22:18 | in the chapter with the clearest Messianic imagery, the Lord tells Abraham the Savior will come from his line
father of Rebekah | who | Gen 22:23 | this is the functional connection between Abraham's story and the story of Isaac moving forward, she becomes his wife

## Sheet: Sheet2

## Sheet: Sheet3
