## Sheet: Sheet1
Observation | W | verse | Additional notes
some time later | when | Gen 15:1 | some time after the events of the preceeding chapter 
the Lord | who | Gen 15:1 | the Eternal Father, Creator of the Universe, 1st member of the Trinity, Judge at the End of Days
Abram | who | Gen 15:1 | the man who will become Abraham, justified by faith, father of the Hebrew nation, uncle of Lot, son of Terah
vision | what | Gen 15:1 | H4236 /MAKH-az-eh/  literally means a spiritual or divine vision of a supernatural nature
don't be afraid | what | Gen 15:1 | 1/3 from the vision: a faithful relationship with Lord should result in our faith overcoming our fear
I will protect you  | what | Gen 15:1  | 2/3 from the vision: a faithful relationship with God leads us to trust in His protection as we follow His direction
your reward will be great | what | Gen 15:1 | 3/3 from the vision: a faithful relationship with God leads us to the rewards He had chosen for us (Abrahamic Covanent) 
what good are blessings?... | what | Gen 15:2 | Abram reveals that he is more concerned with the lasting that the temporal, he understands true wealth is children
you've given me no kids… | what | Gen 15:2 | the gift of life has always been the Lord's to give, that is one reason why abortion is so anti-God
one of my servants will | what | Gen 15:2 | in those times, the wealth of an estate would be passed to the most trusted servant in the event of no direct heir present
no, your servant will not be… | what | Gen 15:4 | before the Lord confirms His promise with Abram, he first points out the false nature of Abram's statement
you will have  a son | what | Gen 15:4 | the Lord has already given Abram the Abrahamic Covanent, this is a reiteration of the Lord's promise 
look up at the sky | what | Gen 15:5 | the Lord uses the physial nature of His creation to speak to Abram and calm his heart, the stars in the sky
because of his faith | what | Gen 15:6 | even before the Law, we see that faith brought justification with God
I am the Lord that brought… | what | Gen 15:7 | the Lord reminds Abram of what He has already brought him through, we need to remember what the Lord has done for us
How can I be sure…? | what | Gen 15:8 | Abram didn't have a problem understanding the Lord, but in trying to grasp "how" the Lord would fulfill His promise
cutting in two… | what | Gen 15:9 | a sign of ancient covanents was to cut the animal in two and walk between the halves, showing what we happen if broken
Abram chased vultures | what | Gen 15:11 | Abram was not going to allow any outside force to taint or damage the covanent from the Lord 
deep sleep | what | Gen 15:12 | this sleep was induced by God Almighty. In it the Lord revealved the coming trials of Joseph and Moses
sins of the Amorites  | what | Gen 15:16 | God delayed the judgment of the people living in Caanan, this shows his patience with Abram and providence over the land
smoking / flaming | what | Gen 15:17 | the Lord consumed the halves because the covanent is only bound by God's will, not man's choices

## Sheet: Sheet2

## Sheet: Sheet3
