## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 8:12 | Son of God, Savior of the World, Promised Messiah, 2nd Member of the Trinity
the people | who | John 8:12 | the same crowd of people that we have been seeing as a character for the past several weeks
Light | what | John 8:12 | the themes of light and dark are reoccurring themes in John's gospel
light of the world | what | John 8:12 | Jesus as the "light" of the world is the light that rescues us from or repels the darkness of our fallen state
darkness | what | John 8:12 | darkness a reoccurring theme in John for the sin of man as well as the "lost-ness" without Christ
you will have the light | what | John 8:12 | a fulfilling of the prophecy given in Isaiah 9:1-2 about a "great light" that is to come
light that leads to life | what | John 8:13 | during the wandering in the wilderness, God used a pillar of fire to lead His people, literally "light that leads to life"
Pharisees | who | John 8:13 | a leading teacher of the Jewish people, known for their legalistic religiousity
such testimony is not valid | what | John 8:13 | testimony was to be coroborrated by the presence of witnesses and thus, Jesus can't be trusted because He has none
because I know… you do not  | what | John 8:14 | Jesus' testimony is validated by His position as the Son of God and evidenced for us by His resurrection, they denied both
you judge me by human standards | what | John 8:15 | the Pharisees, steeped in their legalism, judged everyone according to their self-righteous standards
I do not judge anyone | what | John 8:15 | man will be judged, but the purpose of Jesus 1st coming was to save, not to judge
I am not alone | what | John 8:16 | Jesus clearly displaying the knowledge that He is the Son of God and His Father is God in Heaven, who works with Him
Father | who | John 8:16 | some manuscripts "the one" , who sent me… Jesus knew He was sent and had a mission ot fulfill
Your own law | what | John 8:17 | Jesus sets Himself apart from the Law here, calling it "your" law. 1 or 2 witnesses comes from Deuteronomy 19:15
I am one and my Father is the other | who | John 8:18 | Jesus picks two witnesses are able to attest to His Heavenly origin and victory over sin
where is your father? | where | John 8:18 | once again, the Pharisees are only seeing the earthly side of Jesus words, not understanding (or refusing to) His meaning
don't know father -> me -> father | what | John 8:19 | Jesus revealing they may not "know" the Father, "I never KNEW you" Matt 7:23, "comes to father but  thru me" John 14:6
Temple | where | John 8:20 | Herod's Temple, rebuilt by Herod the Great to win favor with the Jews, located In Jerusalem
The Treasury | where | John 8:20 | a section of the Temple where the court of the women were located, this meant no Gentiles, also had offering boxes
his time had not yet come | when | John 8:20 | again, John reminding us that the Jesus earthly life and ministry were guided by a Heavenly timeline

## Sheet: Sheet2

## Sheet: Sheet3
