## Sheet: Sheet1
Observation | W | verse | Additional notes
Meanwhile | when | John 4:31 | happening concurrently with the previous section
the disciples | who | John 4:31 | the disciples of Jesus Christ
"Rabbi, eat something" | what | John 4:31 | the disciples, like the woman and Nicodemus from Ch 3 are concerned with the physical needs for which they were sent (v8)
Jesus | who | John 4:32 | the Son of God, 2nd member of the Trinity, God incarnate, Savior of the World
"I have a kind of food you…" | what | John 4:32 | Jesus once again facing the physical temptation of the flesh, states that he has "other" food. Much like the tempt. w/ Satan
"….someone bring him food?"  | what | John 4:33 | the disciples are still only seeing the physical side of Jesus' actions
nourishment comes from… | what | John 4:34 | Jesus makes a direct correllation between faithfulness and sustainance of His physical self… reminiscent of fasting
you know the saying… | what | John 4:35 | the refence to the "waiting period" is also a spiritual principle of planting and harvesting in the lives of the mankind
wake up and look around | what | John 4:35 | the truth of the fields being ready for harvest was not apparent to the disciples, thus the "wake up" instruction
ripe for harvest | what | John 4:35 | "white" referring to the heads of grain, there is an optimum time to harvest both naturally and spiritually 
harvesters are paid good wages | what | John 4:36 | Jesus assuring that those who do the work of "harvesting" for the kingdom will be provided for 
harvest is people brought to… | what | John 4:36 | Jesus explains that the real harvest of the Kingdom is souls of men brought to eternal life. 
what joy awaits… alike | what | John 4:36 | there is a mutually joyous relationship between the witness and the convert when jesus comes on the scene
one plants & another harvests | what | John 4:37 | referring to the natural cooperation that exists in a group of workers all serving in the same field
others have done the work… | what | John 4:38 | un-named others had already laid some form of spiritual groundwork on which Jesus and His disciples would harvest 
will get to gather the harvest | what | John 4:38 | often thought of as the "better" job of the two, in reality it is the one that requires less expertese and commitment
many Samaritans believed | what | John 4:39 | the "harvest" of the encounter with the woman at the well, is the salvation of many people in her village
because the woman said | what | John 4:39 | the woman could very well be the "planter" and the disciples the harvesters
they begged Him to stay | what | John 4:40 | when an unredeemed life is truly impacted by the presence of Christ, the only natural response is longing for more of Him
long enough for more to hear | what | John 4:41 | Jesus stayed in the village not only for the request of His presence, but so that more ministry could be achieved 
He is the Savior of the World | what | John 4:42 | the Samaritans now voice the proof of a redeemed heart by recognizing the Savior for who He is. 
went on to Galillee  | where | John 4:43 | Jesus now continuing the journey He began at the beginning of the chapter (4:3) 
prophet not honored…. | what | John 4:44 | most often the hometown is filled with people who "knew you when" and are less likely to believe or follow you now
had beed in Jerusalem | what | John 4:45 | because the Galilleans had experenced His miracles in Jerusalem, they welcomed Him now
Capernaum | where | John 4:46 | a villege on Galillee's eastern boarder
government official | who | John 4:46 | not explicitly said, but thought to be a gentile roman official, not a Jew
begged… to heal his son | what | John 4:47 | the reputation of Jesus as a healer obviously preceeded Him as the gentile official was moved to ask for a healing
was about to die | what | John 4:47 | the stakes for the gentile official were grave, he made have turned to Jesus in desperation or in faith of the reputation 
will you never believe | what | John 4:48 | Jesus question reveals the human weakness of desiring a God that we can see in action (Mount Siani) 
before my little boy dies | what | John 4:49 | the official again restates the severity of his need, also uses the word "lord" to suggest subjigation to His authority 
Go back home, your son will… | what | John 4:50 | the Spirit's ability to heal is not constrained by earthly entanglements such as time or geography
believed… and started home | what | John 4:50 | the official's faith must have been strong enough for him to believe and head home immediately 
while he was on his way | what | John 4:51 | the official's servants must have set out from the home once the healing had taken place to notify their master
when did he get better?  | when | John 4:52 | the answer to the official's question surely strengthened his faith, this may reveal a deeper motivation in the request
he and his entire household | what | John 4:53 | again, we see a larger group come to faith through the actions of a single individual

## Sheet: Sheet2

## Sheet: Sheet3
