## Sheet: Sheet1
Observation | W | verse | Additional notes
After this | when | John 6:1 | linking the events that occur in the beginning of chapter 6 as coming after those in chapter 5
Jesus | who | John 6:1 | Son of God, Savior of the World, 2nd Member of the Trinity, Promised Messiah, Lamb of God, Light of the World
Sea of Galilee | where | John 6:1 | also called the Sea of Tiberas or the Lake of Ganessaret, a body of fresh water to the east of Galilee
Sea of Tiberias | where | John 6:1 | see previous note
Huge crowd | who | John 6:2 | a large amount of people
kept following Him | what | John 6:2 | Because of the miracles and power displayed by Jesus, the people followed Him around
miraculous signs | what | John 6:2 | Jesus ministry was marked by powerful supernatural ministry
healed the sick | what | John 6:2 | "The healthy don't need a doctor" - Mark 2:17, Jesus' earthly healing ministry foreshadowed his redemptive ministry
with his disciples near Him | where | John 6:3 | with the exception of prayer with the Father, Jesus kept His disciples near and instructed them by showing them
Jewish Passover | when | John 6:4 | one of the major celebrations of the Jewish calendar, referring to the Exodus story
people looking for Jesus | who | John 6:5 | during His earthly ministry, people sought the presence of Jesus, whether for selfish reasons or righteous, He was sought after
Phillip | who | John 6:6 | one of the 12 disciples/apostles
where can we buy bread | what | John 6:5 | Jesus, having the answer, tested His disciple by suggesting the role of servant, to go food for the massive crowd
already knew… going to do | what | John 6:6 | Jesus still being fully God, had already known what He would do, but still took the opportunity to teach His disciples
wouldn't have enough money | what | John 6:7 | "worked for months" illustrating how many people where they and how much it would cost to feed them
Andrew | who | John 6:8 | the brother of Peter, Simon Peter, also a fisherman
young boy | who | John 6:9 | the boy is never named, because it wasn't his name that was memorable about this interaction with the Savrior
five loaves and two fish | what | John 6:9 | a meager lunch for a small boy, clearly not enough for a crowd of adults
tell everyone to sit down | what | John 6:10 | Jesus wasn't in a hurry, and also used the seating as a form of organization of the mass of people
gaves thanks for God | what | John 6:11 | the food was brought by the little boy, but Jesus understood that the ultimate source of provision was God the Father
Afterword, the same with the… | what | John 6:11 | though the fish were fewer than the loaves, the got the same treatment, Thanks for God, and distribution to the people
gather the leftovers | what | John 6:12 | Jesus knew that the proof of the miracle was in the numbers, and the numbers had ot be checked
filled 12 baskets | what | John 6:14 | the undeniable proof of the miracle is the the baskets, because it measures the product against the initial investment
the prophet we're expecting | what | John 6:14 | interestingly enough, it is only after the multiple miracles and proofs that they see Jesus as the Messiah
force Him to be king | what | John 6:15 | the Jews wanted a physical king that would push back the romans and rule their people well, not Jesus' plan. 

## Sheet: Sheet2

## Sheet: Sheet3
