## Sheet: Sheet1
Observation | W | verse | , 
Tiberius, Pilate, Herod… | who | Luke 3:1 | Luke link's the story of John's ministry to the gentile authorities in the greater world around him, just like the birth narratives 
Annas & Caiaphas | who | Luke 3:2 | 2 high priests shows that Israel is spiritually confused, Annas was diposed by the Romans, Ciaphas is his son-in-law
word of God came to | what | Luke 3:2 | wording here is very similar to Jeremiah 1:1-3, Luke clearly sees John as a prophet like Jeremiah who also preached repentance
the Jordon | where | Luke 3:3 | the river that ran from the Sea of Galilee to the Dead Sea near Judea 
baptism | what | Luke 3:3 | the root word for baptism means to "dunk, submerge, or plunge" as in a piece of cloth being submerged in dye for coloring
Isaiah | who | Luke 3:4 | Isaiah was a prophet who lived around 700 BC, but wrote like he knew Jesus, his book is also called "The 5th Gospel" 
 |  |  | Virgin will conceive a child (Is 7:14), Unto us a child is born (Is 9:6), Stump of David's family will grow a shoot (11:1-4)
 |  |  | He was wounded and crushed for our sins… led like a lamb to slaughter... (Is 53:5,7-9)
prepare a straight path | what | Luke 3:4-5 | it was common practice for a visitting king to have servants clear and level a path for him to travel on
 |  |  | John is calling the people of Israel to "clear" their hearts to receive the Messiah 
all the people… salvation  | what | Luke 3:6 | Matthew (3:3) and Mark (1:2-3) both quote Isaiah 40:3, only Luke includes verses 5 and 6. This is because Luke is showing 
 |  |  | the universatility of Christ's saving mission, He is the Savior of all mankind, not just the Messiah of the Jews 
from the coming wrath  | what | Luke 3:7 | The Old Testament laid a clear foundation for the coming Judgment Day in which God will judge the world
produce fruit | what | Luke 3:8 | the claim of repentance is not enough, the "proof" of repentance is the fruit produced in the life of the faithful believer
we have Abraham | what | Luke 3:8 | the Jews considered themselves righteous because of WHO they KNEW, this was not accurate then and is not today 
out of these stones | what | Luke 3:8 | if God can create a word (Gen  1:3,6,9,14,20,24,26) and give children to a couple who was too old (Gen 15:4) God could do this
ax is at the root of the tree | what | Luke 3:9 | the urgency of the moment, God is not going to wait much longer, today we may have lost some of this urgency in our mission
thrown into the fire | what | Luke 3:9 | fire symbolizing the eternal desination of those who do not repent and turn to God 
what should we do then?  | what | Luke 3:10 | there were clearly people in the crowd whose hearts were moved by John's preaching and ready to turn back to God
crowd | who | Luke 3:10 | considering his location (3:2) and reference to Abraham (3:8) this crowd is made up of most if not all Jews 
two shirts | what | Luke 3:11 | you can't wear two shirts at the same time, don't be distracted by the possessions of this world 
tax collectors | who | Luke 3:12 | these were the low of the low of Jewish society because they served the Roman gov't and were usually greedy & dishonest
don't collect more | what | Luke 3:13 | don't allow greed and the gaining of earthly wealth overtake your repentant heart 
soilders  | who | Luke 3:14 | due to the context of the crowd (v10), these were Jewish temple guards and/or policemen, not Roman soliders 
money, accuse, pay | what | Luke 3:14 | the soilders were not use their position of authority for ill-gotten gain, we must be weary of doing the same today 
the Messiah | who | Luke 3:15 | the 1st century Jews have a strong Messianic belief that God is going to send a "son of David" to rescue their people from the 
 |  |  | idolatry and pagan sinfulness of the Roman occupation, they wanted the conquering King, like David in his day 
baptize with water | what | Luke 3:16 | John has no illusions about his purpose or ministry, the water he baptizes with is a mere refleciton of the real baptism to come
not worthy to untie | what | Luke 3:16 | this job was resevered for the lowest of the low servants, it was dirty and disgusting work, John sees Himself as a lowly servant
the Holy Spirit | what | Luke 3:16 | John is speaking of the day of Pentecost in Acts 2, when all believers were given access to the power of the Spirit 
and fire | what | Luke 3:16 | this is more likely referring to the "fire" of judgement due to the fire references elsewhere in this passage (v 9 & 17)
winnowing fork  | what | Luke 3:17 | a tool used to toss grain and chaff into the air, the chaff is blown aside while the heavier grain falls down 
gather wheat… burn chaff | what | Luke 3:17 | an agricutural understanding that would have been widely understood by the audience, the separating of that which is of 
 |  |  | value (the wheat) from that which is not (the chaff), again the theme of eternal destination is seen in John's preaching
rebuked Herod | what | Luke 3:19 | John rebuked Herod for marrying his brother's wife, a clear violation of the Law (Levicitus 20:21)
John in prison | what | Luke 3:20 | this is the thematic change where Luke begins to focus on Jesus as the primary character of his Gospel 

## Sheet: Sheet2

## Sheet: Sheet3
