## Sheet: Sheet1
Observation | W | verse | Additional notes
Jesus | who | John 4:1 | Son of God, Promised Messiah, Savior of the World
Pharisees | who | John 4:1 | legalistic religious leaders of the Jewish nation
baptizing | what | John 4:1 | performing the baptism of John, one of repentance, not believers baptism
disciples | who | John 4:1 | followers of a rabbi or teachers, Jesus and John the Baptist both had disciples
John (the Baptist) | who | John 4:2 | the last of the Old Testament Prophets, the one sent to prepare the way for the Savior, cousin of Jesus of Nazareth
His disciples (did baptize) | who | John 4:2 | the disciples of Jesus, apparently did the baptizing part of His earthly ministry
Judea | where | John 4:3 | the Roman name for the homeland of Isreal, roughly the area of the tribe of Judah but stretched farther north to Samaria
Galilee | where | John 4:3 | the primary site of Jesus ministry, it's a swath of fertile farmland on the western banks of the Jordan River & Sea of Galilee
Samaria | where | John 4:4 | a large parcel of land directly between Galilee and Judea, often avoided by Jews because they despised Samaritans
Sychar | where | John 4:5 | a small village in the interior of Samaria
Jacob | who | John 4:5 | The last of the three patriarchs of the Jewish faith, son of Isaac and father of the 12 Tribes, stole his brother's blessing
Jacob's well | what | John 4:5 | a well dug most likely to water the large flocks that Jacob had (Gen 30:43)
Joseph | who | John 4:5 | the 2nd youngest son of Jacob, sold into slavery, saved his family from a severe famine (Gen 37-50)
the 6th hour or noontime | when | John 4:6 | not only midday, but also the heat of the day, when most would not be venturing to the well
Samaritan woman | who | John 4:7 | the Jews hated the Samaritans, a lone Samaritan woman even more, let alone one with a history with men
sat wearily | what | John 4:6 | Jesus sat tired (G2872) literally weary, tired, or exhausted usually from toil or labor
came to draw water | what | John 4:7 | it was customary for women to draw water in the evening (Gen 24:11), coming at noon may reveal her desire for anonymitiy
Please give me a drink | what | John 4:7 | Jesus, though He was exhausted from a journey, still opened the conversation with this woman
gone into the village | where | John 4:8 | after also travelling the tiring journey with Christ, the disciples travelled on to buy food, leaving Jesus alone at the well
why are you asking me… | what | John 4:9 | showing the cultural barrier that Jesus broke, even the woman was surprised that Christ spoke to her
if you… ask me… living water | what | John 4:10 | Jesus using His own question, now beings to minister to the woman 
you don't have a rope… | what | John 4:11 | like Nicodemus (John 3:9) Jesus is trying to share spiritual truth, and the Samaritan woman is only seeing hearing the physical
greater than… Jacob… | what | John 4:12 | everyone has their own "lens" by which they expect to receive God, Jesus is challenging the Samaritan to open her heart
this water vs water I give | what | John 4:13-14 | Jesus, knowing His audience, tries to communicate a spiritual truth and tell her about eternal life
give me this water…  | what | John 4:15 | The woman's request is more for the earthly convienence of not having to draw water than for the spiritual nourishment
go and get your husband | what | John 4:16 | changing strategies, Jesus asks a quesiton directly intended to bring her to see Him as the Messiah
I don’t' have a husband | what | John 4:17 | like many of us, we try to give short and simple answers to keep the conceal the private sins of our life 
You're right… | what | John 4:18 | Jesus compliments the woman on her honestly, but then points out the rest of the truth that she was hiding'
you must be a prophet | what | John 4:19 | despite her reservations and resistance, when faced with a prophetic gifting, she recognizes and responds to it
Mount Gerazim | where | John 4:20 | where Joshua renewed their promise to obey God, also the where a Samaritan temple was built to sacrifice to God
Jerusalem | where | John 4:20 | the holy City of David, central place or Jewish worship and leadership
no longer matter… | what | John 4:21 | the battle between which temple was superior was eliminiated in the finsihed work of Christ, made us the temple (1 Cor 6:19)
salvation comes from the Jews | what | John 4:22 | Samaritans claimed to be included in the Abrahamic promise, though to the Jews there were bastard children
true worshipers | what | John 4:23 | Jesus getting to the heart of her question, "true worship" is spirit and truth, not location and style
Father is looking for… | what | John 4:23 | the Father in Heaven was, and still is, looking for those who will worship Him in this way 
I know the Messiah is coming | what | John 4:25 | after having her sin revealved, and her desire to worship corrected, she responds with the expections of the Messiah
I am the Messiah | what | John 4:26 | having led her to express her seeking the Messiah, Jesus now reveals Himself as such
shocked, but lacked nerve | what | John 4:27 | again illustrating the large cultural barrier that Jesus broke through to minister to this particular woman
left her water jar… ran back | what | John 4:28 | abandoning the original reason for her visit to the well, she is now filled with the desire to share the news she has heard
come see… | what | John 4:29 | the un-named woman is so struck by His ministry, she calls her whole village to come meet who she believes is the Messiah
 people came streaming… | what | John 4:30 | the once "chance" encounter of exhausted evangelism now brings a whole village to the feet of Jesus, every moment counts

## Sheet: Sheet2

## Sheet: Sheet3
