## Sheet: Sheet1
Observation | W | verse | Additional notes
Abraham  | who | Gen 20:1 | The father of the Hebrews, husband to Sarah, Father of Ishmael & Isaac, justified by faith
Negev | where | Gen 20:1 | an area of land in southern Israel
living as a foreigner | what | Gen 20:1 | Abraham was still living as a foreigner, though God had promised him land, he had not received that promise yet
Sarah | who | Gen 20:2 | Sarah, the wife of Abraham and mother of Isaac
she is my sister | what | Gen 20:2 | as in the previous journey to Egypt, Abraham again conceals the truth of his marriage with Sarah and calls her "sister" 
King Abimelech | who | Gen 20:2 | the King of Gerar, a pagan king to which the Lord himself spoke. King of the Philistines (Gen 26:1)
at his palace | where | Gen 20:2 | the palace of King Abimelech
that night | when | Gen 20:3 | the very night that Sarah was brought to the palace of King Abimelech, God's timing prevented Abimelech's sin
God | who | Gen 20:3 | literally "Elohiym" meaning, God, Ruler, Judge, etc
in a dream | what | Gen 20:3 | dreams are a common form of Divine communication in the Bible. Joseph interpreted Pharoah's dreams through God's power. 
you are a dead man | what | Gen 20:3 | clearly the sexual sin and the violation of the marriage was a grave and capital offense
that woman you have taken | what | Gen 20:3 | for the second time (see ch 12) Sarah being in the sites of a pagan king has cost the King, not Abraham and Sarah
an innocent nation | what | Gen 20:4 | Abimelech sees his nation as "innocent" because he hasn't commited the sexual sin with Sarah
Yes, he is my brother | what | Gen 20:5 | we see that the deception is not only on the part of Abraham, but Sarah as well 
I acted in innocense | what | Gen 20:5 | interesting that Abimelech sees the taking of a foreign girl as a sexual conquest as an "innocent" act
I know you are innocent | what | Gen 20:6 | the Lord confirms that Abimelech did not sleep with Sarah, thus not committing the grave, capital sexual sin
I kept you from sinning | what | Gen 20:6 | the Lord prevented Abimelech from sinning. This shows his grace and sovereignty in His authority over sin
he will pray for you  | what | Gen 20:7 | in this midst of grace and not sinning with Sarah, the Lord instructs the pagan king to get prayer from the foreign prophet
if you don't… you can be sure | what | Gen 20:7 | The Lord shows that His mercy has limits in that sinning with Sarah was still a choice, though would incur wrath 
you and your people | who | Gen 20:7 | the choice that King Abimelech makes will effect not only himself, but the nation that he governs
got up early… quickly called | what | Gen 20:8 | both the early rising and quick calling of the servants illustrate the motivation of Abimelech's heart to obey the Lord
his men were terrified | what | Gen 20:8 | it is not only Abimelech that is scared of the Lord's power, but his nation and it's citizens also 
what crime have I committed? | what | Gen 20:9 | Abimelech still is seeking to find the blame for this situation in himself. What have I done focuses on Abimelech not Abraham
deserves treatment like this  | what | Gen 20:9 | the actions of Abraham and Sarah are deceptive from the outset, based on chatper 12, I don't think Abimelech is to blame
what possesed you to do… | what | Gen 20:10 | Abimelech now questions Abraham to find out why he treated the King this way? 
this is a godless place | what | Gen 20:11 | Abraham again is distracted by the surrounding "god-less-ness" of his surroundings instead of holding fast to God 
they will want… kill me | what | Gen 20:11 | Abraham seeing the depravity of the surounding country assumes that they will kill him to get to his wife/sister
half-siblings | who | Gen 20:12 | they have the same father but different mothers
I told her | what | Gen 20:13 | Abraham admits that he is the reason that Sarah lies about their relationship, he told her to just like chapter 12
sheep, goats, cattle, servants | what | Gen 20:14  | as in chapter 12, Abraham's deception and in this case near sinful actions lead to blessings for him and his family 
choose anyplace… to live | where | Gen 20:15 | just as Abraham gave Lot the choice to live anywhere, so Abimelech now gives Abraham the same honored choice
compensate you for any wrong | what | Gen 20:16 | the king gives Abraham a specif amount of money to repay for any "hardship" endured by Sarah
settle any claim | what | Gen 20:16 | Abimelech understands the concept of a sin being held against you, and thus the money is supposed to "settle" it 
your reputation is cleared | what | Gen 20:16 | Abimelech also understands that there is a reputation issue to be had for Sarah and wants to insure she is ok 
Abraham prayed to God | what | Gen 20:17 | even though it was Abraham who created the deception, it is he who is called on to pray for Abimelech 
so they could have children | what | Gen 20:17 | the healing from the Lord brought the prospect of child-bearing back to the table for everyone in Abimelech's kingdom
consequences of sexual sin | what | Gen 20:18 | even at this early stage of the Biblical narrative sexual sin led to reproductive problems 

## Sheet: Sheet2

## Sheet: Sheet3
