## Sheet: Sheet1
Observation | W | verse | Additional notes
Afterword | when | John 5:1 | After the events of John 4
Jesus | who | John 5:1 | Son of God, 2nd Member of the Trinity, Savior of the World
Jerusalem | where | John 5:1 | Principle city of the Jewish faith, home to the Temple, the resting place of God's Spirit, place of sacrifice and forgiveness
Feast or Jewish Holy Day | when | John 5:1 | unnamed Jewish festival that most likely began on the Sabbath (v9)
Inside the City | where | John 5:2 | Needing to follow of the Jewish Law, Jesus would have been in the city for the festival
Near the Sheep Gate | where | John 5:2 | One of the many entrances to city of Jerusalem, on the northern side of the city
Pool of Bethesda/Bethsaida | where | John 5:2 | A specific pool used for washing on the northern side of the city of Jerusalem, discovered in the 19th century
5 porches | where | John 5:2 | The pool of Bethesda had 5 porches surrounding it
Crowds of sick people | who | John 5:3 | Before Jesus miracle, there was already a held belief that the pool had healing powers, hence the gathering of the sick
Angel stirring the water | who | John 3:4 | some manuscripts include the mention of the angel and widely held belief that the stirring of the waters brought healing
sick for 38 years | when | John 5:5 | The sickness this man had wasn't fleeing and thus his healing can't be explained away by happenstance
Jesus saw him AND knew | what | John 5:6 | Jesus used both his physical senses to see the man's illness and his spiritual senses to discern how long he had been sick
"Would you like to get well? " | what | John 5:6 | Jesus wasn't mocking the sick man, He was allowing the man to verbally express the faith he already had in supernatual healing
" I can't, I have no one"  | what | John 5:7 | The unnamed man clearly believed in healing, but was looking for a human to help him compete with the other people
Stand up, pick up your mat, walk | what | John 5:8 | Jesus not only asked the man to stand and walk, but to carry away the symbol of his infirmity, the mat
Instantly | when | John 5:9 | the man was healed at that moment. God heals both instantly and over time, supernaturally and through medical processes
the man was healed | what | John 5:9 | whatever the infirmity that had plagued the man for 38 years was no dismissed in an instant
rolled up his sleeping mat | what | John 5:9 | the mat was for sleeping by the pool, a symbol of how long the man had waited, while infirmed, for a healing
on the Sabbath | when | John 5:9 | a specific day of the week, the Jewish day of rest, because God rested on the 7th day, and thus directed His people to do so
Jewish Leaders | who | John 5:10 | the current leaders of the Jewish faith, most likely comprised of Pharisees and Saducees 
objected, can't work on Sabbath | what | John 5:10 | the leaders were objecting to the carrying of the mat, not the healing of the infirmed man
man who healed me | who | John 5:11 | the now healed man did not question the instructions of the Healer. He was healed! 
who said such a thing?  | what | John 5:12 | The Jewish leaders are still not looking for the healer, but the man who dared to contradict the Law
man didn't know | what | John 5:13 | Jesus hadn't shared His name or any other detail in their first encounter, He just healed the sick man
disappeared into the crowd | where | John 5:13 | Being a major festival (v1) there was a large amount of people in the City
Afterword, Jesus found him | what | John 5:14 | Jesus found the healed man in the crowd sometime after the healing and the questioning by the Jewish leaders
you are well, stop sinning | what | John 5:14 | Jesus first dealt with the man's physical healing, but ultimately brought it back to his spiritual transformation
told Jewish leaders | what | John 5:15 | going back to the Jewish leaders, the healed man now answered their question and told them it was Jesus
harrassing Jesus  | what | John 5:16 | Jewish leaders making it clear that in their opinion Jesus was breaking the law, their interpretation of working on the Sabbath
My Father is always working | what | John 5:17 | Jesus clearly identifies Himself with God and His mission, thus is now due death in the eyes of the religious elite 
find a way to kill Him | what  | John 5:18 | The Jewish leaders now have two charges against Jesus, making the man carry the mat, and claiming to equal with God
nothing by Himself | what | John 5:19 | Jesus, identifying with His earthly side, and thus our own humanity, illustrates that we can do nothing without God the Father
Father does, Son also does | what | John 5:19 | Jesus, as the Son of God, acts in accordance with the will of the Father, and thus we are called to do the same thing
shows Him everything | what | John 5:20 | Jesus also illustrates that the "how" of His ministry is also directed by God the Father
Father/Son gives life | what | John 5:21 | Jesus referring to the healing of the man, but also to future ministry, reassures us that His power to give life is real
son has authority to judge | what | John 5:22 | this is not replacing the Father's ultimate judgement, but rather assuring Christ's divine position beside the Father
(dis)honoring the father/son | what | John 5:23 | honoring or worshipping could be another word, illustrating that we should worship Christ as we do the Father
believe in… never condemned | what | John 5:24 | Jesus using the physical healing of the sick man as a proof of His ability to give life and thus guarantee acceptance into Heaven
the dead with hear my voice | what | John 5:25 | Jesus was not only speaking of the physically dead, but the spiritually dead. What is healing if not reversal of death to life
same life-giving power | what | John 5:26 | no one would question the Father's ability to give life, but here Jesus is reassuring them that He has the same power
time is coming ALL the dead | what | John 5:28 | this refers to the future ressurection of the dead when all will rise
those who have done good | what | John 5:29 | this refers not to good moral actions, but to those that have followed Jesus and accepted His everlasting life
I can do nothing on my own | what  | John 5:30 | Jesus restablishes again the connection to and reliance on God the Father as the source of His ministry, judgement, and power

## Sheet: Sheet2

## Sheet: Sheet3
