## Sheet: Sheet1
Observation | W | verse | , 
When Jesus had finished… | when | Luke 7:1 | notice the chronoloical link that Luke established between the ending of the sermon and the next part of his Gospel
Jesus | who | Luke 7:1 | Son of God, Promised Messiah, Savior of the World, 2nd Member of the Trinity, Teacher and Healer
people who were listening | who | Luke 7:1 | the large audience made up of apostles, disciples, and listeners (possibly some Greeks as well, 6:17)
Capernaum | where | Luke 7:1 | a sea port village of fishing and trade on the eastern shores Galilee  where it meets the Sea of Galilee 
Centurion | who | Luke 7:2 | a member of the Roman military, a commander over 100 soliders, 1/60 of a Roman Legion
centurion's servant | who | Luke 7:2 | the word for servant here is /DEW-loss/ which means, "slave, servant, or bond-servant" 
 |  |  | "well done my good and faithful SERVANT" - Matthew 25:21
 |  |  | "whoever wants to be first must be a SLAVE to all" - Mark 10:44
 |  |  | "everyone who sins is a SLAVE to sin" - John 8:34
 |  |  | "on my servants, both men and women, I will pour out my spirit" - Acts 2:18
 |  |  | "Paul, a servant of Christ" - Romans 1:1
whom his master highly valued | what | Luke 7:2 | Lukes gives an additional detail about the relationship between the servant and his master, the Centurion
sick and about to die | what | Luke 7:2 | the state of the servants health, combined with his value to the Centurion, creates the motivation to seek Jesus
Centurion heard of Jesus | what | Luke 7:3 | even before Paul wrote, "Faith comes by hearing" (Rom 10:17) this man's faith came by his hear about Jesus 
elders of the Jews | who | Luke 7:3 | clearly, the Centurion had good standing with these Jews, because they came to Christ as his emmesaries 
this man deserves… because | what | Luke 7:4 | the worldview of the Jews can be seen in their request, they seem him as "deserving" because of his "actions"
loves: nation, built: synogogue | what | Luke 7:5 | do you see what they Jews considered important: the nation and the synogogue, not the God who makes both holy 
Jesus went with them | what | Luke 7:6 | Jesus makes the choice to go with them, this does not mean He agreed with their logic, but that He chose to do this
not far from the house | where | Luke 7:6 | they are on the way to the Centurion's home, but have not reached it yet
friends | who | Luke 7:6 | another group is mentioned here, these friends of the Centurion were from his home, heading out to the Savior
I do not deserve | what | Luke 7:6 | notice the difference in perspectives between the Centurion and the Jewish elders, he doesn't see himself as worthy
under my roof | what | Luke 7:6 | in those days, many Jews considered entering the home of a Gentile to make one ceremonially unclean 
say the word | what | Luke 7:7 | the Centurion's understanding of faith and authority are both rooted in the spoken word, in this case, the very Word of God
under / over authority | what | Luke 7:8 | because of his military background, the Centurion has a strong familiarity with the concept of orders causing actions
when Jesus heard this | when | Luke 7:9 | here, Luke points out a specific moment in time, the point when Jesus heard the message from the Centurion
great faith even in Israel | what | Luke 7:9 | Jesus recognizes the "great" faith of simply believing that what God says, will be done. It's really that simple. 
found the servant well | what | Luke 7:10 | the supernatural healing took place without Jesus every having to set foot into the home
soon afterword | when | Luke 7:11 | here again, Luke uses another Chronolocial link, this time however, not an immediate following like in v1
town called Nain  | where | Luke 7:11 | a small village located SSE of Nazareth in southern Galilee, this is the only reference of this town in the Bible 
his disciples  | who | Luke 7:11 | either the inner 12 or the larger group of followers that Jesus had collected 
approached the town gate | where | Luke 7:12 | just like the Centurion's home (v6) Luke records the action beginning just outside the town 
dead person | who | Luke 7:12 | this person was the only son of his mother who was also a widow
the widow / mother | who | Luke 7:12 | having to bury your own child is tragic, but seeing as she was a widow and had no sons, she was destitute 
 |  |  | in this culture, when the father died, it became the son's responsibility to care for his mother, this woman has no way 
 |  |  | to care for herself and after this funeral will likely become a beggar
heart went out to her | what | Luke 7:13 | Jesus saw this woman not only in her current state, mourning, but in the state she would be, destitute, and was moved 
I say to you get up  | what | Luke 7:14 | Jesus didn't need a long ceremony or special incantation to do the miraculous, just the authoritative word of God
gave him back to his mother | what | Luke 7:15 | the healing wasn't just for the boy to have life, but the mother to have her son back 
filled with awe, praised God | what | Luke 7:16 | the main focus of Jesus ministry was never to make Himself famous, but to glorify the Father through His work

## Sheet: Sheet2

## Sheet: Sheet3
