## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Fellow Israelites | who | Acts 2:22 | Peter again addresses the Jewish audience that had gathered at the sound in v6, Peter's evangelism is to Jews first 
Jesus of Nazareth | who | Acts 2:22 | the Savior is clearly identified by His earthly name 
accredited by God | what | Acts 2:22 | though the primary mission of Jesus was to restore man to God, his "credentials" always came from God as the Messiah
by miracles, signs, and wonders | what | Acts 2:22 | the miracles the Lord performed during His earthly ministry were for the purpose of confirming His heavenly credentials
as you yourselves know | what | Acts 2:22 | the listenters of Peter's sermon had first had knowledge of the type of ministry Jesus had done 
God's deliberate plan | what | Acts 2:23 | one of the most difficult things to understand in Christianity is the paradox of God's sovereignty and man's free will 
 |  |  | over the centuries many have taken to trying to explain it, but I (pastor Bill) believe that we will not fully understanding 
 |  |  | this mystery of faith until we are reunited with the Lord.  However, Peter clearly sees Christ's death as a predestined event
help of wicked men | what | Acts 2:23 | not only does Peter see Christ's death as predestined by God, but he does not absolve the "wicked men" for their part 
 |  |  | in the carrying out of the event. Here is the paradox again. 
God raised Him from the dead | what | Acts 2:24 | the final miraculous act that verified Christ's messianic credentials is the resurrection, this again proves His calling
impossible for death | what | Acts 2:24 | this may sound as if "death" is personified here, but that is not what Peter is saying. Peter sees Christ's victory over death 
 |  |  | as a foregone conclusion because because it has been prophesied long ago by David 
David said about Him | what | Acts 2:25-28 | Peter now recounts Psalm 16:8-11 as a messianic prediction of the ministry and resurrection of Christ 
David… dead and buried | what | Acts 2:29 | Peter points to the fact that because David died as was buried (and did not resurrect) the passage he quoted could not be
 |  |  | about King David himself. That is why Jesus is the Messiah, even David called Him Lord and He did rise from the grave 
he was a prophet | who | Acts 2:30 | David is portrayed as a prophet here because of the messianic prediction and application of the Psalm he wrote
descendants… on the throne | what | Acts 2:30 | a reference to the Davidic Covenant in which God promises to bring a "forever king" from the line of David 2 Samuel 7:12-16
resurrection… not abandoned  | what | Acts 2:31 | again Peter refers to the resurrection as the single greatest attestation of Jesus messianic credentials from God 
God raised this Jesus | what | Acts 2:32 | it was God Himself who raised Jesus and in doing so recognized Him and Him alone as the messiah for the Jews 
right hand of the Father | where | Acts 2:33 | to be seated at the right side of someone was to receive their special place of honor 
received… poured out | what | Acts 2:33 | notice how Peter includes the entire Trinity in this verse. God the Father, having raised Jesus the Son now gives Him the 
 |  |  | promised Holy Spirit which Jesus then pours out on His disciples and followers. 
David did not ascend | what | Acts 2:34 | Peter again makes it clear that King David can not be the focus of fulfillment of the messianic passages because he did not
 |  |  | resurrect, go to the Father, receive the Spirit or pour it out… Jesus did all of these things 
all Israel be assured | who | Acts 2:36 | Peter again addresses his immediate crowd, "all Israel" meaning he is preaching to Jews in Jerusalem at Pentecost 
Jesus… Lord and Messiah | who | Acts 2:36 | this is the pinnacle of Peter's sermon, because of all he had said, Jesus is Messiah, this also drives what comes next. 
cut to the heart | what | Acts 2:37 | the people who heard are struck emotionally by the message that not only was Jesus the Messiah, but they killed Him 
Repent | what | Acts 2:38 | repentence is not a solely emotional response, that is remorse. Repentence is the turning away of one thing towards another
be baptized | what | Acts 2:38 | this is the first time baptism is used in the newly formed Christian Church. Peter is calling them to publically identify 
 |  |  | with this new community. The primary focus of this new community is to worship the risen Messiah, Jesus
every one of you | who | Acts 2:38 | salvation in Christ is offered freely to everyone, likely all the listeners are Jews, because Peter will not discover until 
 |  |  | later (chapter 10) that salvation has also come to gentiles 
in the name of Jesus Christ | what | Acts 2:38 | notice there is not a "trinitarian baptism" these believers were baptized "into" Jesus as their Messiah identifying with Him 
the forgiveness of sins | what | Acts 2:38 | this fragment of the verse has caused some to view baptism as the means by which salvation is applied. Taken in context
 |  |  | Peter's sermon focuses on Jesus as the Messiah. Because of His resurrection, we can now receive salvation, and baptism 
 |  |  | is a part of that experience. The traditionalperspective of the Christian Church (our church's brotherhood) is that baptism 
 |  |  | is the means by which salvation is appliedto the believer. I (pastor Bill) disagree with this interpretation for several reasons. 
 |  |  | Here are a few: 
 |  |  | 1. There are plenty of passages in the NT that illustrate salvation is by faith: John 1:12, 3:16,36, 6:47, Acts 16:31, Romans 10:9
Observation | W | Verse | Thoughts / Details
(continued from previous) |  |  | 2. The theif on the cross did not have to be baptized yet still received (by faith) salvation from Jesus. See Luke 23:43
 |  |  | 3. The first gentile Christians receive the Holy Spirit before they are baptized, are we to assume they weren't saved? (Acts 10)
 |  |  | 4. Jesus never baptized anyone. This is strange if baptism is intended to be the very means by which salvation is applied. 
 |  |  | 5. God's covenant in the OT was installed by Him alone (Gen 15) but had a human symbol of obedience (Gen 17), likewise 
  |  |  |      God's covenant in the NT is installed by Christ alone (John 14:6) and we have a symbol of obedience (Acts 2:38) 
 |  |  | I believe this verse is better rendered "repent and be baptized... BECAUSE of the remission of sins"  salvation came through
 |  |  | faith alone, but the public symbol of baptism, like the public symbol of circumcision is the human response in obedience
you, your children, and… | who | Acts 2:39 | this new promise of the Holy Spriit would not only be for the first generation of believing Jews, but for the rest of the 
 |  |  | Christians who would come in the centuries to come.
all who are far off | who | Acts 2:39 | Peter likely intended this to be the other Jews of the Diaspora, but Luke writing it later knew Gentiles would be added as well
with many other words | what | Acts 2:40 | this is not all of Peter's sermon, but an view of the highlights of his message 
3,000 were added | who | Acts 2:41 | when the day started there were 120 Christians, now at 9am Peter starts preaching and 3,000 people join the chruch
They devoted themselves | who | Acts 2:42 | here we have the first snapshot of the Christian Church in action. They clearly had several elements that were crucial 
 |  |  | 1. Apostles Teaching: in light of the sermon Peter just preached, this teaching focused on Jesus and His teachings 
 |  |  | 2. Fellowship: the body of Christ is to be recognized as the single community, this is best seen in fellowship together 
 |  |  | 3. Breaking of Bread: this includes the taking of communion, but also likely a shared meal as a community 
 |  |  | 4. Prayer: prayer is the indespensible component of the faith that is sadly overlooked today 
Signs and wonders… apostles | what | Acts 2:43 | the apostles performed miraculous signs and wonders for the same reason Jesus did, to attest to Jesus' as the Savior 
all … were together | what | Acts 2:44 | Christian unity has always been of the utmost value to the body, regardless of our theological differences, untiy is important
had everything in common | what | Acts 2:44-45 | this does not refer to communision, but rather a loving and giving heart that shared things in common. If it were a 
 |  |  | communistic view, then how did the individuals sell their posessions in verse 45. this shows they sold their own items
 |  |  | and used the money from those sales to support one another in unity and love 
everday… in the temple | what | Acts 2:46-47 | the newly formed Christian community at this point is still viewed as a sect or group within Judaism. They were still 
 |  |  | welcomed and worshiped in the Temple along with the Jews of their day. There is an overwhelming sense of love, unity, 
 |  |  | and mutual respect that is seen in the early church actions. They are like a family who has found their Savior and 
 |  |  | wants more people to find Him also. That is our greatest goal and example as the church today… to be a family. 

## Sheet: Sheet2

## Sheet: Sheet3
