## Sheet: Sheet1
Observation | W | verse | Additional notes
Jacob | who | Gen 42:1 | the third partiarch of the Hebrews, the father of the 12 Tribes of Israel, brother of Esau, Husband of Rachel & Leah
grain was available in Egypt | what | Gen 42:1 | because of the Lord's providence through Joseph, the provision Jacob's family needs is ready for them in Egypt
Why are you standing around? | what | Gen 42:1 | the urgency of their need is seen in the way Jacob speaks with his sons, "what are you waiting for?!"
buy grain… otherwise we'll die | what | Gen 42:2 | the need for provision is severe, Jacob instructs his sons to go on a "life-saving" mission to Egypt
10 older brothers | who | Gen 42:3 | this tells us that the group who left him for dead, then sold him, is the same group now coming to him 
Jacob wouldn’t let… | what | Gen 42:4 | this is because Benjamin is (to Jacob's knowledge) the only surviving son of his beloved Rachel
Benjamin | who | Gen 42:4 | the second (and last) son of Jacob and Rachel, the favorite son at the time 
some harm may come | what | Gen 42:4 | the last time he sent his favorite son out with his brothers, Jacob believes, Joseph was killed by an animal (Gen 37:33)
arrived… along with others | who | Gen 42:5 | the sons of Jacob are not the only ones in need, the famine is wide spread as Joseph had predicted (Gen 41:28-32)
selling grain to all people | what | Gen 42:6 | by God's design, Joseph is now the focus point of salvation from this famine as he is the only one selling grain 
they arrived… they bowed | what | Gen 42:6 | this is the the fullfilment of Joseph's first dream (Gen 37:7) when his brothers bowed down to him
recognized… but pretended | what | Gen 42:7 | Joseph seizes an opportunity to test his brothers, so he elects to conceal his identity, for now, to see if they have changed
Where are you from?  | where | Gen 42:7 | there is no better way to test for the truth than to ask a question you already know the answer to. Joseph tests them 
didn't recognize him | what | Gen 42:8 | they had no reason to be looking for him either, in 42:13 we see they see him as "no more" probably dead
remembered the dreams | what | Gen 42:9 | Joseph remembers his dreams and realizes "now is the time" that God had told him about
You are spies | what | Gen 42:9 | Joseph uses the accusation as a way to test the collective heart of his bretheren to see if they have changed 
all brothers… honest men | what | Gen 42:11 | Joseph's accusation puts them on their heels, and gets them talking, they admit their family relationship
there are twelve of us | what | Gen 42:13 | Joseph learns that there is another brother at home, meaning a younger one he has never met
is no longer with us | what | Gen 42:13 | they openly admit Joseph's absense, but still haven't taken responsibility or blame yet
I will test your story | what | Gen 42:15 | Joseph now was a concrete way to test and see if his brothers have changed
put them in prison | what | Gen 42:17 | Joseph gives his brothers a taste of what he endured, but also lets them know the severety of the situation 
grain for your families | what | Gen 42:19 | Joesph knows the severity of the famine and that the must bring back food, he shows love to his family 
through an interpreter | what | Gen 42:23 | Joseph kept his knowledge close to his vest by using an interpreter to speak to them, he wasn’t' done testing them
returned payment | what | Gen 42:25 | Joseph still loved his family and used his authority to bless them by returning their money and giving provisions
their hearts sank | what | Gen 42:28 | the brothers interpret Joseph's blessing as a curse, because they only see it from their perspective 
everything is against me | what | Gen 42:36 | Jacob too only sees his circumstances in relation to himself, he sees his children being taken away 
I'll be responsible for him | what | Gen 42:37 | Reuben takes responsibility for Benjamin, more forwardly than he tried to do for Joseph (37:22) 
send this… man to his grave | what | Gen 42:38 | basically saying it would worry him to death, he doesn't want to let Benjamin go, Simeon stays in prison

## Sheet: Sheet2

## Sheet: Sheet3
