## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
the following day | when | Acts 10:24 | this is likely the second day of travel for Peter and his campanions
Caesarea | where | Acts 10:24 | a port city on the coast of the Mediterranean just inside the border of Syria 
Cornelius | who | Acts 10:24 | a Roman centurian (see Acts 10:1)
relatives & close friends | who | Acts 10:24 | Cornelius was so moved by his proto-faith that he gathered all those he cared for to hear Peter's message
entered the house | where | Acts 10:25 | as a Jew, entering the home of a Gentile would have made one ceremonially unclean, Peter does not hesitate to do so
fell at his feet  | what | Acts 10:25-26 | Cornelius shows humility as a person of authority willingly submitting to Peter, just as the earlier Roman Centurion
 |  |  | seen in Luke 7:1-10, Peter likewise also demonstrates humility in refusing to accept worship meant only for God 
against our law | what | Acts 10:28 | here we see the primary conflict that Jewish Christians would have had with Gentiles, their overbearing interpretation 
 |  |  | of God's Law had lead them so far down a path of legalism that they could no longer associate with gentiles 
God has shown me | what | Acts 10:28 | Peter's refers to his vision earlier in this chapter 
why you sent for me | what | Acts 10:29 | though the Lord instructed Peter to go with the servants sent from Corneilus' home, (Acts 10:19-20) he did not know why 
Cornelius' vision | what | Acts 10:20-32 | Cornelius' recounts his encounter with the Lord to Peter 
I sent for you immediately | when | Acts 10:33 | the fact that Cornielius sent his servants immediately illustrates his faith and his belief in the importance of Peter's message
it was good for you to come | what | Acts 10:33 | this is a compliment thanking Peter for coming with his servants 
we are all here to listen  | what | Acts 10:33 | here we see that Corneilius and all who were in attendance with him are 'God-fearers' ready to hear Peter's preaching
God does not show favoritism | what | Acts 10:34-35 | Even in the Old Testament, God showed love and compassion on Gentiles (Jonah at Ninevah, Rahab and her family, etc) 
you know the message | what | Acts 10:36-38 | clearly, by this point the word of Christ's ministry, death, and resurrection had spread, Peter here assumes a certain 
 |  |  | level of knowledge and familiarity Jesus and His teachings / ministry 
we are witnesses | who | Acts 10:39 | Peter and the campanions (Acts 10:23) are all Christians and witnesses as Christ told them they would be (Acts 1:8)
outline of Peter's message | what | Acts 10:39-43 | Peter delivers several key points here, all of which reflect a similar outline to that of the Gospel of Mark. Church tradition
 |  |  | holds that Mark's Gospel is the written record of Peter's preaching ministry. The outline of Peter's sermon here matches 
 |  |  | well with the overall outline of Mark, giving greater support to this position. 
while Peter was speaking | when | Acts 10:44 | The Holy Spirit did not wait for Peter to finish his sermon and start his "alter call". The Spirit's working here is intended
 |  |  | to reflect and remind the Jewish believers of the Spirit's falling on the day of Pentecost in Acts 2. 
Jewish believers were astonished | what | Acts 10:45-46 | there was an underlying assumption for the Jewish believers that Gentiles would first need to convert to Judaism prior 
 |  |  | to coming to Christ in faith. Seeing the Spirit fall on the Gentiles in the same fashion as it did on them in Acts 2, verifies 
 |  |  | that these new Gentile believers can come directly to Christ without a previous Jewish conversion 
being baptized with water | what | Acts 10:47-48 | for the early church, water baptism by immersion was the outward symbol of the inward change of faith in Christ 
 |  |  | seeing as the Holy Spirit has been given to these Gentiles, thereby illustrating God's acceptane of them as His people
 |  |  | little could be said by others that they could not be accepted into this new faith based on Christ alone. 
stayed a few days | when | Acts 10:48 | Peter likely stayed to begin discipling the new Gentile converts, without a Jewish upbringing, this would have been 
 |  |  | culturally difficult, but Peter stays the course and stays in their home

## Sheet: Sheet2

## Sheet: Sheet3
