## Sheet: Sheet1
Observation | W | verse | Additional notes
Esau (aka EDOM)  | who | Gen 36:1 | the elder son of Isaac, brother of Jacob, NOT the brother of promise, father of the Edomites 
 |  |  | Taken as a whole, this chapter tells us what happens to Esau's descedants. Esau becomes the "father" of the Edomites
 |  |  | the progression also shows us the growth from an extended family, to tribal organization, to monarchy 
 |  |  | we see Esau has a 12 tribe or clan unit which is in keeping with the famlies of Nahor, Ishmael, and Jacob
 |  |  | The Edomites show us again and again in the Bible, so they are not out of the picture, but are not the focus of God's story
 |  |  | The King of Edom refuses the Israelites to go through his land after the Exodus - Numbers 20:18
 |  |  | The Israelites are instructed to not hate the Edomites - Deuteronomy 23:7
 |  |  | An Edomites was King Saul's chief herdsmen - 1 Samuel 21:7
 |  |  | An Edomites killed 85 Israelites priests - 1 Samuel 22:18
 |  |  | King David subjugated the Edomites - 2 Samuel 8:14
 |  |  | Hadad the Edomite was King Solomon's adversary - 1 Kings 11:14
 |  |  | Edomites revolt against Judah and crown their own king - 2 Kings 8:20
 |  |  | The Amalekites - are a significant enemy for the Israelites in the Old Testament, here is where they come from
 |  |  | The Moses "arms up" battle was with the Amakelites - Exodus 17
8 Kings of Edom |  |  | Bela (son of Beor) - from the city of Dinhabah
 |  |  | Jobab (son of Zerah) - from the city of Bozrah
 |  |  | Husham, from the land of the Temanites 
 |  |  | Hadad (son of Bedad) - from the city of Avith
 |  |  | Samlah - from the city of Masrekah
 |  |  | Shaul - from the city of Rehoboth
 |  |  | Baal-hanan, son of Acbor
 |  |  | Hadad - from the city of Pau
 |  |  | notice that no two kings are blood related. This shows a kingship and dynasty not of blood or God's providence but
 |  |  | of sheer mortal greed and lust for power. 
not enough land to support  | what | Gen 36:7 | very similar to Abraham and Lot, the land could not sustain the two families, the need for provision propelled relocation
 |  |  | interestingly, the land of Caanan wasn't enough to support Esau's seed, but a land of blessing for Jacob's
hill country of Seir | where | Gen 36:8 | the land to which Esau moves, which later gets renamed Edom (after Esau himself) 

## Sheet: Sheet2

## Sheet: Sheet3
