## Sheet: Sheet1
Observation | W | verse | Additional notes
Lord | who | Gen 2:4 | God, the Heavenly Father, Creator of the Universe, Primary member of the Trinity
earth | what | Gen 2:4 | the planet on which we live
heavens | what | Gen 2:4 | the atmosphere and space in our solar system
wild plants (shrub) | what | Gen 2:5 | these are plants that produce thorns, a consequence of the fall and thus not in pre-fall Eden yet
cultivated plants | what | Gen 2:5 | these plants are those that man cultivates and farms, also a consequence of the fall
no rain on the earth | what | Gen 2:5 | it was only the 6th day of creation, creation is not tainted by sin, water came up from the ground to water plants
then God formed man | what | Gen 2:7 | this is not a 2nd creation, it is a detailed description of the overview from the previous chapter 
formed man from the dust | what | Gen 2:7 | everything else in creation was spoken into being, the Master Potter shaped man from the clay of the earth
 |  |  | this further illustrates the special place that man has in creation, even our creation is more intimate 
the breath of life | what | Gen 2:7 | this is the second illustration of how mankind is different from creation, our soul was granted by God 
 |  |  | it is this additional "soul" in our created state that allows us to have relationship with God, our Creator
a garden in Eden  | where | Gen 2:8 | the garden was in a place called Eden, which literally means "delight" 
there he placed man | what | Gen 2:8 | God created man uniquely, then placed him in a place of perfection, again illustrating our special place in creation
all sorts of trees | what | Gen 2:9 | we have two descriptions of the trees in Eden are given, beautiful and delicious, both are fashion, not function
middle of the garden | where | Gen 2:9 | in the center of the garden that the Lord placed in the area of Eden, also illustrating the importance of the trees
a river flowed  | what | Gen 2:10 | river literally brought life to the plants in Eden, figuratively we can not have spiritual life w/o the water of the Spirit
4 rivers… | where | Gen 2:10-14 | while not specific, Eden's location would be between Egypt and Mesopotamia, logically… Israel
tend & watch over it | what | Gen 2:15 | abad - work/serve/worship  and shamar - keep/observe/obey, man was made to worship & obey God  Deut 10:12
eat freely…. except | what | Gen 2:16-17 | man was given authority to eat as he saw fit, except the knowledge of Good & Evil 
you are sure to die | what | Gen 2:17 | in a place of such beauty and life, disobedience of God's word would bring death 
make a helper for him | what | Gen 2:18 | Eve was made as an "ezer" or helper, not a subject or slave, but an equal in working and position 
naming the animals | what | Gen 2:19-20 | God used this task to illustrate to Adam his need for a mate, as the animals already had
deep sleep | what | Gen 2:21 | this should not be understood as "divine anesthesia" but that Adam as completely dependant on God
Adam's rib | what | Gen 2:22 | futher illustrating the equal worth of woman to man, made from the same "stuff" as Adam
brought her to the man | what | Gen 2:22 | this is a formal expression, as in the marriage ceremony, who brings this woman to mary this man
bone of by bone | what | Gen 2:23 | because Eve was made of the same bone as Adam, she is both equal and distinct in her creation
woman | what | Gen 2:23 | the words in english "man and woman" as in Hebrew further illustrate the unique but equal nature of each 
3 stages of marriage | what | Gen 2:24-25 | 1. man leaves his family of origin, thus shifting position and loyalty to his wife ie, new family
 |  |  | 2. joined with his wife, this does not refer to the act of intercourse, but the unbreakable commitment of marriage
 |  |  | 3. two are united into one, this includes the sex act, but in larger context sharing all parts of life in common
naked and not ashamed | what | Gen 2:25 | illustrating the intimacy that should be available on in the context of a covanent marriage

## Sheet: Sheet2

## Sheet: Sheet3
