## Sheet: Sheet1
Observation | W | verse | , 
After this  | when | Luke 5:27 | linking the events of the previous section chronolocially to the next section 
Jesus | who | Luke 5:27 | Son of God, Savior of all manking, Promised Messiah of the Jewish People, 2nd Member of the Trinity 
tax collector | what | Luke 5:27 | this was a hated job because they were Jews who took Jewish money and paid it to Romans they were usually dishonest 
Levi (Matthew)  | who | Luke 5:27 | this man's name is also Matthew, writer of the first gospel in the New Testament, here we see his call by the Savior to serve
at his tax booth | where | Luke 5:27 | how interesting that the second "calling" we see of a disciple is also while they are at work
follow me | what  | Luke 5:27 | Jesus simple command for Levi has not changed for us, we are still called to follow His example, teaching, and mission 
left everything | what | Luke 5:28 | there is no room for half way commitment, we must see following Christ as leaving behind our own pursuits 
great banquet | what | Luke 5:29 | in response to following Christ, Levi throws a party to introduce his past friends to his new Messiah
at his house | where | Luke 5:29 | Levi not only takes the initiative to throw the party, but hosts it at his own personal home
large crowd | who | Luke 5:29 | Levi might not have been liked by a large amount of the Jewish people, but he certainly had a lot of friends who were sinners
Pharisees & teachers | who | Luke 5:30 | the Pharisees were a very legalistic and self-righteous group of Jewish teachers who felt they were superior to others 
complained | what | Luke 5:30 | in my opinion, the words of the mouth reflect the state of the heart, all the self-righteous could do was complain
to the disciples | who | Luke 5:30 | notice that the Pharisees didn't complain to Jesus directly, they spoke to His disciples following His example 
Jesus answered them | what | Luke 5:31 | the Pharisees may have complained to the disciples, but Jesus answered them directly! 
 |  |  | I think this is a great example of exactly why Christians don't need to "defend" righteous living, the Savior does it for us
healthy / sick / doctor | what | Luke 5:31-32 | Jesus likens Himself to a doctor treating the sick, the healthy don't need the care of a physician. Obviously, Jesus is speaking
 |  |  | of spiritual health and sickness, the Pharisees were NOT healthy, they were even more sick because they were blind to their 
 |  |  | own spiritual sickness, thinking they were already healthy. We should be carefu not to make the same mistake today! 
John | who | Luke 5:33 | this John is John the Baptist, the forerunner of the Messiah
John's disciples | who | Luke 5:33 | the disciples of John the Baptist, who likely lived a very ascetic lifestyle like John did
often fast and pray | what | Luke 5:33 | fasting is the real issue here, the Pharisees aren't saying Jesus disciples don't pray. Fasting was a sign of deep spiritual 
 |  |  | commitment to God, holiness, and prayer. The Pharisees did this in order to be an outward spectacle of spirituality 
friends of the bridegroom | what | Luke 5:34-35 | Jesus uses the analogy of the wedding celebration, which lasted a week or more and was a time of great celebration and joy
 |  |  | the idea that during a time of great celebration, that is the focus, Jesus was with them, He was the focus of this time
 |  |  | later, after the resurrection of Christ, fasting became a regular practice in Acts and the Church to this day.
new patch, old garment | what | Luke 5:36 | this is more than just mere matcing of colors, the "new" cloth had not shrunk yet and would tear the repair again later 
new wine, old wineskins | what | Luke 5:37-38 | the "new" wine is that which has not fermented yet, this process stretches the container, new skins could stretch to handle
 |  |  | the expaning of this process, old wine skins could not and thus would break 
drinking the old wine | what | Luke 5:39 | Jesus points out that those who are used to the "old way" aren't going to readily accept the "new" because they are convinced
 |  |  | that the old is better. 
 |  |  | All three of Jesus examples in verses 36-39 point out the fact that the Pharisees, the ones who were stuck in the "old way" 
 |  |  | would not understand or accept the "new way" that Jesus was bringing to bear. Jesus needed people who weren't 
 |  |  | conditioned to the "old way" in order to lead the "new way" 

## Sheet: Sheet2

## Sheet: Sheet3
