## Sheet: Sheet1
Observation | W | verse | Additional notes
The following day | when | John 1:35 | the day following Jesus' baptism from v29-34
John | who | John 1:35 | John the Baptist, son of Zechariah
two of his disciples | who | John 1:35 | two men who are disciples of John the Baptist: Andrew v40, the other is unnamed but is thought to be John the Apostle
Jesus | who | John 1:36 | Son of God, Savior of the World, thrid member of the Trinity, cousin of John the Baptist
Lamb of God | what | John 1:36 | John the Baptist had been given a sign to know who the Messiah would be, the name also references the passover lamb of Exodus
heard this, they followed Jesus | what | John 1:37 | John's preaching clearly taught he was the messiah (v20) and thus his disciples would have been expecting the Savior to come
saw them following | who | John 1:38 | once leaving the discipleship of John, the men immediately beginto follow Christ
what do you want? | what | John 1:38 | Jesus asks the most important question by asking them not just why they were following, but what they wanted out of it
Rabbi | who | John 1:38 | by calling him Rabbi, the disciples are recognizing Jesus position and there's as his new disciples
where are you staying?  | where | John 1:38 | asking where Jesus was staying opened the door to them spending more intimate time with the Savior
the 10th hour | when | John 1:39 | a debate exists between roman time or jewish time, roman would be 10am, jewish would be 4pm, the latter sounds more likely
where he was staying | where | John 1:39 | a un-named place where Jesus stayed on this particular day
the rest of the day | when | John 1:39 | the disciples spent the rest of the day with the Savior once following Him, likely spending the night there
Andrew | who | John 1:40 | the only named disciple of John the Baptist to covert and follow Jesus Christ
Simon Peter | who | John 1:40 | the brother of Andrew, named by Jesus Himself, denied Christ 3 times, leader of the church in Acts
Messiah | who | John 1:41 | literal meaning of the word, "Christ" the annointed one, promised Savior of the OT
John  | who | John 1:42 | the name of Peter & Andrew's father
Cephas / Peter | who | John 1:42 | Cephas means peter and stone, upon this "rock" I wil build my church, also said to Peter
Galilee | where | John 1:43 | a region along the Jordan river and Sea of Galilee, a major place of ministry for Jesus
The next day | when | John 1:43 | the day after Andrew and his friend left John the Baptist to follow Christ
Philip | who | John 1:43 | another of Jesus disciples, the first person in this story to recognize Jesus as the one the "prophets wrote about"
Bethsaida | where | John 1:44 | hometown of Andrew, Peter, & Philip (v44) a small fishing village on the sea of Galilee
Nathanael | who | John 1:45 | a friend of Philip, Nathanael at first isn't impressed with Jesus (v46) also thought to be the same person as Bartholomew
Nazareth | where | John 1:45 | place of Jesus childhood, Jesus of Nazareth. After being born in bethlehem & hiding in Egypt, the settle in Nazareth (Matt 2:19-23)
Israel | who | John 1:47 | God's chosen people
under the fig tree | where | John 1:48 | the place where Nathanel was praying prior to being called by Philip
Son of God | who | John 1:49 | the name for Jesus recognizing his divinity and relationship to the Father 
King of Israel | who | John 1:49 | the Jews were still waiting for their promised King to save them from the Romans
do you believe because | what | John 1:50 | Jesus shows His power in such a small way to Nathanel as a taste of the power He will display to His disciples
heaven | where | John 1:51 | the home of God, the spritiual place that is the genesis of all the universe
angels of God | who | John 1:51 | the angels who were created prior to the creation of man
Son of Man | who | John 1:51 | a name for the Messiah from the book of Daniel, not a reference to Jesus humanity

## Sheet: Sheet2

## Sheet: Sheet3
