## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
Jesus | who | Luke 22:39 | Son of God, Son of Man, Promised Messiah, Savior of the World
went… Mount of Olives  | where | Luke 22:39 | Luke already told us that this was the Lord's habit in 21:37
his disciples  | who | Luke 22:39 | this now inlcudes the 11, Judas has left 
the place  | where | Luke 22:40 | the place where they were to pray, and the coming betrayal was to take place 
pray  | what | Luke 22:40 | the tense in the Greek here literally means, "pray and keep praying" this was not a one time directive, but a continual one 
not fall into temptation | what | Luke 22:40 | Jesus knows the hour of His betrayal and thus time of testing for His disciples is at hand 
He withdrew  | what | Luke 22:41 | the verb doesn’t simply mean "to step away" but more indiciates "to tear away" this illustrates the Lord's emotional conflict 
knelt down | what | Luke 22:41 | the verb here means more "fell to His knees" than a gentle kneeling in prayer, again,  a sign of Jesus' emotional state
and prayed  | what | Luke 22:41 | interestingly, Jesus answer to a coming stressor was the discipline of prayer 
if you are willing…. From me | what | Luke 22:42 | Jesus is not asking to have His mission revoked, but rather if their was "any other way" He is asking to avoid pain 
yet not my will… | what |  Luke 22:42 | here we see the humanity of Jesus displayed greatly, and the discipline to willingly subject His will to that of His Father's
and angel from heaven  | who | Luke 22:43 | here we see Luke recording a detail that is unique to the Lucan account of this event. Like the angel ministering to the Savior
 |  |  | after His temptation in the wilderness by Satan (Matthew 4:11)
being in anguish | what | Luke 22:44 | Jesus experenced the full weight of dread and emotional stress knowing what was to come and willingly accepting it 
prayed more earnestly  | what | Luke 22:44 | as His trials became more significant, so did the Lord's commitment to prayer and time with His Father
LIKE drops of blood | what | Luke 22:44 | Luke (the physician) is the only account to include this detail. Luke does not say Jesus physically sweat blood, but rather 
 |  |  | he was sweating so much that it appeared to be like drops of blood; this also could be the medical condition known as
 |  |  | Hematidrosis, which is the effusion of blood into one's sweat due to extreme anguish 
found them asleep | what | Luke 22:45 | this is not sleeping because of physical exhaustion but rather from sorrowful exhaustion 
get up and pray  | what | Luke 22:46 | again, in Luke's account prayer features as the primary means by which the Lord Himself and His disciples face stress 
 |  |  | In Matthew's account (26:36-37) we see that Jesus took the inner three (Peter, James & John) with Him to pray 
while He was still speaking | when | Luke 22:47 | Luke moves the narrative along with this linking phrase to show the urgency of the arrival of the crowd 
to kiss Him | what | Luke 22:47 | Judas uses a sign of intimacy and devotion to commit an act of denail and betrayal, the symbol of the kiss used by Judas
 |  |  | makes the act of his betrayal more heinous. In 2 Samuel 20:9-10 we see a previous example of a betraying kiss
Judas are you… | what | Luke 22:48 | Jesus illustrates that He knows exactly what is happeneing in this question. It is both a rebuke of Judas and a warning 
 |  |  | for the remaining disciples 
strike with our swords | what | Luke 22:49 | here we see again the disciples do not understand Jesus  true mission. They misinterperate v22:38 and now want to use 
 |  |  | their swords, ie the representation of physical force to bring abou the Messiah's kingdom and defend their teacher 
one of them struck… | who | Luke 22:50 | we know from from John 18:10 that this disciple was Peter 
No more of this | what | Luke 22:51 | Jesus stops His disciples from going "full Rambo" on the coming crowd because His Kingdom would not be built by violence
touched the man's ear | what | Luke 22:51 | this is the last recorded miracle of Jesus during this earthly ministry 
am I leading a rebellion | what | Luke 22:52 | as noted in Mark 14:43-45 the crowd coming to arrest Jesus was "armed to the teeth" as if Jesus had been a violent offender
Every day I was with you… | when | Luke 22:53 | Jesus points out the hypocrisy of the coming crowd's passion that it was their fear of the people (Luke 20:19) that drove them
 |  |  | to confront Jesus outside the holy city, away from the Temple, in the dark of night
this is your hour | when | Luke 22:53 | the Savior divinely knows this is the time appointed by His Father for these events to occur, the sinful hatred and pride 
 |  |  | in the hearts of the religious leaders and their followers is allowed to boil over into a lynch mob
when darkness reigns | what | Luke 2:53 | this illustrates not only the dark of night, but the influence of Satan and His "dark" or sinful agenda in killing the Savior 

## Sheet: Sheet2

## Sheet: Sheet3
