## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
After this  | when | Luke 10:1 | Luke gives a chronoloical pause as he now transitions to the sending of the 70/72
the Lord | who | Luke 10:1 | obviously, Jesus. The literal word here "kyrios" /KOOR-ee-os/ means one with decision making authority over another 
seventy / seventy two | who | Luke 10:1 | there is descrepency in the ancient manuscripts as to which number is correct. Either way, it doesn't change the intended 
 |  |  | meaning of the text, but it gives us a chance to see what Luke might have been getting at. The number is likely a symbolic 
 |  |  | representation for the "nations of the world" as Jesus first sent his 12 (Luke 9:1-6) to Isreal, symbolically Luke  can be 
 |  |  | laying the foundations for the Gospel being sent to the gentiles in Acts 11:18. The "Table of Nations" in Genesis 10 has 70
 |  |  | names in the Hebrew text and 72 names in the Septuagint, the Greek Old Testament. This could account for the discrepency.
two by two | what | Luke 10:1 | this provided support and security, but it also meets the Old Testament's need for valid testimony (Num 35:30, Deut 19:15)
every town… about to go | where | Luke 10:1 | notice that this group was sent ahead of Jesus to the towns and places He was about to travel to, preparing the way for Him
harvest is plentiful | what | Luke 10:2 | the Old Testament imagery of the final gathering of God's people is that of a harvest (Isaiah 27:12) this could suggest not 
 |  |  | only a ministry event, but an eschatological one as Luke points to in later verses (v 12, 14, 15) 
 |  |  | A harvest also gives a sense of urgency in that crops need to be harvested when they are ripe so they aren't lost or spoiled
workers are few | what | Luke 10:2 | it's not that workers are not present to do the task, but that they pale in comparison to the size of the task
Lord of the harvest | who | Luke 10:2 | this illustrates God's providence not only the workers, the field, but of the harvest itself. 
Go | what | Luke 10:3 | there is no way to ignore the call to follow Christ involves the action of leaving one's place of comfort for the misson 
lambs among wolves | what | Luke 10:3 | this is a dual imagery of the coming persectuion of the church, but also the sheep's reliance on the Shepherd 
purse, bag, or sandals | what | Luke 10:4 | this generally means "travel without luggage" as in His instructions to the 12 (Luke 9:3) not that they needed to be poor
greet no one | what | Luke 10:4 | this is not an instruction to be rude or cold, but that the mission was urgent and they could not afford the distraction
 |  |  | greetings in this day were long and elaborate. This also reflects Elisha's command to his servant in 2 Kings 4:29
peace to this house | what | Luke 10:5 | this is generally accepted to be more than a simple greeting, but an offering of the peace of the Kingdom of God
who promotes / man of peace | who | Luke 10:6 | literally a "son of peace" is someone who heart is ready to accept the message of the Kingdom of God
return to you | what | Luke 10:6 | there were not a worry for the minister that they would "loose" anything freely ministering to those whom they met
stay, eating and drinking | what | Luke 10:7 | Jesus emmisaries were not to "set terms" or govern in any way the provision that would be given to them
worker deserves his wages | what | Luke 10:7 | Jesus knew His messengers would be to be provided for, and their service to the Kingdom warranted their provision
 |  |  | Interestingly, Paul quote this proverb in 1 Timothy 5:18 and calls it Scripture, this may suggest that Jesus own teaching was
 |  |  | being considered Scripture by the time of Paul's ministry. 
Do not move around  | where | Luke 10:7 | this could be percieved as "shopping" for better accomodations and thus taking advantage of people's hospitality
when you enter… are welcomed | what | Luke 10:8 | this first instruction is given for those areas that would readily accept the message about the Kingdom of God
eat… heal… tell them | what | Luke 10:8-9 | these instrcutions give the main focus of Jesus ministry (healing & teaching) done in the humility of a servant
when you enter… not welcomed | what | Luke 10:10 | this second instruction is given for those areas that refuse to accept the message about the Kingdom of God
dust… we wipe from our feet | what | Luke 10:11 | this was a formal act of separation, leaving the town to judgment that would come later 
more bearable… on that day | when | Luke 10:12 | God destroyed Sodom and Gomorrah with fire and brimstone (Gen 18:16-19:29) and the sin-judgment paradigm had already
 |  |  | become proverbial in reference. Yet the sin of rejecting the Son of God here is greater than the sin of Sodom and Gomorrah
Charazin, Bethsaida | where | Luke 10:13 | these two towns were located on the northern side of the sea of Galilee in which Jesus had done miracles and ministry 
Tyre and Sidon | where | Luke 10:13 | these two towns are located north of Galillee on the coast of the Mediterranean Sea in Phonecia (pagan country) and had
 |  |  | not seen the miracles and ministry of the Savior first hand
sackcloth & ashes | what | Luke 10:13 | this is a commonly identified garment of mourning (Job 2:8) the sybmolism is as though one's house had burned down
Capernaum | where | Luke 10:15 | Jesus based much of His Galillean ministry in Capernaum and yet many rejected Him there
listens to you, listens to me |  |  | 
rejects you, rejects me | what | Luke 10:16 | Jesus encourages his missionaries that they are just the fact of the message, He is the embodiement of it. When they are 
 |  |  | well received, it's not them but Him being accepted. Likewise, when they are not, it's not them but Him being rejected. 

## Sheet: Sheet2

## Sheet: Sheet3
