## Sheet: Sheet1
Observation | W | verse | Additional notes
the serpent | what | Gen 3:1 | a snake, the real animal not a symbol 
asked the woman | what | Gen 3:1 | the fact that the snake spoke illustrates that it was being used under Satan's power as snakes don't talk normally 
the woman (Eve)  | who | Gen 3:1 | Eve, the first female, created by God from Adam's rib the first wife
Did God really say…? | what | Gen 3:1 | the beginning of all temptation comes with quesitoning God's word to undo our trust in it 
not eat from any tree | what | Gen 3:1 | Satan's quesiton was a lie, and reframed God's law as more restrictive than it was in the first place
of course we may eat | what | Gen 3:2 | Eve correctly recounts God's original plan, the freedom to eat of ALL with the restriction of only ONE
it's only the fruit of the tree | what | Gen 3:2 | Eve had not yet been created when God gave this law to Adam, this illustrates that Adam taught Eve about God's law
must not eat it / touch it | what | Gen 3:3 | God's restriction wasn't only on the eating, but they were not to touch it either, avoiding temptation is an all or nothing deal
you will die | what | Gen 3:3 | the wages of sin is death (Romans 6:23) from the beginning disobeying God's law brought death
you won't die | what | Gen 3:4 | again, Satan tries to get the first couple to question God's word, this time by questioning His response to disobedience
God knows your eyes will… | what | Gen 3:5 | Satan frames the reason for God's law as petty positioning, ignoring the blissful state that God created for Adam & Eve
you will be like God | what | Gen 3:5 | just as Satan fell to the same temptation, he now tempts humanity with the chance to play God - which we are still doing
knowing both good and evil | what | Gen 3:5 | it wasn't until the fall that mankind had knowledge of evil, until that point we were literally "perfect and happy" 
saw… beautiful & delicious | what | Gen 3:6 | the tree was made that way when God planted the garden (Gen 2:9)  Satan distorts the truth of God in order to tempt us to sin
3 "categories" of temptation | what | Gen 3:6 | Eve was tempted mentally (looked good), physically, (delicious), emotionally, (wanted the wisdom) 
who was WITH HER | what | Gen 3:6 | many have tried to say that Eve was cornered or somehow separated from Adam and thus sinned "first" this is not true
their eyes were opened | what | Gen 3:7 | interesting that the sense most acute to determine good and evil is sight.  Pornography: I know it when I see it
suddenly felt shame | what | Gen 3:7 | until this point there was no shame in their marriage, now because of sin, shame found it's way between husband & wife
at their nakedness | what | Gen 3:7 | this is not only the state of being unclothed, but now also the understanding that they are "exposed" and guilty of sin 
sewed fig leaves together | what | Gen 3:7 | man always tries to "cover up" our own sin by our own means which are weak and ill-fated from the beginning
walking in the garden | what | Gen 3:8 | the fact that God is "walking" implies that He has taken human form, logically, God the Son is the most likely choice
they hid from God | what | Gen 3:8 | once sin entered the picture, spiritual death destroyed their relationship with God, so much that they hid from His presence 
where are you?  | what | Gen 3:9 | God being omniscient didn't need to ask, but this shows even in our sin, how much God wants to talk with us 
who told you? Have you eaten? | what | Gen 3:11 | God knew the sinful actions of man, but offers the chance to us to "fess up" much like Salvation is still free, but we must fess up 
the woman you gave me… | what | Gen 3:12 | the "blame game" begins as humanity tries to pass of the responsibility for sin to a third party
the serpent decieves me… | what | Gen 3:13 | Eve follows Adam's example and tries to blame the serpent for her actions
God the Father | what | Gen 3:8-11 | one thing that is clear from God's words and actions is His desire to be a Father and not just Creator or Judge
you will crawl on your belly | what | Gen 3:14 | while a commonly held belief, there is no texual evidence to assume the serpent had legs and then lost them
hostility between offspring | what | Gen 3:15  | often called the "Proto-Evangelum" for The First Gospel, this is the first messianic passage in the Bible
 |  |  | there will be a contstant struggle between mankind and sin, but one is coming, Jesus, who will crush sin once and for all 
Eve's consequences | what | Gen 3:16 | Eve (and all women after her) are given increased pain in childbirth, still a directive of God, now cursed by the Fall and sin 
 |  |  | the "desire" here isn't emotional or physical, these both existed pre-Fall, this is a desire to control or or dominate her husband
 |  |  | this stands in direct contrast to the original design that God had for marriage, ie a mutually submitted partnership
Adam's consequences | what | Gen 3:17-19 | Because Adam was also God's regent on earth, the very ground, or means by which Adam would provide for his family 
 |  |  | God did not remove the provision of the fruit and grain, but greatly increased the toil required to achieve it. Just as with Eve. 
 |  |  | returning to Dust should not indiciate the Adam and Eve were immortal, but that death is now present and the tree of life isn't 
Satan > Eve > Adam | what | Gen 3:14-19 | God's judgments go the correct order of culpibiliyt, with Adam last as he was the most to blame for the Fall 
Eve named Adama | what | Gen 3:20 | Just as Adam had named all of the animals of creation, Adam remained the head of his wife and named her Eve
made clothing from animal | what | Gen 3:21 | this is the first example of blood being shed for the forgiveness of sin, God provided for them coverings, but only with blood
then they will live forever | what | Gen 3:22 | this illustrates that Adam & Eve are not immortal, as they have not eaten from (or can't eat consistently from) the tree of life

## Sheet: Sheet2

## Sheet: Sheet3
