## Sheet: Sheet1
Observation | W | verse | , 
on the 8th day | when | Luke 1:21 | the same was with John the Baptist, presented on the 8th day as instructed by God to Abraham (Gen 17:10-14, Lev 12:3)
named Jesus | what | Luke 1:21 | "Yeshua" in Hebrew, /Ee-Ay-Sous/ in Greek,  His name literally means "Jehovah is Salvation" 
Jesus | who | Luke 1:21 | the Savior, Good Shepherd, 2nd Member of the Trinity, Son of God, Son of Man, Promised Messiah of the Old Testament 
the angel had given  | what | Luke 1:21 | Mary was given the name in Luke 1:31 and also mentioned Joseph's angelic visitation in Matthew 1:20-21.
purification rites | what | Luke 1:22 | in the Law (Lev 12:1-9) there is a prescribed plan for purification rights for mother and child after birth
firstborn male | what | Luke 1:23 | in Ex 13:2-12  the Lord commanded that all firstborn males be consecrated to Him 
pair of doves… | what | Luke 1:24 | this indicates that the couple was not very wealthy as they "could not afford a lamb" (Lev 12:8)
Jerusalem | where | Luke 1:25 | the city of God, Captial of Judea, site of: the Temple of Solomon, death & ressurection of Jesus,  and Holy Spirit's descent
Simeon | who | Luke 1:25 | little is known about this man, other than what is mentioned here, he is righteous and devout and had a promise from God
consolation of Israel | what | Luke 2:25 | in Greek /pah-RAH-klay-sees/ mean "comfort or encouragement"  the Holy Spirit is called the Paraclete or Comforter
Holy Spirit | who | Luke 1:25 | the third member of the Trinity, our Comforter, also the one who manifests certain gifts upon God's people 
was on him  | what | Luke 1:25 | remember that this story takes place under Old Testament Law times, which means the Spirit is not available to everyone
 |  |  | rather, the Spirit "comes upon" someone for a specific empowerment, act, or calling (ie, David, Sampson, Elijah, etc) 
revealed to him | what | Luke 1:26 | Simeon had recevied special knowledge from God Himself that he would be able to see the Lord's Messiah
Lord's Messiah | what | Luke 1:26 | Messiah in Hebrew and Christ in Greek mean the same thing "The Lord's Annointed One" 
moved by the Spirit | what | Luke 1:27 | with the Spirit "upon him" he was moved or directed by the Spirit to go into the Temple courts 
when the parents brought | when | Luke 1:27 | Simeon was moved by the Spirit to be in the room when Mary & Joseph arrived so he could see The Savior 
Lord… You have promised | what | Luke 1:29 | Simeon recognizes that seeing the Christ Child is a fulfillment of the Lord's Word to him
dismiss your servant | what | Luke 1:29 | he will be able to die, now that the Lord's word has been fulfilled 
seen your salvation | what | Luke 1:30 | Simeon was waiting for the "consolation" of Israel (v25) and recognizes that Jesus is the Salvation for Israel
light… to all gentiles | what | Luke 2:32 | this illustrates the coming Messiah's ministry would bring salvation to the Gentiles echoing Isaiah 42:6,49:6
glory of… Israel | what | Luke 2:32 | while the Gospel is intended to include gentiles, this does not replace Israel's prominence as the people of God
 |  |  | rather, the nation of Israel is given more glory as the ones through whom the Savior came 
rising and falling in Israel | what | Luke 2:34 | not a direct quote, but alluding to Isaiah 8:14-15 about the "two stones"; shows the rejection by Israel and birth of the Church
sword… own soul too | what | Luke 2:35 | there has been a lot rumored about this passage, nothing is concrete, best to see it as the emotional weight of Jesus' work
Anna | who | Luke 2:36 | women in prophetic office are seen in the Old Testament: Miriam (Ex 15:20), Deborah (Judges 4:4), Huldah (2 Kings 22:14)
tribe of Asher | what | Luke 2:36 | because Anna knew she was from the Tribe of Asher, we see the term "Jew" originally only meaning from Judah now applied
 |  |  | to all Israelittes. Also, this dispelled the idea of the "lost tribes" as she new she was from Asher, like Paul from Benjamin
very old  | what | Luke 2:36 | often times in Biblical language, age is a sign and security of wisdom 
worshiped night and day | what | Luke 2:37 | this doesn't mean she slept at the church, but that she "lived" there in the sense of devotion and participation 
redeption of Jerusalem | what | Luke 2:38 | again the theme of Messianic redemption comes up, this time applied to Jerusalem symobolically to all Israelites 
returned to Galilee | what | Luke 2:39 | just as John the Baptist returned to the wilderness until the property time, so Jesus returns to Galillee for His childhood
filled with wisdom | what | Luke 2:40 | Isaiah 11:1-2 speak of the Messiah having "wisdom and understanding" from the Spirit

## Sheet: Sheet2

## Sheet: Sheet3
