## Sheet: Sheet1
Observation | W | verse | Additional notes
Rachel | who | Gen 30:1 | the daughter of Laban, the wife that Jacob loved, mother of Joseph and Benjamin
wasn’t' having children | what | Gen 30:1 | in the ancient near east this was a disgrace to have a wife that couldn't bear children
jealous of her sister | what | Gen 30:1 |  the theme of sibling rivalry appears multiple times in Genesis, this is the first time  it is between sisters
Am I God?  | what | Gen 30:2 | while his response is said in anger, Jacob clearly saw the giving of children as God's authority 
Take my maid | what | Gen 30:3 | like her grandmother-in-law before her, Rachel in a lack of faith moment offers her servant as a wife for her husband
she will bear children for me | what | Gen 30:3 | the children of Bilhah would, for legal purposes, be the heirs of Rachel in this ancient custom
gave…to Jacob as a wife | what | Gen 30:4 | again we see the presence of polygamy in the people of God, this does not mean that it is acceptable or godly
Dan | who | Gen 30:6 | his name means "judge" because the Lord vindicated Rachel through the birth of Dan
Rachel named them | what | Gen 30:7 | seeing the Rachel, not Bilhah, named the sons shows that they were "her" sons by right
Naphtali | who | Gen 30:8 | his name means "wresting" because Rachel was struggling with her sister Leah for prominence in the clan
Zilpah | who | Gen 30:9 | the maid servant of Leah, Leah follows her sister's example and gives Jacob a fourth wife 
Leah named him | what | Gen 30:11 | just as Bilhah's kids were Rachel's, Leah names the sons of Zilpah and they are her children by order
Gad | who | Gen 30:11 | his name means "good fortune" because it was Leah's good fortune to have another son
Asher  | who | Gen 30:12 | his name means "happy" because Leah thought the other women would celebrate with her 
during the wheat harvest | when | Gen 30:14 | around our "may" or late spring
mandrakes | what | Gen 30:14 | mandrakes are a specific flower that has a powerful scent and an edible fruit, considered to be a fertility aid / aphrodesiac
Rachel begged  | what | Gen 30:14 | Rachel is desperate to have a baby of her own, so much she resorts to superstition / witchcraft to conceive 
you stole my husband | what | Gen 30:15 | we finally get a first person view from Leah, interestingly she sees Jacob as HER husband, because she was married first
I will let Jacob… | what | Gen 30:15 | A man with four wives can only live with one at a time, this could be that Jacob was living with Rachel and thus she may have
 |  |  | been preventing him from sleeping with Leah. If so, this explains why she is not having children anymore 
if you give me… | what | Gen 30:15 | Rachel trades the presence of her husband for the promise of fertility, yet it is Leah who becomes pregnant
you must… I have paid for you | what | Gen 30:16 | the wives of Jacob had already made his evening plans for him based on their own selfish desires 
God answered… pregnant | what | Gen 30:17 | again we see that the gift of pregnancy is the Lord's to give, not to conjur or control with earthly means
Issachar | who | Gen 30:18 | his name means "hire" as she hired Jacob for sex with the mandrakes from her son
Zebulun | who | Gen 30:20 | his names means "dwelling"   
Dinah | who | Gen 30:20 | the only daughter mentioned in this chapter, her mention sets up the events of chapter 34 of Genesis
Joseph | who | Gen 30:24 | his names means "adding" because God finally added to Rachel's family line
Please let me go home | what | Gen 30:25 | Jacob had a promise from God that he would return home. He must have finished the 7 year debt for Rachel
I have become wealthy | what | Gen 30:27 | Laban makes to secret of the fact that he has become wealthy because of Jacob
the Lord has blessed you | what | Gen 30:30 | Laban uses Jehovah, God's covanent name, but this doesn’t mean he is a part of, just a overflow recipient of the blessing
what wages do you want | what | Gen 30:31 | again, Laban offers Jacob the chance to define his own compensation 
spotted or speckled | what | Gen 30:32 | Jacob chose a wage that was easily recognizable and (in theory) unchangable. But God moves in this and blesses him 
that very day | when | Gen 30:35 | Laban immediately went out and separated the sheep that would have been Jacob's 
streaked branches | what | Gen 30:37 | there is not special significance to the kind of branch, they were just pealed to show the color difference between the dark
 |  |  | exterior and the lighter interior. There was an ancient theory that what an animal saw when it mated would affect it's young
 |  |  | obviously, this is not a real possiblity, this is further evidence of God working supernaturally in Jacob's life. 

## Sheet: Sheet2

## Sheet: Sheet3
