## Sheet: Sheet1
Observation | W | verse | Additional notes
Abraham | who | Gen 25:1 | first man to be called a Hebrew, Father of the Jewish Nation, Husband of Sarah, Father of Isaac
Keturah | who | Gen 25:1 | the term "another wife" denotes the relationship to Abraham as well as lesser status than that of Sarah, the first wife
descendants of Katurah | who | Gen 25:1 | the most notable name from the list is the Midianites, from whom Moses wife would come (Ex 3:1)
gave everthing to Isaac | what | Gen 25:5 | Abraham sent away his "other" sons and left the estate (and covanent) with Isaac as God's chosen son of promise
joined his ancestors  | what | Gen 25:8 | this is a phrase to speak of his death. He "met" those who had gone before him in life in his family 
Isaac & Ishmael buried | what | Gen 25:9 | though they were estranged, the death of their father brought them together 
Cave at Machpelah | where | Gen 25:9 | the cave that Abraham bought as a permanent burial place for his family, where he laid Sarah (Gen 25:23)
After Abraham's death | when | Gen 25:11 | the death of Abraham now brings the next "phase" of the promise now extending to Isaac
God blessed Isaac | what | Gen 25:11 | God now blesses Isaac in the way he had his father, this shows God's hand and promise on the next generation
sons of Ishmael | who | Gen 25:13-14 | God had promised 12 princes to come from Ishmael (Gen 17:20) this also transitions him out of the focus of the story
lived in hostility  | what | Gen 25:18 | this is the fulfilling of the promise given in Gen 16:12, Ishmael lived in hostility against his relatives
this is the account | what | Gen 25:19 | this is the beginning of the next thematic development in the book of Genesis, focus now transitions to Isaac > Jacob
Isaac was 40 years old  | when | Gen 25:19 | this is much older than the typical age for young men to marry (18), possible to show the "right" mate in God's timing
Isaac pleaded with the Lord | what | Gen 25:21 | unlike his father, who we are not told did anything, Isaac pleads with the Lord for his wife's barreness
unable to have children | what | Gen 25:21 | a reocurring theme with the "First Family" this illustrates that children are a gift from God (Psalm 127:3) in His timing
the lord answered | what | Gen 25:21 | this re-establishes that even the birth of children is a divinely directed event and not just mere biology
struggled with each other | what | Gen 25:22 | the theme of sibling rivalry is an evident one in Genesis (Cain/Able, Isaac/Ishmael, Jacob/Esau, Josheph/brothers) 
why is this happening to me | what | Gen 25:22 | a question I think we can all ask from time to time, she doesn't doubt God's Word, just needs help accepting it
two rival nations | what | Gen 25:23 | like the generation before them, these two children are destined to become rival nations in their own right
older will serve the younger | what | Gen 25:23 | the theme of younger being privileged is also repeated in Genesis (Able younger than Cain, Joseph younger than other) 
thick coat of fur… Esau | what | Gen 25: | Esau sounds like a Hebrew word that means "hair" 
grasping heal… Jacob | what | Gen 25:26 | Jacob sounds like  a Hebrew word that means "heel" and "deceiver"
60 years old | what | Gen 25:26 | the age of Isaac when his twins were born
skillful hunter / quiet temp. | what | Gen 25:27 | we are all given giftings and inclinations by the Lord, they should not be used as a measure of his blessing
Esau loved… Rebekah loved… | what | Gen 25:28 | both parents fall prey to the worst trap for parents, loving one child more than another
trade me your rights | what | Gen 25:31 | as the firstborn Esau was going to receive a double portion of the estate after their father's passing
 |  |  | I do not believe this refers to a transfer of the covanent blessing, as God already said the older would serve the younger v.23
what good is my birthrite? | what | Gen 25:32 | Esau was more concerned with the immediate physical benefits, not the long term. Like the prodigal son (Luke 15:12)
I'm dying of starvation | what | Gen 25:32 | how often we can exagerate our circumstances when we are focused the immediate and not the long term of God's plan
Esau swore an oath | what | Gen 25:33 | Esaw sold his brithrite, his future blessing from his father, for a cheap and fleeting desire (hunger) so to we do for sin
he showed contemt | what | Gen 25:34 | the chatper ends not with Jacob's offer, but Esau's heart. Dispising means "cared less for" not "hated" 

## Sheet: Sheet2

## Sheet: Sheet3
