## Sheet: Sheet1
Observation | W | verse | Additional notes
Joseph | who | Gen 45:1 | the elder son of Jacob and Rachel, betrayed by his brothers, a dreamer used by God to save His people 
stand it no longer | when | Gen 45:1 | the moment when Joseph could no longer keep the truth of his identity to his family 
out, all of you | what | Gen 45:1 | Joseph wanted the "big reveal" to be a famiily moment, not a shared one
wept so loudly  | what | Gen 45:2 | the volume of his weeping illustrates the depth of his feeling on the matter of his family 
I am Joseph, is my father alive | what | Gen 45:3 | in the moment of his revealing identity to the brothers who he has confirmed have changed, he is still focused on family 
they were stunned  | what | Gen 45:3 | as we have already established, the brothers do not think that Joseph is alive, let alone a governer in Egypt
Please, come closer | what | Gen 45:4 | Joseph now dispenses with the "distance" between Egyptians and Jews seen in 43:32 and embraces his family 
you sold into slavery | what | Gen 45:4 | Joseph calls out the brother's betrayal openly, the truth is never a bad thing 
don't be upset / angry | what | Gen 45:5 | interestingly, it is the brother who was betrayed who now asks the others to be calm and not angry
two years / five more left | what | Gen 45:6 | here we get an idea of the timetable in which the narrative of Joseph follow, two years of the seven year famine have passed
keep you & family alive | what | Gen 45:7 | Joseph's placement in Egypt is not random but part of a much larger plan to fulfill the Abrahamic Covanent
God sent me ahead of you | what | Gen 45:8 | Joseph recognizes that all that happened to him is because God has willed it to be for HIS purposes
hurry to my father | what | Gen 45:9 | Joseph is still focused on the reunion with his fathher, one of the things directly accomplished by God's plan for Joeseph
region of Goshen          | where | Gen 45:10 | this land was given to the Hebrews by Pharaoh for them to settle and live in peace near Joseph
I will take care of you | what | Gen 45:11 | Joseph sees it as his responsibility to care for his incoming family, 
Pharaoh | who | Gen 45:16 | the "King" of Egypt, the most powerful nation at the time. 
were delighted to hear this | what | Gen 45:16 | the pagan officials in Egypt were delighted to see Joseph had his family restored to him 
don't worry / give you the best | what | Gen 45:18 | how amazing that in the midst of Joseph's struggles and hardships, God was preparing blessing for His people
wagons, clothes, money, etc | what | Gen 45:21-23 | the sons of Jacob returned home blessed in functionally, personally, and financially, this was have been a site to see
Joseph is still alive!  | what | Gen 45:26 | the words that would have immediately melted the heart of Jacob, the heartbreak he carried was over 
couldn't believe / when he saw | what | Gen 45:27 | the news that Joseph was an Egyptian governer would have been hard to believe, but the blessing was undeniable

## Sheet: Sheet2

## Sheet: Sheet3
