## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
one Sabbath | when | Luke 14:1 | again, Jesus chooses the Sabbath to heal. More Sabbath healings happen in Luke than any other Gospel 
Jesus | who | Luke 14:1 | The Son of God, Son of Man, Promised Messiah, Savior of the World, 2nd Member of the Trinity
house of a… Pharisee | where | Luke 14:1 | this invitation was likely not innocent, but for the occasion of watching him to trap him 
being carefully watched | what | Luke 14:1 | the fact that the Pharisees would invite someone just to watch and trap them shows their level of pride 
in front of Him | where | Luke 14:2 | the man with the affliction (swelling of the body due to excess fluid) was standing in front of Jesus
Jesus asked | what | Luke 14:3 | notice it is Jesus who begins the verbal exchance. He knows their hearts and what they are thinking, but still initiates 
Is it lawful to heal | what | Luke 14:3 | Jesus is surrounded by "experts" who can't tell the difference between an act of man (work) and an act of God (healing) 
they remained silent | what | Luke 14:4 | The Pharisees realized their "trap" had been sprung on them and Jesus silences their "wisdom" with His own question
healed and sent  | what | Luke 14:4 | the man himself was not the focus of Jesus teaching, just the lesson, so he is sent on his way, fully healed and restored 
then he asked them | what | Luke 14:5 | Jesus uses a classic "lesser to greater" style rabbinic argument to illustrate their hypocrisy about healing 
child / donkey / ox | what | Luke 14:5 | some manuscripts have "child" and other's have donkey, this is because of similarities in spelling in ancient languages 
would you not pull it out | what | Luke 14:5 | Jesus illustrates that they are willing to have compassion (or perhaps selfishness) for an animal, but not a person 
they had nothing to say  | what | Luke 14:6 | The pharisees could see the logic in Christ's argument and knew they could not invalidate His point 
when He notices  | when | Luke 14:7 | Jesus observes the habit of guests being "ranked" by their seating positions at the table, this was common for Jews & Romans
do not take the place of honor | what | Luke 14:8 | don't pridefully assume you are the most important guest invited to the banquet 
humiliated | what | Luke 14:9 | socail status and standing was paramount in both Jewish and Roman cultures, this type of embarassment would have
 |  |  | been of incredible social weight and would have been unbearable for the one who was asked to move 
take the lowest place | where | Luke 14:10 | take a place of lesser honor, so that if you are to be honored, it is in humility and not prideful assumption 
Jesus… to his host | who | Luke 14:12 | Jesus speaks directly to the Pharisee mentioned in verse 1 that is the host of this dinner 
don't invite friends | who | Luke 14:12 | Jesus is not saying that we should never invite friends or family over for a meal. He is pointing out that there is no 
 |  |  | rightouesness or pious value in serving those who are wealthy enough to feel obligated to serve you in return 
invite the poor… | who | Luke 14:13 | if we want to store up eternal rewards for serving someone a meal, make it someone who can not pay you back 
and you will be blessed | what | Luke 14:14 | there is a clear understanding in first century Judiasm and today that our actions in this life will directly affect the next 
when one… heard this  | what | Luke 14:15 | someone at the table, not the host, but likely another pharisee or religious teacher 
eat at the feast | when | Luke 14:15 | the feast in view here is most likely the final wedding feast at the end of days when Gods people will dine with Him 
 |  |  | the common interpretation of this event in first century Judaism was that the righteous, wealthy, and powerful would be 
 |  |  | guests of the Lord at the Feast because it was assumed that their status, wealth, health were because of their righteousness
 |  |  | this is wrong because health/wealth/status (or lack of) have never been a measure of righteousness 
Jesus replied  | what | Luke 14:16 | Jesus parable of the Wedding Feast is given in response to the man's statement in the preceeding verse. It is thus most likely 
 |  |  | that this parable is intended to correct the misunderstanding mentioned above
at that time | when | Luke 14:17 | at the time the banquet is prepared, the time that only the Lord knows (Matt 24:36)
those… invited  | who | Luke 14:17 | in view, the Jews, those who had been given the knowledge of the coming Messiah in the Old Testament Scriptures
began to make excuses  | what | Luke 14:18 | all the excuses given here are silly and almost insulting:
 |  |  | 1. One usually inspects the field or oxen before buying, but once purchased here is no more time constraint
 |  |  | 2.  Just getting married, while important, does not exclude one from spiritual responsibility, just bring your wife with you 
bring in the poor | who | Luke 14:21 | in a sharp reversal to the thinking of their day, the poor, crippled, blind, and lame would have been socially unacceptable 
 |  |  | to dine with because they could risk making one ceremonially unclean, yet they are replacing the invited guests 
there is still room | what | Luke 14:22 | regardless of which side of the election debate you're on, both agree until the end of days, there's more people to be saved. 
roads and country lanes | what | Luke 14:23 | this most likely illustrates the Gentile inclusion in the Kingdom of God and the Great Banquet 
none of those invited | what | Luke 14:24 | I don't believe this verse should be taken to say that all Jews are beyond salvation, that doesn't match with the rest of 
 |  |  | Holy Scripture. However, it is more likely that those who heard His call (invitation) and did not respond because of their 
 |  |  | wordly excuses are the one's in view that are left out. 

## Sheet: Sheet2

## Sheet: Sheet3
