## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
about this time | when | Acts 12:1 | we must remember when reading Luke/Acts, Luke is not writing a strict chronological account, he has ordered the events for
 |  |  | a more topical / theological purpose, this event with Peter signals the change of focus in the book away from Peter's ministry 
King Herod | who | Acts 12:1 | this is Herod Agrippa I, the grandson of Herod the Great. He was given his position by the Roman Emperor Caligula
 |  |  | and then had his authority expanded in the AD 30's by a childhood friend now made emperor, Cladius
James, brother of John | who | Acts 12:2 | this is the first of the 12 Disciples of Christ to be executed, one of the "sons of thunder" the sons of Zebedee 
death by the sword | what | Acts 12:2 | this is a reference to beheading
seize Peter also | what | Acts 12:3 | given that James had just been executed, Peter's fate is sure to be the same thing. Even his own friends do not expect 
 |  |  | him to be knocking at the door, because they assume that he too will be or has already been killed. 
Festival of Unleavened Bread | what | Acts 12:3 | this is part of the Passover week. 
after the Passover | when | Acts 12:4 | Herod Agrippa I was a devout Jew and thus would not hold a trial or execute someone during the Passover
four squads / four soldiers | who | Acts 12:4 | this was to ensure that Peter was guarded all hours of the day and night 
earnestly praying for him  | what | Acts 12:5 | even though Peter's death seems to be assured, the Church still prays for him 
the night before | when | Acts 12:6 | this would have been Peter's final night of life had he gone to trial, Herod's intentions to kill Peter are clear 
angel appeared | what | Acts 12:7-11 | non-supernatural explinations for Peter's escape claim that the the prison break as an "inside job" and this is merely a 
 |  |  | messenger sent by God, not a supernatural angel. While this would not belittle the Lord's hand, Luke clearly sees this as an 
 |  |  | divinely sent angelic messenger: (1) the light in the room denotes divinity, (2) the chains fell off his wrists instead of being
 |  |  |  removed, (3) Peter thought he was seeing a vision, not a person, (4) the iron city gate opened by itself, (5) Peter's own 
 |  |  | conclusion is that the Lord sent an angel and not a person to rescue him 
Mary, mother of  | who | Acts 12:12 | John Mark's father is not mentioned, so all we can go on is what the text says about this Mary, she is obviously wealthy 
 |  |  | as she owns her own home and has sevants answering her night time callers
John also called Mark | who | Acts 12:12 | Luke introduces a character who will become prominent in he early church, tradition holds that John Mark is the writer
 |  |  | who recorded Peter's preaching ministry which is the basis of the Gospel of Mark. 
the outer entrance | what | Acts 12:13 | the fact that the home had a courtyard entrance illustrates the wealth John Mark's family had. 
servant named Rhoda | who | Acts 12:13 | this is the only reference to this servant, the word here can be a purchased slave or a willingly hired servant 
overjoyed / reluctant | what | Acts 12:14-15 | notice the servant at the door is the only one to believe this is actually Peter, because she saw him with her own eyes
 |  |  | the other believers in the home, while they were praying for Peter, did not believe her. They assume she saw an angel
 |  |  | possibly sent in response to their prayers, who had assumed Peter's appearance. 
they were astonished | what | Acts 12:16 | how telling that while they were praying for Peter, they didn't believe he was really free from the death sentence he had
tell James | who | Acts 12:17 | this James is the half brother of Jesus, who is rising or has already risen to be a leader in the Church at Jersualem 
left for another place | where | Acts 12:17 | notice how Luke is now vague on Peter's next destination, this foreshadows the change in focus away from Peter in Acts 
in the morning | when | Acts 12:18 | the Romans did not discover Peter's escape until the next morning 
ordered them executed | what | Acts 12:19 | as was Roman custom if a prisoner escaped, the guard would suffer the punishemnt due the escapee, in this case, death 
Caesarea | where | Acts 12:19 | Herod's move brought him much closer to the people he is disputing with in Tyre and Sidon
quarelling with Tyre and Sidon | what | Acts 12:20 | Both Tyre and Sidon are both in the country just north of Caesarea and were likely having food distribution troubles 
 |  |  | this is the only record of this challenge faced by Herod Agrippa I 
voice of a god, not a man | what | Acts 12:21-22 | Herod's garments and actions on this day clearly illusrate he intended to be treated in this manner. It is very common for
 |  |  | gentile kings to be treated as divine by their people, Jewish & Christian believers only worship God Himself as God
immediately | when | Acts 12:23 | God will not tolerate anyone else taking His place as the true object of worship from His people
angel struck him down | what | Acts 12:23 | Luke is as clear here at he was earlier, this judgment by God is carried out by the divine hand of an angelic messenger
eaten by worms | what | Acts 12:23 | many theories have surfaced as to the nature of the worms that killed the king, Luke's primary point is that this is a judgment
 |  |  | from God, for the punishment of receiving idolotrous worship, muted out by the divine hand of an angel 
Word… contined to flourish | what | Acts 12:24 | in a turn of events, the purpose that Agrippa I set out to accomplish, namely stiffling the growth of the Chruch fails 
Barnabas and Sauls | who | Acts 12:25 | Luke picks us the narrative where he left it in 11:30 and brings Barnabas and Saul back into view in the text 

## Sheet: Sheet2

## Sheet: Sheet3
