## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details  | 
three days after | when | Acts 25:1 | the short amount of time between Festus' installation and visitiation illustrates the importance of relations with the Jews | 
went UP from / to | where | Acts 25:1 | rememer that the cardinal direction from Caesarea to Jerusalem would be southeast, but it is higher in elevation  | 
chief priests / Jewish leaders | who | Acts 25:2 | there is no reason to assume Ananias is still the high priest, Paul was held in Ceasarea for two years before Festus | 
 |  |  | took office, so the high priest and leading Jewish men could be somewhat different, but their oppositio to Paul is the same | 
presented charges against | what | Acts 25:2 | the Jewish ruler leaders are still trying to use the power and authority of Rome to get rid of Paul with false charges | 
requested / favor / transferred | where | Acts 25:3 | the wording here illustrates for the reader the request was not intended to further justice, but to conceal a plot  | 
preparing an ambush | what | Acts 25:3 | this is a second ambush plot, as the first was foiled when Paul was transferred to Ceasarea years ago  | 
Paul is being held | what | Acts 25:4 | Festus confirms that Paul is still not free, he is being held under Roman guard, but Festus will not supplant Roman  | 
 |  |  | Justice for the winning of Jewish support  | 
press charges… there | where | Acts 25:5 | as the offical seat of Roman power in the region, Caesarea was the only place to press charges against a Roman citizen | 
after 8 or 10 days | when | Acts 25:6  | Festus stays In Jerusalem with the Jewish officials for a little over a week before returning to Caesarea | 
the next days | when | Acts 25:6  | Festus does not delay once arriving back in Caesarea and calls Paul to trial the very next day  |   
charges… could not proove | what | Acts 25:7 | like the previous trial before Felix, the Jews attempted to bring serious charges against Paul, but could not prove them | 
I have done nothing wrong | what | Acts 25:8 | Paul states his innocence again for the court, he has done nothing wrong and his accusers can not prove anything  | 
are you willing to go… | where | Acts 25:9 | whether Festus is intentionally trying to do the Jews a favor by transferring Paul back to Jerusalem, or if he simply feels | 
 |  |  | uneducated in the matters of Jewish faith and religion is debateable. Either way, Festsus will only transfer Paul if he agrees | 
standing before Ceasar's court | where | Acts 25:10 | Paul knows full well that he has done nothing wrong and therefore has no reason to entertain the transfer. He is a Roman | 
 |  |  | citizen and as his right, he should be tried in Ceasar's court, not the Sanhedrin's | 
I appeal to Caesar | what | Acts 25:11 | as a Roman citizen, Paul had the right to request his case be heard by Caesar himself.  | 
to Caesar you will go | where | Acts 25:12 | Festus' agreement with Paul's claim sets the Apostle on a direct course to Rome to testify before Ceasar about Christ  | 
a few days later | when | Acts 25:13 | a few more days pass between Festus' first investigation of Paul and the arrival of Agrippa II and Bernice  | 
Agrippa II & Bernice | who | Acts 25:13 | the son and daugher of Agrippa I, who killed Stephen (Acts 12) and grandchildren of Herod the Great, Agrippa II took his  | 
 |  |  | his father's place as a Roman vacillary king when he died. There was a long rumored incestuous relationship between them | 
discussed the case with  | what | Acts 25:14 | As Agrippa was part Jewish and had been raised knowing the traditions of the Jews, Festsus seeks his wisdom  | 
disputes about their law | what | Acts 25:15-19 | Agrippa soon realizes the dispute between Paul and the Jewish leaders is religious, not civil. Yet, the Jews are attempting  | 
 |  |  | to bring civil charges against him that are lacking the evidence to substatiate the chargest.  | 
I was at a loss | what | Acts 25:20 | Festus, a Roman without any experience in Jewish matters has no frame of reference and direction for how to investigate  | 
 |  |  | the points brought by the Jews in order that they might condemn Paul  | 
until I could send him | what | Acts 25:21 | Agrippa can not send Paul to Caesar without well founded charges, this appeal forces Agrippa to protect Paul & investigate | 
I would like to hear | what | Acts 25:23 | Agrippa is also intruiged by Paul's case and want to hear more. This will drive Paul's next defense in the following chapter | 
the next day  | when | Acts 25:23 | the passage of another day in the narrative  | 
came with great pomp | what | Acts 25:23 | the Romans had flare for everything they did, including the honoring and seating of guests at tables and court rooms  | 
I found nothing deserving death | what | Acts 25:25 | this is another Roman official pronouncing the innocence of Paul against the Jewish charges | 
but he made his appeal  | what | Acts 25:25-26 | because Paul made his appeal to Caesar, Festus is required to send him, and have the charges spelled out  | 
unreasonable to send  | what | Acts 25:27 | Festus can't send Paul to Ceasar without charges, so he uses Agrippa to try and help him investigate Paul  | 

## Sheet: Sheet2

## Sheet: Sheet3
