## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
The next day | when | Luke 9:37 | Luke is tying the events of this passage to the Transfiguration that happened just prior 
down from the mountain  | where | Luke 9:37 | this is the mountain of the Transfiguration, most likely Mt Hermon
a large crowd | who  | Luke 9:37 | the "crowd" has been a consistent character for Luke in these first 9 chapters, reflecting the reader's perspective 
he is my only child | what | Luke 9:38 | just like the widow Nain (7:12), and Jarius (8:42), this parent seeks Jesus for their only child 
A spirit seizes him  | what | Luke 9:39 | clearly Luke establishes the cause of the child's condition is spiritual not merely physical 
convulsions / foams at the… | what | Luke 9:39 | while eplilepsy is very real and not to discounted, Luke the physician states the outcome is physical from a spiritual cause 
is destoying him | what | Luke 9:39 | this father is seeking help for something that is killing his son, there can be no greater desperation in the heart
disciples… could not | what | Luke 9:40 | in 9:1 Jesus gives authority to do this, here in 9:40 they are unable. This is not due to a removal of the authority, but rather 
 |  |  | a trusting in themselves over their faith (9:41). Doing the work of God should always be in faith, not mere ability or intellect
unbelieving & perverse… | who | Luke 9:41 | I believe this is a statement "at large" not just to the disciples who failed to help the boy. Jesus had just come down from His 
 |  |  | transfiguration, being encourged by Moses and Elijah (9:30-31) and is met by lack of faith in His disciples in the face of need
 |  |  | as well as a crowd who are still seeking signs and healings rather than worshiping the Christ of God (9:20)
how long shall I stay | when | Luke 9:41 | Jesus had just discussed His Passion with Moses & Elijah (9:30-31) and with His disciples (9:22). He is keenly aware of what
 |  |  | is coming and is not expressing sarcastic annoyance, but a concern due to little time left before His Passion
bring your son here | what | Luke 9:41 | Jesus does not miss the opportunity to serve and heal the broken 
even while | when | Luke 9:42 | Luke keeps us "in the moment" by giving another reference to time as it happens 
rebuked the impure spirit | what | Luke 9:42 | Jesus with His authority, spoke to, corrected, and cast out the demonic presence from the boy's life 
healed the boy  | what | Luke 9:42 | this is a secondary and subsiquent event to the deliverance from demonic influence, the healing came because of it 
gave him back to his father | what | Luke 9:42 | just like the widow Nain (7:12), and Jarius (8:42), Jesus restores the family by giving the child back to the parent
amazed… greatness of God | what | Luke 9:43 | As Luke has illustrated before, Jesus ministry brought glory to God the Father, not to elevate Himself 
while everyone was | when | Luke 9:43 | Luke again keep the focus on this narrative in view by keeping the events linked chonologically 
He said this to His disciples | what | Luke 9:43 | in the midst of the crowd still marvelling at the healing of the boy, Jesus changes His focus to again teaching the disciples
Son of Man | who | Luke 9:44 | an O.T. term for the promised Messiah of the Jewish people, from Daniel 7:13
is going to be delivered | when | Luke 9:44 | Jesus clearly saw His future Passion as a divinely appointed event, not a maybe, but a going to be 
it was hidden from them | what | Luke 9:45 | because Jesus Passion was an appointed event, God "hid" the full understanding from the discpiles  to accomplish His will 
 |  |  | later they would fully understand and know that Jesus knew before hand what would happen and went willingly 
the disciples | who | Luke 9:46 | this is the 12 chosen apostles, the central ministry team that Jesus taught and trained during His earthly ministry 
would be the greatest | what | Luke 9:46 | pride is the oldest and deadliest of sins, this could also allude a reason why their ministry was less effective (9:40)
 |  |  | they had begun to trust in themselves or their own confidence and not placing full faith in Jesus (9:41)
Jesus, knowing their thoughts | what | Luke 9:47 | In line with His divine character, Jesus saw past their words to the true attitude of their heart (1 Samuel 16:7, Luke 7:39-40)
welcomes… little child | what | Luke 9:48 | Jesus is not saying that children's ministry is better than any other form, but rather that a willingness to serve someone as
 |  |  | lowly as a child, rather than argue about who is greatest, is what it will take to follow Him and accomplish His mission 
least among you… greatest | what | Luke 9:48 | this is a complete reversal to our fleshly thinking and cultural norm, but we are called to the same standard as they were
 |  |  | greatness in Christ's Kingdom is not measured by earthly standards, but by Christ's. 
someone is driving out demons | what | Luke 9:49 | Jesus fame and notetriety had spread to the point that others were ministering in His name with success
 |  |  | because it is the Name of Jesus that had the true authority, not the group of people Jesus called (9:40, 49)
not one of us  | who | Luke 9:49 | oddly enough, John the "apostle of love" did not want others to do ministry in Jesus name, this form of sectarianism has 
 |  |  | never had a place in the Kingdom of God, it is the name of Jesus that unites all His people, nothing else 
against who… for you | what | Luke 9:50 | Luke also gives the reverse of this paradigm in Luke 11:23, these statements are not contradictory, together they illustrate
 |  |  | the exclusivity of Christianity. There is no "Switzerland" when it comes to the Mission of the Church. You are either a
 |  |  | ally or an enemy to the cause of Christ. 

## Sheet: Sheet2

## Sheet: Sheet3
