## Sheet: Sheet1
Observation | W | verse | Additional notes
Early | when | John 20:1 | early enough that it was before sunrise, hence "while it was still dark" , symbolically in the dark about the ressurection
Sunday morning | when | John 20:1 | literally, the first day of the week. Yom Rishon in the Jewish calendar
Mary Magdalene | who | John 20:1 | a woman from the town of Magdala who followed and supported Jesus' ministry (Luke 8:3) 
the tomb | where | John 20:1 | the tomb of Joseph of Aramethia in which was laid the body of Jesus Christ
the stone | what | John 20:1 | a large stone was rolled into the mouth of the cave to block the smell and also guard against theives
She ran | what | John 20:2 | Mary M. ran because the news of the empty tomb was both exhilirating and movitivating, what the Gospel should be to us
Simon Peter | who | John 20:2 | one of the 12 disciples and one of the inner 3 that were closest to Jesus
the one whom Jesus loved | who | John 20:2 | John, the brother of James and son of Zebedee, also one of the 12 disciples and author of the Gospel of John
They have taken… the body | what | John 20:2 | her accusation of "they" clearly signifies that the faithful to Jesus had no part in the disappearnce of the body of Jesus
we don't know where  | where | John 20:2 | the "we" here recognizes that Mary M wasn't the only person there first. (Matt 28:1, Mark 16:1, Luke 24:10)
they were both running | what | John 20:3 | the excitement and motivation of Mary is passed to Peter & John who both run to the tomb to see for themselves
he saw, but didn't go in | what | John 20:5 | though John arrives first, he hesitates and doesn't go right into the tomb
Peter arrived & went inside | what | John 20:6 | Peter arrives and goes right intot he tomb, Peter did not hestitate for whatever reason John did
linen wrappings | what | John 20:7 | the fact that the linen wrappings here orderly points more to resurrection that robbery. 
folded up lying apart | what | John 20:7 | if the head wrapping was folded up, it's hard then to believe that the shroud of Turrin is real. 
went in… saw and believed | what | John 20:8 |  I think this is the perfect recipe of faith, you must enter in close enough to encounter the risen Savior, then belief happens
until then they hadn't understood | what | John 20:9 | it often takes an encounter of faith to help the understanding of faith become real. 
then they went home | where | John 20:10 | Since all the disciples (except Judas) were from Galilee, the may have been staying with friends for the Passover
Two white-robed angels | who | John 20:11 | two angels from the heavenly realm
sitting and the head and feet | what | John 20:12 | the placement of the angels lends more credience to the ressurection, not robbery of Jesus body, it was supernatural
why are you crying? | what | John 20:13 | funny that the angels' question wasn't about Jesus or His death, but about her reaction to the loss of the Savior
because they have taken | what | John 20:13 | Mary's tears are of anguish, because she thinks the body of Jesus has been stolen and will now be lost forever
Jesus, but she didn't recognize him | who | John 20:14 | Jesus in His resurrected body appeared different to her than what she was used to seeing
why are you crying?  | what | John 20:15 | Jesus asks the same question. In reality this event is not a cause for mourning and sadness, she doesn't know it yet
Where.. I will go get him | what | John 20:15 | Mary, and many today, are still hung up on the physical things of faith, Jesus knew that this too would pass
Mary! | what | John 20:16 | In a word, Jesus reveals Himself to her. In a single touch or word Jesus can make Himself known to anyone today
Don't cling to me | what | John 20:17 | Jesus asked her to fight her natural instincts to cling to what she could see and feel 
I have not yet ascended | what | John 20:17 | Jesus redemptive work had been completed, but the full plan of God for the church hadn't yet
I have seen the Lord!  | what | John 20:18 | the very first gospel message is still one of the most powerful. Personal testimony about Jesus is always powerful to share.

## Sheet: Sheet2

## Sheet: Sheet3
