## Sheet: Sheet1
Observation | W | Verse | Thoughts / Details
while Apollos  | when | Acts 19:1 | Luke brings our attention back from Apollos at Corinth to Paul's arrival at Ephesus 
road through the interior | where | Acts 19:1 | Paul travelled on land from Antioch to Ephesus
some disciples | who | Acts 19:1 | as the narrative unfolds, we will have to answer whether we believe this group is "saved" or not, but here they are 
 |  |  | described as "disciples" the same word that Luke has used throughout Luke-Acts for believers 
receive the Holy Spirit | what | Acts 19:2 | clearly, there was an expectation on behalf of the early church that believers would receive the Holy Spirit 
we have not even heard | what | Acts 19:2 | this line can be taken to see either unsaved Jews or undiscipled Christians, it was not normative at this time for the Holy 
 |  |  | Spirit to be given immediately at the time of conversion
John's baptism | what | Acts 19:3-4 | here we see the baptism of John as one of repentence and preparation, but not of the complete-ness of Christian baptism 
baptized in the name of Jesus | what | Acts 19:5 | this is the practice of Christian water baptism 
placed his hands on them | what | Acts 19:6 | Paul ministered to them and these disciples also evidenced the presence of the Holy Spirit by speaking in tongues 
about twelve men | who | Acts 19:7 | this detail illustrates the level of detail Luke went into in his investigation or witnessing of these events 
entered the Synagogue  | where | Acts 19:8 | just as he had done in previous cities, Paul goes "first to the Jew" and the God-fearing Greeks in the local synagogues
refused / publically maligned | what | Acts 19:9 | again we see the Jewish rejection and perseuction of the early church causing the message of Jesus to spread further
discussions daily  | what | Acts 19:9 | in response to the Jewish rejection of his message, Paul taught openly everyday in an open forum 
two years | when | Acts 19:10 | Paul continued to preach and teach everday for two years while at Ephesus
miralces through Paul | what | Acts 19:11 | to validate the preaching ministry of the Apostles, miracles were a common occurrence in the early church. This does not 
 |  |  | imply they can not happen today, but that they were more common then than are expected today 
evil spirits left them | what | Acts 19:12 | healing can be physical or spiritual, in this verse, Paul was healing people of both physical and spiritual infirmities 
some Jews went out | who | Acts 19:13 | Luke makes sure to tell the reader the ministers in the following verses are Jews, not Christians 
… but who are you | what | Acts 19:13-15 | the mistake these unfortunate sons made is wanting the power and authority of the name of Christ without the relationship
 |  |  | lordship, submission, and most importantly the Spirit that comes from being in Christ. Jesus is not a toy gun to play with. 
gave them such a beating | what | Acts 19:16 | the demoniac overpowered the seven men, and beat them until they were bloody. This can also remind us of Jesus' words 
 |  |  | in Matthew 7:22, "… I never knew you" 
Jesus held in high honor | what | Acts 19:17 | the news of the botched exorcism of demoniac did have a silver lining in that the Jews and Greeks of Ephesus honored 
 |  |  | the name of Jesus, and likely the authority that is in the name as well 
many who believed | what | Acts 19:18 | the response to Paul's ministry was one of openness and repentence, people found freedom in Christ to leave old things
sorcery… burned scrolls | what | Acts 19:19 | those who were practicing sorcery and demonic worship not only turned from it, but burned the very scrolls they used 
50,000 drachmas  | what | Acts 19:19 | a drachma is worth about a single days wage, so this would present 191.5 years of income. At the current average income
 |  |  | for the United States for an individual (31,000) this equates to 5.9 million dollars 
go to Jerusalem | where | Acts 19:21 | the feature of Paul's ministry in Ephesus closes with his next desired destination, going to Jerusalem but first heading
 |  |  | back to visit the churches he planted in this second journey
must visit Rome also | where | Acts 19:21 | Paul also has a desire to visit the central city of the Roman empire 
Timothy & Erastus | who | Acts 19:22 | Timothy we have seen before on Paul's second journey, nothing more is known of Erastus
structure  |  | Acts 19:1-2 | the overview of Paul's ministry in Ephesus can be seen in this simple structure 
 |  |  | 1. Teaching
 |  |  |        Acts 19:1-7    The disciples with only the baptism of John 
 |  |  |        Acts 19:8-10  The Jews and Greeks in both the synagogue and open forum
 |  |  | 2. Miracles 
 |  |  |         Acts 19:11-12   Paul's general healing ministry
 |  |  |         Acts 19:13-16   the contrast of the sons of Sceva's conterfeit ministry 
 |  |  | 3. Reception and Growth 
 |  |  |        Acts 19:17-20    The church continues to grow 

## Sheet: Sheet2

## Sheet: Sheet3
