## Sheet: Sheet1
Observation | W | verse | , 
He (Jesus)  | who | Luke 6:17 | the Son of Man, Son of God, Promised Messiah, Savior of the World, 2nd Member of the Trinity, Teacher and Healer 
level place | where | Luke 6:17 | this section is Luke's version of the Sermon on the Mount, most likely a level place on the top of a hill or small mountain 
large crowd  | who | Luke 6:17 | this includes more than just the 12, but anyone who wanted to be healed or learn from the Lord's teaching 
Judea | where | Luke 6:17 | the country on the bottom of the "snow man" central country of Jewish life 
Jerusalem |  where | Luke 6:17 | captial city of Judea, home of the Temple and center of Jewish religious and ceremonial life 
Tyre and Sidon  | where | Luke 6:17 |  a pagan area north of Galilee along the western shores fo the Mediteranean Sea, this may hin at Gentiles being present
hear and be healed | what | Luke 6:18 | Luke again points out that Jesus ministry had two main focuses: teaching and healing
tried to touch Him | what | Luke 6:19 | amazing when you realize the kind of power that comes from Jesus how people want to seek Him 
Looking at His disciples | what | Luke 6:20 | the following teaching was focused on the 12 disciples, but the crowd at large still got to hear it 
 |  |  | Important note: this sermon is not "how to be" in the Kingdom of God, but "how to act" for those who are… 
 |  |  | Matthew's Gospel contains a much longer version of this sermon (chapters 5 to 7) Luke has 4 "blessed" and 4 "woes" 
 |  |  | each of the dichotomies that Jesus lays up are challenging to a worldly understanding, but are focused on His Kingdom 
blessed | what | Luke 6:20 | lit. /ma-KAH-ree-os/ blessed, happy, well off or fortunate 
poor | who | Luke 6:20 | unlike Matthew "poor in Spirit" this is more focused on the literal poor, the choice His disiples made to follow him 
theirs is | what | Luke 6:20 | inheritting land would be something a "rich" person would do, this contrats the Kingdom with our wordly sense of wealth
hunger now | who | Luke 6:21 | unlike Matthew "hunger and thirst for Righteousness" Luke again focuses on the literal, a disciple choosing hunger to follow 
be satisfied  | what | Luke 6:21 | to eat to one's fullest, the same world is used about a "fattened calf" 
weep | who | Luke 6:21 | lit. to weep, mourn, or lament; to weep as a sign of great grief, as the disciples would at seeing the lost and broken 
laugh | what | Luke 6:21 | lit to laugh as a sign of great joy and exitement 
hate, exclude, insult, reject | who | Luke 6:22 | this echos Isaiah 66:5 which speaks of those who "hate" and "exclude" because of my name 
Son of Man | who | Luke 6:22 | an Old Testament term from the book of Daniel for the Messiah of the Jewish people (Daniel 7:13)
rejoice, leap for joy | what | Luke 6:23 | in contrast to the preceeding treatment, when the day of the Lord comes we will be filled with joy at His coming 
reward in Heaven | what | Luke 6:23 | the simple fact is our life on this earth is merely preparation for service in His Kingdom in the next life
 |  |  | we need to be found "worthy" in this life by supmitting to His will and storing "treasures" there unilke those here 
woe (to you) | what | Luke 6:24 | a primarily first person expression of grief (but alas…) as if the impending nature of the curse is already on it's way 
who are rich  | who | Luke 6:24 | in direct contrast to v20, those who have an overabundance of earthly riches in this life 
already received | what | Luke 6:24 | Luke does not mean that the mere possession of earthly wealth is evil, but it is a large tempation to live for it 
well fed now  | who | Luke 6:25 | again, now saying that eating a good meal is wrong or sinful, but centering your life on self gratification and pleasure is
will go hungry | what | Luke 6:25 | for those that spend this life chasing personal pleasure and not Jesus, they will be left with nothing in the next life 
laugh now | who | Luke 6:25 | expierencing joy and laughter is not a sin, but centering your life on seeking self-made happiness and pleasure is
mourn and weep | what | Luke 6:25 | the eternal fruit of a life focused on self pleasure and self-made happiness is a loss at eternity separated from God's love 
speaks well of you | who | Luke 6:26 | having a good reputation is not sinful, in fact the NT teaches us to have one (1 Peter 2:12) but not as the center of your life 
treated the false prophets | what | Luke 6:26 | need to compromise one's character or the Word of God to have more people "like" you is not Godly living. 
you who are listening  | who | Luke 6:27 | this could easily include not only the 12 Jesus addressed in v20, but the larger crowd on hand 
love your enemies  | what | Luke 6:27 | this is one of the hardest things to live out, because we feel the internal desire to see Justice handed out, but we are called
 |  |  | to love in spite of what others may have done to us or to those we love, we are not premitted to return evil, but love
turn the other cheek | what | Luke 6:29 | this is not inviting more harm to one's self, but not repaying the initial strike with retribution, blessing in return
give to anyone who asks | what | Luke 6:30 | living a life that is marked by generosity is not easy, we feel entitled to the things we have, but the Lord calls us to generosity 
do to others… | what | Luke 6:31 | one of the best rules for living in peace with other, not just a "golden" rule, but the teaching of the Savior for His people 
love those who love you  | what | Luke 6:32 | the character of those who belong to the Kingdom should be "above" that of the world, we need to love more than they
love your enemies  | what | Luke 6:35 | Jesus again makes this bold and difficult directive that we need to love even those who do not love us, as He did 
then your reward will be great | what | Luke 6:35 | all of these lifestyle instructions are not just "how" we are to act, but because they are what produces a reward in the next life 
childen of the Most High | what | Luke 6:35 | salvation is not "earned" by these actions, but they are the characteristics that should be reflected in us if we are His kids 
Be merciful, just as… | what | Luke 6:36 | this verse closes out this section by showing the reason for our acting counter to earthly culture, because it is the way 
 |  |  | the Lord acts towards us when we did not, do not, and will not be able to earn His love and mercy, yet He gives it freely 

## Sheet: Sheet2

## Sheet: Sheet3
