## Sheet: Sheet1
Observation | W | verse | Additional notes
in the beginning | when | Gen 1:1 | the beginning of eternity past, nothing existed except for God Himself 
God | who | Gen 1:1 | God the Father, Creator, and ultimate Judge of all humanity
created | what | Gen 1:1 | usually referred to as "Ex Nihilo" or "out of nothing" God spoke into existence
Heavens | what | Gen 1:1 | the word in the Hebrew can refer to the "sky" as the space directly above the land on earth, or the expanse of space as well
Earth | what | Gen 1:2 | not only our planet as in "planet earth" but the land on which we live as in "the dust of the earth" 
darkness | what | Gen 1:2 | even in the primordial state of our planet, there is still absolute darkness without God's intervention
Spirit of God | who | Gen 1:2 | the Holy Spirit of God, third member of the Trinity, combined with John 1:3, we see the full Trinity involved in Creation itself
surface of the waters | what | Gen 1:2 | there was obviously land and water at this point, as the waters had a surface, and the land is beneath it (1:9)
God said | what | Gen 1:3 | all of the acts of creation except that of man are done by the speaking of God's Word, only man is made by the hands of God
let there be light | what | Gen 1:3 | this is not the creation of the sun, that happens later in verse 16, this is the creation of light itself, sustain by God's divine power
and there was… | what | Gen 1:3 | each act of speaking "let there be" is answered by "and there was" establishing early the power and legitimacy of God's Word 
and God saw | what | Gen 1:4 | God is not an absent creationist spinning off worlds into existence, He is watching each step of the creation process
and it was good | what | Gen 1:4 | God's subsiquent approval of each of the steps of creation illustrates His desire to see creation made "good" intentionally 
separated light from darkness | what | Gen 1:4 | light itself is made, now was separated once and forever from darkness, this sets the stage physically and theologically
called… "day" and "night"  | what | Gen 1:5 | God ordianed the existence of the day and the night before he "passes on" the tasks of lighting them to the Sun and the Moon
evening passed, morning came | what | Gen 1:5 | the Jewish day was counted from evening to evening, this is one of the strong evidences for the literal days of creation 
marking the first "day"  | what | Gen 1:5  | the Hebrew "yom" can refer to a less specific amount of time like "the day of" but by itself always means 24 hour day
space between the waters | what | Gen 1:7 | this is the creation of the atmosphere. There is clearly a protective shield surrounding our planet from the harshness of space
called the space "sky"  | what | Gen 1:8 | the "sky" that we see today is literally the space between the surface of the planet and the layers of the atmosphere
the second day | when | Gen 1:8 | anytime the word "yom" or day is used in sequencial order in the OT, it refers to a literal 24 hour time period
waters beneath the sky | what | Gen 1:9 | this is the waters of the planet earth itself, what we now know was lakes, rivers and oceans
dry ground may appear | what | Gen 1:9 | for the dry ground to appear, it was already there beneath the surface, it wasn't called "into being" but "out of" the water
seed-bearing plants | what | Gen 1:11 | The Lord calls into being plants that bear seeds, that which He will later give to man as food (v29)
seeds with then produce | what | Gen 1:11 | known as the the "Law of the Seed" the Lord sets in motion the pattern of reproduction of plants by seeds

## Sheet: Sheet2

## Sheet: Sheet3
